Step,Mag,Ham
0,-10,-128,
1,-18,-68,
2,2,-180,
3,-26,-120,
4,42,-152,
5,2,-96,
6,14,-72,
7,6,-80,
8,18,-108,
9,18,-100,
10,10,-156,
11,-22,-112,
12,26,-128,
13,46,-120,
14,-2,-92,
15,18,-108,
16,-30,-144,
17,-10,-148,
18,42,-184,
19,54,-92,
20,10,-72,
21,-26,-168,
22,2,-44,
23,22,-84,
24,-50,-132,
25,-6,-196,
26,-30,-84,
27,26,-76,
28,-6,-116,
29,-18,-100,
30,50,-104,
31,54,-72,
32,-14,-124,
33,50,-172,
34,-18,-96,
35,-42,-120,
36,14,-88,
37,-18,-116,
38,-34,-84,
39,10,-136,
40,42,-128,
41,-34,-144,
42,30,-108,
43,26,-140,
44,42,-164,
45,-14,-96,
46,26,-164,
47,14,-56,
48,-6,-148,
49,38,-128,
50,-42,-92,
51,-6,-160,
52,10,-88,
53,38,-148,
54,-18,-120,
55,-58,-208,
56,-6,-144,
57,-10,-112,
58,2,-124,
59,10,-60,
60,-38,-120,
61,-2,-152,
62,-10,-184,
63,-34,-68,
64,38,-52,
65,18,-144,
66,-66,-164,
67,-30,-72,
68,2,-156,
69,18,-212,
70,54,-124,
71,10,-24,
72,-14,-132,
73,-2,-112,
74,34,-92,
75,-22,-132,
76,34,-112,
77,14,-36,
78,-22,-148,
79,34,-136,
80,26,-116,
81,6,-92,
82,-26,-84,
83,34,-88,
84,14,-112,
85,66,-96,
86,6,-76,
87,-6,-84,
88,-46,-196,
89,-14,-68,
90,14,-96,
91,-6,-76,
92,22,-160,
93,26,-148,
94,26,-244,
95,-22,-164,
96,22,-136,
97,26,-104,
98,6,-108,
99,-10,-132,
100,-6,-168,
101,-42,-192,
102,14,-112,
103,2,-132,
104,-10,-152,
105,14,-104,
106,-26,-172,
107,-6,-136,
108,-10,-48,
109,-38,-104,
110,30,-132,
111,-14,-136,
112,10,-164,
113,-18,-36,
114,-18,-144,
115,38,-56,
116,-2,-168,
117,-14,-188,
118,70,-52,
119,-34,-72,
120,34,-108,
121,-30,-92,
122,26,-124,
123,10,-64,
124,-26,-136,
125,18,-172,
126,14,-176,
127,-2,-48,
128,62,-104,
129,-10,-148,
130,-42,-116,
131,30,-148,
132,-14,-180,
133,18,-156,
134,70,-104,
135,-14,-128,
136,42,-176,
137,-2,-128,
138,54,-164,
139,-26,-156,
140,-54,-112,
141,-26,-180,
142,-34,-176,
143,-30,-120,
144,-10,-116,
145,18,-64,
146,2,-108,
147,6,-196,
148,-22,-156,
149,-6,-136,
150,-2,-92,
151,6,-176,
152,-2,-156,
153,18,-168,
154,-38,-44,
155,30,-76,
156,-42,-156,
157,-30,-96,
158,-2,-144,
159,6,-116,
160,-22,-112,
161,2,-152,
162,-14,-148,
163,-34,-112,
164,-30,-60,
165,70,-112,
166,14,-184,
167,6,-172,
168,-58,-100,
169,-6,-96,
170,18,-132,
171,-18,-104,
172,10,-152,
173,6,-64,
174,-2,-68,
175,-50,-88,
176,30,-44,
177,38,-84,
178,14,-120,
179,10,-156,
180,-10,-112,
181,-26,-180,
182,-26,-172,
183,-34,-208,
184,-22,-108,
185,30,-192,
186,-22,-128,
187,-30,-48,
188,-46,-104,
189,34,-212,
190,6,-156,
191,10,-148,
192,18,-104,
193,-50,-116,
194,-54,-60,
195,50,-112,
196,-6,-100,
197,-10,-92,
198,-38,-128,
199,42,-88,
200,-6,-60,
201,-26,-108,
202,18,-112,
203,-2,-76,
204,-30,-80,
205,2,-148,
206,42,-112,
207,6,-168,
208,-90,-60,
209,18,-188,
210,-6,-168,
211,26,-108,
212,30,-112,
213,18,-104,
214,10,-136,
215,-54,-228,
216,-42,-176,
217,-30,-144,
218,-46,-124,
219,-6,-180,
220,14,-128,
221,-26,-112,
222,-18,-144,
223,-2,-184,
224,-50,-64,
225,-18,-124,
226,-18,-152,
227,22,-100,
228,58,-124,
229,-18,-160,
230,50,-132,
231,-26,-108,
232,26,-116,
233,26,-188,
234,14,-92,
235,-14,-76,
236,22,-108,
237,38,-176,
238,-22,-128,
239,-34,-100,
240,-6,-104,
241,-26,-188,
242,-18,-128,
243,2,-124,
244,6,-100,
245,-42,-120,
246,-66,-136,
247,-70,-112,
248,50,-104,
249,-18,-160,
250,-18,-104,
251,-30,-140,
252,-14,-60,
253,10,-140,
254,-42,-108,
255,10,-124,
256,-46,-168,
257,2,-136,
258,-26,-116,
259,-26,-108,
260,10,-212,
261,50,-56,
262,10,-144,
263,-18,-132,
264,-38,-120,
265,10,-108,
266,22,-152,
267,-18,-116,
268,-22,-172,
269,-22,-96,
270,-14,-108,
271,26,-120,
272,14,-100,
273,-18,-184,
274,26,-36,
275,-6,-132,
276,38,-172,
277,-10,-120,
278,-2,-168,
279,-38,-164,
280,-54,-148,
281,-10,-136,
282,-42,-108,
283,50,-72,
284,-58,-164,
285,14,-132,
286,22,-156,
287,54,-216,
288,30,-140,
289,-10,-128,
290,42,-148,
291,18,-120,
292,-42,-96,
293,22,-128,
294,-2,-24,
295,10,-180,
296,26,-176,
297,-22,-72,
298,-14,-96,
299,2,-104,
