Step,Mag,Ham
0,-40,8,
1,44,52,
2,28,64,
3,4,-48,
4,-20,40,
5,-8,-76,
6,0,12,
7,-4,-32,
8,-8,-96,
9,-32,12,
10,-12,8,
11,-28,-56,
12,44,72,
13,24,20,
14,36,24,
15,-36,48,
16,-24,36,
17,0,60,
18,-36,80,
19,-4,44,
20,-36,48,
21,-36,8,
22,72,0,
23,16,44,
24,-32,-80,
25,44,8,
26,28,-44,
27,-8,12,
28,-16,20,
29,-36,64,
30,-16,8,
31,8,-60,
32,-8,28,
33,12,52,
34,68,-4,
35,44,-4,
36,0,20,
37,0,-72,
38,0,-4,
39,28,-16,
40,-12,44,
41,-20,-80,
42,-16,-16,
43,-24,16,
44,-28,-64,
45,-48,48,
46,-24,-56,
47,24,76,
48,20,-44,
49,24,32,
50,28,16,
51,0,20,
52,8,8,
53,4,0,
54,12,-28,
55,-4,0,
56,12,68,
57,-52,-28,
58,-20,52,
59,-8,52,
60,32,12,
61,60,-72,
62,32,-60,
63,44,4,
64,-24,0,
65,20,-12,
66,48,76,
67,8,8,
68,8,-36,
69,-12,-60,
70,20,-12,
71,8,-12,
72,32,52,
73,-16,-72,
74,-8,-4,
75,-44,0,
76,-16,36,
77,32,36,
78,-16,-4,
79,4,12,
80,-20,-8,
81,16,4,
82,-4,56,
83,12,0,
84,52,-28,
85,20,-36,
86,60,80,
87,32,12,
88,16,-32,
89,-20,-32,
90,-20,-52,
91,4,40,
92,32,12,
93,-24,16,
94,0,16,
95,36,28,
96,12,16,
97,20,4,
98,-20,12,
99,-36,60,
100,16,0,
101,16,64,
102,4,60,
103,-32,-32,
104,-36,-24,
105,-36,32,
106,28,-32,
107,44,-8,
108,16,-16,
109,-12,24,
110,28,52,
111,12,72,
112,36,-40,
113,8,-96,
114,4,20,
115,16,-16,
116,24,12,
117,4,20,
118,24,36,
119,-4,48,
120,24,4,
121,32,24,
122,40,16,
123,-44,24,
124,-36,24,
125,-16,44,
126,-28,-64,
127,-56,-20,
128,36,0,
129,24,-16,
130,32,-16,
131,0,-16,
132,8,24,
133,-48,-60,
134,28,-72,
135,72,44,
136,-8,-8,
137,44,8,
138,-8,-4,
139,8,-8,
140,-36,-16,
141,16,-20,
142,32,16,
143,-56,44,
144,-40,20,
145,-4,68,
146,24,32,
147,20,28,
148,-44,96,
149,-28,32,
150,-56,28,
151,-4,24,
152,16,-68,
153,-16,32,
154,-20,4,
155,24,16,
156,48,20,
157,20,8,
158,4,32,
159,-52,-28,
160,-8,-96,
161,8,-4,
162,-32,-24,
163,-28,-4,
164,-8,4,
165,20,4,
166,12,-28,
167,36,4,
168,-12,8,
169,-36,60,
170,52,36,
171,-28,-24,
172,44,-44,
173,-40,4,
174,52,-64,
175,24,-32,
176,32,12,
177,104,-40,
178,32,-4,
179,8,-4,
180,-16,56,
181,-20,64,
182,12,32,
183,12,32,
184,4,76,
185,-12,20,
186,0,28,
187,0,52,
188,12,-40,
189,32,60,
190,16,-28,
191,-8,8,
192,20,-84,
193,16,20,
194,16,-32,
195,40,-28,
196,-20,24,
197,8,28,
198,0,32,
199,16,48,
200,28,-40,
201,20,64,
202,40,0,
203,0,-12,
204,-20,-24,
205,36,100,
206,0,-60,
207,48,-32,
208,8,32,
209,32,-28,
210,32,-36,
211,8,0,
212,4,0,
213,-36,60,
214,52,0,
215,56,-12,
216,0,72,
217,-48,32,
218,-16,-36,
219,-4,-8,
220,-36,-20,
221,56,16,
222,20,-20,
223,-32,-12,
224,48,52,
225,-28,40,
226,56,-4,
227,0,-8,
228,0,12,
229,-12,16,
230,12,24,
231,28,36,
232,16,-8,
233,-8,-60,
234,16,-24,
235,8,60,
236,16,-20,
237,-20,0,
238,32,84,
239,16,16,
240,-72,-80,
241,24,-60,
242,-24,-20,
243,24,-32,
244,-36,-60,
245,-28,24,
246,92,16,
247,16,-112,
248,20,12,
249,-36,24,
250,-60,-4,
251,8,-40,
252,-60,40,
253,-8,-40,
254,-8,-52,
255,20,28,
256,-12,-24,
257,4,92,
258,-8,-24,
259,-24,60,
260,24,-64,
261,-8,-4,
262,8,4,
263,44,-36,
264,44,16,
265,16,4,
266,-20,36,
267,4,48,
268,-16,88,
269,-8,-20,
270,-16,52,
271,-12,-56,
272,4,8,
273,12,-96,
274,28,24,
275,36,-36,
276,-32,-12,
277,40,-32,
278,-36,-12,
279,-8,68,
280,-4,-28,
281,20,56,
282,0,-48,
283,28,-36,
284,24,-44,
285,36,-68,
286,-20,8,
287,40,-16,
288,-8,-56,
289,8,40,
290,0,8,
291,-28,-80,
292,20,-8,
293,-12,24,
294,-20,28,
295,40,52,
296,-20,-32,
297,48,-44,
298,4,-88,
299,-40,4,
