Step,Mag,Ham
0,42,16,
1,-30,32,
2,14,-8,
3,-22,-48,
4,-2,-12,
5,-26,4,
6,-18,88,
7,-6,8,
8,22,-32,
9,-30,20,
10,-50,32,
11,42,8,
12,-70,-96,
13,-38,8,
14,-6,-40,
15,-14,-36,
16,-2,28,
17,30,20,
18,-42,-8,
19,-26,36,
20,-26,8,
21,22,36,
22,-10,32,
23,-38,40,
24,-54,52,
25,-34,0,
26,-14,52,
27,-22,-152,
28,-6,8,
29,-38,40,
30,-18,4,
31,-38,48,
32,-22,-72,
33,6,56,
34,26,8,
35,34,4,
36,-30,-16,
37,10,24,
38,18,-80,
39,-2,-44,
40,34,4,
41,-34,-8,
42,-42,-8,
43,-18,60,
44,-22,60,
45,-14,32,
46,-2,-28,
47,54,36,
48,-22,-8,
49,10,-36,
50,54,4,
51,14,24,
52,-38,-60,
53,-30,-52,
54,-30,-4,
55,-34,-12,
56,10,76,
57,-2,-36,
58,30,-60,
59,22,20,
60,18,44,
61,26,0,
62,18,-44,
63,-38,-28,
64,-30,-8,
65,-2,-12,
66,34,44,
67,-6,64,
68,-26,12,
69,-26,-20,
70,30,36,
71,-34,28,
72,30,56,
73,-22,-12,
74,30,48,
75,-10,24,
76,26,-32,
77,2,16,
78,-42,68,
79,18,-8,
80,-6,-36,
81,18,8,
82,-26,12,
83,-26,40,
84,-22,64,
85,2,-12,
86,38,-16,
87,-14,-8,
88,-30,12,
89,18,-32,
90,14,-8,
91,18,16,
92,6,32,
93,18,-36,
94,-6,24,
95,-18,36,
96,-22,-28,
97,6,8,
98,-26,48,
99,34,4,
100,-26,-4,
101,14,-64,
102,14,64,
103,22,-64,
104,-14,-32,
105,-50,-28,
106,-6,12,
107,10,96,
108,54,76,
109,54,4,
110,-18,36,
111,-26,84,
112,46,-88,
113,-10,12,
114,-38,44,
115,22,-56,
116,2,28,
117,2,-32,
118,30,-24,
119,30,-8,
120,82,20,
121,-42,-28,
122,-14,36,
123,-2,104,
124,34,-4,
125,-6,72,
126,-6,36,
127,10,-8,
128,-50,-32,
129,2,-76,
130,-30,84,
131,-54,28,
132,26,-28,
133,14,52,
134,10,-64,
135,-78,56,
136,-10,-28,
137,-54,-56,
138,-46,-40,
139,42,-4,
140,-22,36,
141,46,0,
142,10,8,
143,-14,-28,
144,-34,0,
145,30,-40,
146,34,48,
147,14,64,
148,-26,8,
149,18,-16,
150,14,24,
151,-10,-8,
152,-38,20,
153,66,48,
154,-6,-36,
155,-22,16,
156,10,0,
157,-38,48,
158,2,48,
159,-34,40,
160,-14,-12,
161,10,40,
162,-18,-12,
163,6,4,
164,18,28,
165,-30,-72,
166,50,-24,
167,-30,4,
168,14,8,
169,-2,-12,
170,30,-28,
171,66,-24,
172,42,28,
173,-38,120,
174,14,0,
175,-14,32,
176,22,-108,
177,10,76,
178,-18,84,
179,-26,-16,
180,14,52,
181,-6,-8,
182,14,44,
183,-10,72,
184,-14,-72,
185,-30,40,
186,-14,36,
187,26,8,
188,42,8,
189,2,32,
190,-46,88,
191,14,28,
192,46,-4,
193,-18,44,
194,6,-36,
195,-26,4,
196,34,24,
197,-102,32,
198,-2,20,
199,2,-40,
200,-26,44,
201,-6,-40,
202,-70,-20,
203,42,16,
204,-10,88,
205,-14,-36,
206,-42,44,
207,-22,-52,
208,14,-80,
209,74,4,
210,18,40,
211,62,-92,
212,18,-48,
213,-14,124,
214,6,-16,
215,-74,-28,
216,-2,12,
217,-6,-12,
218,34,-36,
219,6,-72,
220,50,-4,
221,-38,48,
222,14,44,
223,-26,32,
224,-22,44,
225,14,28,
226,-110,72,
227,-46,24,
228,26,-12,
229,2,12,
230,-46,-12,
231,10,60,
232,-42,16,
233,-42,-20,
234,14,48,
235,-10,72,
236,6,12,
237,-46,52,
238,-10,-8,
239,30,-28,
240,-26,-40,
241,10,32,
242,10,-12,
243,30,-56,
244,-30,-4,
245,-30,32,
246,30,-52,
247,6,8,
248,-34,56,
249,-54,32,
250,42,48,
251,14,52,
252,2,-56,
253,46,16,
254,26,76,
255,34,24,
256,-2,24,
257,38,-56,
258,-118,64,
259,-34,60,
260,34,72,
261,14,16,
262,22,-68,
263,30,-20,
264,10,80,
265,-10,4,
266,-38,8,
267,22,12,
268,70,108,
269,-2,32,
270,-18,-20,
271,10,-36,
272,22,-8,
273,-2,-40,
274,-6,-16,
275,14,32,
276,-70,-8,
277,-10,-24,
278,-42,-16,
279,14,24,
280,26,52,
281,-46,12,
282,-38,28,
283,10,64,
284,18,-16,
285,-18,36,
286,-34,-16,
287,-14,20,
288,-6,-44,
289,2,-20,
290,-10,32,
291,6,48,
292,-14,-20,
293,-22,-72,
294,22,8,
295,-14,-16,
296,6,112,
297,6,28,
298,14,-36,
299,10,-72,
