Step,Mag,Ham
0,-10,160,
1,-10,184,
2,14,264,
3,-8,204,
4,14,116,
5,-14,188,
6,-22,108,
7,-78,204,
8,-4,200,
9,42,156,
10,-12,152,
11,34,164,
12,-12,132,
13,14,216,
14,38,184,
15,50,184,
16,30,224,
17,4,140,
18,16,156,
19,-18,144,
20,50,204,
21,42,140,
22,-26,168,
23,-16,144,
24,-14,160,
25,-56,216,
26,78,224,
27,12,232,
28,-24,156,
29,6,156,
30,8,208,
31,100,176,
32,-8,140,
33,76,108,
34,-14,204,
35,40,212,
36,-28,244,
37,-12,164,
38,-52,200,
39,16,188,
40,-72,184,
41,-46,224,
42,2,152,
43,4,204,
44,42,204,
45,-4,172,
46,62,148,
47,2,188,
48,-8,148,
49,16,160,
50,32,216,
51,24,136,
52,50,180,
53,-24,88,
54,32,224,
55,8,220,
56,-10,108,
57,-20,152,
58,-4,168,
59,22,184,
60,8,92,
61,18,116,
62,50,108,
63,62,188,
64,46,160,
65,20,80,
66,12,192,
67,-40,136,
68,54,208,
69,22,216,
70,-64,188,
71,14,224,
72,-106,184,
73,38,156,
74,26,180,
75,-38,148,
76,-24,156,
77,-56,176,
78,-20,124,
79,14,204,
80,-24,172,
81,-22,108,
82,-8,148,
83,-4,160,
84,42,180,
85,-20,200,
86,42,220,
87,22,200,
88,30,308,
89,-10,136,
90,-82,104,
91,-34,160,
92,-24,156,
93,-34,180,
94,-18,192,
95,-34,204,
96,-6,188,
97,18,196,
98,12,128,
99,-24,256,
100,-28,240,
101,20,232,
102,28,188,
103,28,136,
104,52,212,
105,0,180,
106,44,220,
107,80,204,
108,74,172,
109,-48,184,
110,30,144,
111,-26,152,
112,52,212,
113,16,208,
114,2,152,
115,56,228,
116,-4,160,
117,-8,148,
118,16,192,
119,2,116,
120,-16,112,
121,74,172,
122,-12,200,
123,6,132,
124,14,144,
125,2,188,
126,0,100,
127,-18,168,
128,-10,100,
129,-2,148,
130,8,148,
131,0,172,
132,-12,188,
133,0,228,
134,10,136,
135,30,220,
136,36,200,
137,-12,76,
138,14,272,
139,-22,164,
140,-48,188,
141,36,136,
142,-64,164,
143,-44,208,
144,32,256,
145,-102,84,
146,94,184,
147,-14,184,
148,-80,156,
149,-28,196,
150,-6,188,
151,6,180,
152,-4,112,
153,42,120,
154,28,148,
155,-14,216,
156,70,160,
157,-14,100,
158,-42,140,
159,-4,160,
160,2,136,
161,-52,140,
162,-6,164,
163,-34,180,
164,6,112,
165,-40,148,
166,-40,272,
167,6,152,
168,60,232,
169,2,240,
170,-22,152,
171,-22,152,
172,-26,124,
173,-14,140,
174,-36,136,
175,-12,180,
176,-52,92,
177,-2,140,
178,10,228,
179,46,204,
180,30,248,
181,10,116,
182,60,248,
183,-12,220,
184,14,184,
185,-10,124,
186,-14,228,
187,62,196,
188,-46,176,
189,-30,172,
190,-48,100,
191,46,268,
192,34,80,
193,18,192,
194,40,152,
195,40,152,
196,-10,216,
197,-14,68,
198,28,180,
199,-102,200,
200,-64,240,
201,-24,76,
202,-66,140,
203,22,148,
204,-22,160,
205,34,208,
206,-4,156,
207,-74,192,
208,52,144,
209,14,148,
210,18,156,
211,-26,192,
212,-26,136,
213,-14,176,
214,10,200,
215,92,164,
216,12,196,
217,44,184,
218,-20,116,
219,8,232,
220,12,184,
221,-18,116,
222,28,148,
223,16,164,
224,-2,132,
225,42,168,
226,32,184,
227,42,152,
228,8,168,
229,32,160,
230,52,136,
231,-32,132,
232,40,116,
233,-28,236,
234,28,216,
235,50,144,
236,-4,176,
237,-4,156,
238,10,216,
239,-48,172,
240,-6,208,
241,-10,216,
242,28,184,
243,14,116,
244,26,244,
245,-52,228,
246,14,120,
247,-32,116,
248,-12,88,
249,-46,212,
250,6,272,
251,6,128,
252,-36,260,
253,4,136,
254,14,220,
255,-18,148,
256,14,152,
257,-24,124,
258,18,72,
259,-56,228,
260,-10,144,
261,-60,88,
262,16,172,
263,106,136,
264,-30,224,
265,66,148,
266,46,172,
267,-14,204,
268,28,164,
269,2,132,
270,16,156,
271,-36,164,
272,-22,252,
273,-54,116,
274,0,160,
275,-4,108,
276,-6,184,
277,-12,64,
278,42,196,
279,-10,196,
280,16,188,
281,26,264,
282,-42,156,
283,-66,204,
284,50,196,
285,-2,132,
286,-22,212,
287,-16,216,
288,-12,152,
289,-46,224,
290,18,108,
291,6,124,
292,64,228,
293,24,192,
294,54,112,
295,56,148,
296,-2,148,
297,-22,116,
298,52,192,
299,-54,140,
