Step,Mag,Ham
0,-10,-144,
1,30,-96,
2,-2,-132,
3,30,-160,
4,58,-124,
5,-2,-48,
6,14,-80,
7,38,-112,
8,10,-104,
9,-18,-80,
10,-18,-92,
11,-2,-160,
12,-46,-76,
13,-26,-36,
14,6,-112,
15,-14,-168,
16,14,-80,
17,-22,-28,
18,-26,-156,
19,-6,-96,
20,18,-68,
21,-14,-96,
22,-14,-80,
23,-18,-4,
24,22,-116,
25,-30,-120,
26,38,-92,
27,14,-96,
28,2,-68,
29,-34,-88,
30,-42,-40,
31,14,-64,
32,22,-96,
33,6,-52,
34,6,-88,
35,34,-144,
36,34,-24,
37,-2,-116,
38,-6,-40,
39,58,-120,
40,-6,-80,
41,6,-64,
42,-46,-100,
43,-18,-84,
44,-54,-76,
45,26,-68,
46,6,-28,
47,54,-72,
48,14,-40,
49,26,-136,
50,18,-140,
51,2,-128,
52,6,-84,
53,6,-80,
54,-14,-100,
55,-10,-24,
56,-38,-96,
57,-26,-176,
58,-18,-160,
59,-14,-112,
60,-30,-124,
61,18,-72,
62,46,-16,
63,30,-140,
64,46,-44,
65,42,-52,
66,-26,-84,
67,2,-44,
68,-50,-40,
69,-50,-32,
70,-38,-120,
71,38,-112,
72,6,-100,
73,50,-108,
74,42,-64,
75,-42,-120,
76,-30,-148,
77,-34,-100,
78,-22,-40,
79,2,-140,
80,22,-72,
81,-42,-88,
82,-46,-68,
83,14,-72,
84,22,-28,
85,-38,-56,
86,-14,-64,
87,-2,-24,
88,-22,-88,
89,42,-44,
90,-6,-144,
91,50,4,
92,-34,-12,
93,-22,-36,
94,34,-72,
95,22,-124,
96,58,-68,
97,6,-32,
98,34,-120,
99,-46,-80,
100,18,-112,
101,-6,-4,
102,-2,-68,
103,-14,-60,
104,10,-44,
105,62,-64,
106,26,-52,
107,26,-84,
108,-30,-176,
109,-50,-60,
110,34,-140,
111,-6,-128,
112,58,-4,
113,6,-124,
114,14,-64,
115,-54,-44,
116,6,-64,
117,-34,-28,
118,14,-100,
119,-14,-36,
120,-30,-44,
121,-54,-92,
122,-26,-124,
123,-54,-128,
124,-34,-196,
125,62,-60,
126,-22,28,
127,18,-116,
128,-10,-112,
129,-2,-108,
130,6,-92,
131,-2,-68,
132,-50,-88,
133,2,-112,
134,-2,-108,
135,-2,-88,
136,2,-36,
137,30,-104,
138,2,-116,
139,-54,-236,
140,6,-76,
141,-46,-92,
142,-10,-44,
143,38,-132,
144,-42,-108,
145,-10,-100,
146,6,-96,
147,-14,12,
148,-2,-64,
149,30,-120,
150,2,-100,
151,-10,-88,
152,2,-140,
153,6,-104,
154,-6,-136,
155,14,-64,
156,-18,4,
157,-6,-84,
158,-46,-20,
159,18,-44,
160,22,-116,
161,2,-64,
162,-62,-4,
163,-22,-176,
164,30,-36,
165,30,-136,
166,26,-16,
167,38,-68,
168,30,-104,
169,50,-32,
170,54,-28,
171,22,-68,
172,42,-52,
173,14,-116,
174,-22,-40,
175,18,-136,
176,42,-52,
177,22,-84,
178,18,-36,
179,-2,-136,
180,10,-80,
181,-18,-68,
182,26,-44,
183,26,-8,
184,-18,-64,
185,-30,-96,
186,26,-140,
187,-6,-144,
188,6,-52,
189,-26,-100,
190,6,-84,
191,26,-132,
192,-26,-28,
193,-26,-52,
194,-6,-156,
195,54,-12,
196,30,-104,
197,-22,-112,
198,38,-76,
199,-26,-56,
200,2,-112,
201,-38,-52,
202,10,-132,
203,46,-148,
204,10,-124,
205,-30,4,
206,-26,-96,
207,2,36,
208,14,-96,
209,14,-40,
210,30,-12,
211,-46,-100,
212,-22,-76,
213,22,-28,
214,10,-124,
215,66,-32,
216,10,-20,
217,10,-68,
218,66,-72,
219,-6,-20,
220,22,-116,
221,2,-60,
222,-38,4,
223,22,-112,
224,-2,-20,
225,2,-60,
226,-14,-160,
227,-54,-92,
228,46,-120,
229,-2,-56,
230,-2,-68,
231,6,-100,
232,-62,-80,
233,30,-52,
234,-10,-92,
235,10,-80,
236,-26,44,
237,6,-160,
238,-54,-108,
239,22,-88,
240,42,-144,
241,-30,-116,
242,34,-84,
243,-2,-88,
244,-22,-48,
245,-2,-128,
246,-14,-116,
247,6,-164,
248,-10,-136,
249,22,-100,
250,-10,-140,
251,14,-120,
252,26,-64,
253,6,-132,
254,34,-96,
255,-6,-120,
256,-14,-132,
257,-2,-16,
258,26,28,
259,-2,-76,
260,30,-60,
261,50,-160,
262,-2,-124,
263,38,-56,
264,2,-128,
265,-34,-80,
266,-14,-104,
267,-50,-56,
268,-50,-192,
269,-42,-24,
270,74,-96,
271,-46,-144,
272,-6,-80,
273,22,-100,
274,-10,-76,
275,-14,-40,
276,6,-124,
277,54,-64,
278,22,28,
279,22,-108,
280,-10,-56,
281,-34,-4,
282,-46,-40,
283,-14,-92,
284,10,-8,
285,-30,-84,
286,-6,-12,
287,22,-68,
288,-34,-8,
289,30,-132,
290,34,-64,
291,-74,-4,
292,2,-68,
293,2,-72,
294,62,-20,
295,-74,-56,
296,26,-36,
297,22,12,
298,6,-92,
299,38,-44,
