Step,Mag,Ham
0,-18,-152,
1,-6,-56,
2,-2,-112,
3,-10,8,
4,-62,-4,
5,-58,-120,
6,-30,-88,
7,26,-124,
8,10,-72,
9,10,-100,
10,-2,-84,
11,-38,-88,
12,-22,-52,
13,-2,-88,
14,42,-108,
15,-38,-80,
16,-14,44,
17,-42,-8,
18,-22,-92,
19,14,-64,
20,-62,0,
21,46,-36,
22,-2,-48,
23,-46,-80,
24,-38,-60,
25,66,-52,
26,-10,-168,
27,30,-60,
28,-10,-100,
29,34,-68,
30,-38,-76,
31,-22,-120,
32,18,-20,
33,46,-76,
34,-10,-96,
35,26,-84,
36,-6,-60,
37,50,-100,
38,50,-64,
39,-34,-128,
40,26,-52,
41,10,-104,
42,-50,-60,
43,-58,-48,
44,-2,-72,
45,10,-124,
46,6,-92,
47,14,-72,
48,-34,-80,
49,2,24,
50,-6,-132,
51,-22,-112,
52,2,-92,
53,18,-88,
54,-46,-16,
55,-26,-108,
56,6,-96,
57,18,-24,
58,-22,-104,
59,-22,44,
60,-50,-56,
61,38,-80,
62,18,-8,
63,10,-108,
64,26,-4,
65,6,-116,
66,26,-56,
67,-30,-116,
68,-22,-64,
69,-6,-132,
70,-14,-100,
71,10,-140,
72,2,-72,
73,-42,-132,
74,-10,32,
75,-38,-64,
76,18,-60,
77,10,-12,
78,42,-64,
79,-30,-124,
80,-14,-20,
81,-18,-96,
82,-34,12,
83,-46,-12,
84,-74,-16,
85,38,-52,
86,66,8,
87,-26,-48,
88,-18,-92,
89,30,-92,
90,10,-60,
91,2,-56,
92,-10,-32,
93,2,-108,
94,-26,-124,
95,-34,-72,
96,2,-80,
97,-2,-64,
98,-22,20,
99,14,-80,
100,-18,-96,
101,34,-72,
102,18,-72,
103,-18,-96,
104,26,-84,
105,18,-92,
106,-30,-124,
107,22,-84,
108,14,-60,
109,-62,-60,
110,6,-20,
111,-10,-36,
112,26,-32,
113,14,-128,
114,6,-28,
115,50,-92,
116,10,-88,
117,62,-100,
118,42,64,
119,-38,-64,
120,-22,-60,
121,-14,-72,
122,10,-44,
123,6,-108,
124,-30,-64,
125,46,-80,
126,-38,-40,
127,26,-28,
128,6,-100,
129,-18,-20,
130,-6,-100,
131,50,-116,
132,14,-48,
133,-2,4,
134,26,-20,
135,-10,-16,
136,-38,-108,
137,-2,-28,
138,22,-60,
139,62,-100,
140,34,-52,
141,30,-72,
142,-26,-24,
143,-6,-80,
144,34,-60,
145,-50,8,
146,18,-128,
147,-10,-20,
148,-78,-36,
149,22,-28,
150,-26,-36,
151,38,-64,
152,-30,-168,
153,-10,-68,
154,6,-48,
155,-58,-36,
156,22,-16,
157,-54,-64,
158,-26,-100,
159,6,-108,
160,14,0,
161,34,-68,
162,-18,-116,
163,-6,-56,
164,14,-28,
165,-10,-12,
166,14,8,
167,30,-104,
168,-42,-136,
169,-22,-52,
170,-30,-92,
171,-38,-68,
172,-2,-40,
173,-54,-88,
174,-34,-20,
175,-42,-108,
176,-42,-112,
177,-22,-52,
178,-38,0,
179,2,-8,
180,26,-60,
181,2,-128,
182,-10,-88,
183,-34,-4,
184,-18,-80,
185,-2,-68,
186,-54,4,
187,-10,-60,
188,-22,-76,
189,34,-120,
190,-22,0,
191,-62,-56,
192,-6,-40,
193,22,-60,
194,18,-168,
195,6,-40,
196,10,-16,
197,-26,12,
198,22,-148,
199,6,-44,
200,50,-140,
201,-38,0,
202,-42,0,
203,-2,-80,
204,-34,-60,
205,-38,-60,
206,-6,-84,
207,-26,-88,
208,-22,-92,
209,-26,-124,
210,-18,-48,
211,38,-64,
212,-2,-8,
213,-2,-84,
214,86,-40,
215,6,-52,
216,-2,-60,
217,-46,-52,
218,22,-12,
219,6,-20,
220,-34,-84,
221,58,80,
222,-46,-56,
223,62,-64,
224,14,-88,
225,42,-48,
226,-30,-52,
227,-2,-8,
228,-10,-28,
229,-34,-28,
230,-54,-76,
231,-14,-72,
232,14,-148,
233,46,-128,
234,-34,-72,
235,-18,-92,
236,-34,0,
237,-62,12,
238,-14,4,
239,-14,-108,
240,18,-128,
241,14,-64,
242,-22,-36,
243,-14,-88,
244,2,-60,
245,-18,-76,
246,26,-112,
247,6,-44,
248,14,-80,
249,18,-52,
250,-22,-40,
251,-10,-60,
252,-10,-108,
253,-46,-72,
254,10,-100,
255,-2,-64,
256,-6,-16,
257,6,-92,
258,46,-52,
259,-10,-68,
260,-6,-84,
261,18,-84,
262,-50,-140,
263,-58,-68,
264,-10,-76,
265,6,-132,
266,26,-48,
267,50,-76,
268,34,-32,
269,50,-52,
270,-18,-60,
271,22,-8,
272,46,-20,
273,22,-32,
274,26,-52,
275,-46,-132,
276,6,-40,
277,-26,-32,
278,6,-48,
279,-2,-112,
280,-22,-84,
281,22,-68,
282,-22,-116,
283,-10,-96,
284,-50,-32,
285,-42,-108,
286,22,-88,
287,30,-84,
288,30,-32,
289,10,-48,
290,14,-44,
291,-14,-36,
292,-14,-44,
293,-2,-128,
294,-6,-76,
295,-58,-16,
296,-34,-32,
297,-50,-72,
298,2,-88,
299,-18,-80,
