Step,Mag,Ham
0,-12,-96,
1,68,-100,
2,40,-96,
3,-28,-56,
4,-36,-28,
5,-4,-124,
6,0,-120,
7,20,-12,
8,-32,28,
9,-8,-136,
10,76,-88,
11,0,-104,
12,-4,-132,
13,-8,-56,
14,32,-96,
15,-36,-140,
16,-40,-84,
17,4,-108,
18,0,-84,
19,-28,-132,
20,-4,-96,
21,-12,-132,
22,-44,-84,
23,-12,-112,
24,8,-116,
25,-12,-72,
26,-16,-20,
27,8,-80,
28,-24,-60,
29,-12,-52,
30,4,-120,
31,4,-88,
32,4,-80,
33,-12,-92,
34,52,-120,
35,44,-100,
36,-44,-76,
37,40,-96,
38,48,-28,
39,-20,-184,
40,0,-100,
41,4,-36,
42,12,-96,
43,32,-40,
44,60,-76,
45,8,-124,
46,16,-56,
47,-36,-64,
48,48,-36,
49,-64,-56,
50,8,-116,
51,8,-40,
52,-28,-76,
53,-12,-112,
54,12,-112,
55,-12,-52,
56,-20,-120,
57,52,-64,
58,28,-84,
59,-60,8,
60,-28,-4,
61,-20,-68,
62,-8,-52,
63,-56,-108,
64,24,-60,
65,8,-208,
66,4,-108,
67,-16,-68,
68,-4,-112,
69,-24,-136,
70,4,-144,
71,-36,-124,
72,24,-88,
73,20,-88,
74,20,-152,
75,-32,-88,
76,40,-84,
77,-16,-104,
78,12,-100,
79,8,-100,
80,32,-84,
81,-44,-32,
82,32,-44,
83,-20,-96,
84,-4,-52,
85,-20,-56,
86,-32,-64,
87,-16,-148,
88,-4,-32,
89,40,-64,
90,8,-124,
91,8,-12,
92,16,-80,
93,44,-52,
94,-24,-156,
95,4,-112,
96,8,-192,
97,8,-112,
98,-44,-84,
99,-20,-152,
100,-44,-80,
101,36,-80,
102,-60,-60,
103,28,-136,
104,-24,-144,
105,32,-84,
106,20,-132,
107,40,-84,
108,28,-136,
109,52,-92,
110,-20,-20,
111,-16,-76,
112,12,-116,
113,48,-108,
114,-8,-56,
115,-40,-124,
116,-4,-8,
117,-72,-104,
118,8,-160,
119,8,-24,
120,-12,-128,
121,8,-136,
122,-20,-32,
123,28,-140,
124,8,-72,
125,-16,-148,
126,40,8,
127,-16,-36,
128,16,20,
129,0,-80,
130,-16,-64,
131,0,-64,
132,12,-56,
133,-20,-116,
134,0,-92,
135,20,-136,
136,16,-104,
137,-52,-112,
138,16,-124,
139,28,-64,
140,-12,-60,
141,-8,-160,
142,-12,-68,
143,56,-76,
144,4,-20,
145,12,-68,
146,-60,-92,
147,16,-136,
148,0,-72,
149,-56,-56,
150,-40,-188,
151,-24,-48,
152,-12,-92,
153,36,-48,
154,28,-52,
155,12,-128,
156,-36,12,
157,12,-48,
158,72,-108,
159,8,-124,
160,32,-116,
161,-8,-128,
162,-44,-88,
163,-8,-92,
164,16,-108,
165,-4,-128,
166,12,-124,
167,32,-40,
168,-24,-148,
169,40,-84,
170,-36,-60,
171,-56,-156,
172,-8,-40,
173,40,-68,
174,8,-136,
175,-44,-20,
176,-8,-108,
177,-44,-68,
178,0,-4,
179,32,-132,
180,-20,-88,
181,-8,-64,
182,-4,-124,
183,24,-28,
184,-16,-72,
185,8,-84,
186,28,-108,
187,-28,-176,
188,20,-128,
189,-24,-124,
190,-32,-56,
191,24,-124,
192,-12,-92,
193,-8,-116,
194,12,-120,
195,8,-140,
196,68,-132,
197,24,-96,
198,-24,-100,
199,72,-72,
200,-28,-100,
201,-20,-60,
202,-28,-60,
203,4,-16,
204,4,-128,
205,36,-96,
206,-12,-168,
207,-8,-128,
208,-48,-92,
209,-4,-104,
210,12,-96,
211,-20,-136,
212,-64,-144,
213,-12,-100,
214,-28,-20,
215,44,-52,
216,4,-116,
217,4,-40,
218,48,-56,
219,4,-100,
220,24,-168,
221,16,-84,
222,-48,-52,
223,52,-112,
224,-12,-12,
225,28,-48,
226,12,-40,
227,20,-112,
228,12,-84,
229,-12,-76,
230,32,-124,
231,8,-112,
232,16,-180,
233,-20,-56,
234,4,-104,
235,32,-100,
236,-24,-112,
237,32,-160,
238,-24,-128,
239,-36,-92,
240,12,-112,
241,60,-48,
242,32,-108,
243,-28,-132,
244,0,-12,
245,36,-84,
246,-16,-92,
247,-8,-76,
248,-24,-84,
249,-56,-104,
250,56,-88,
251,-12,-120,
252,32,-104,
253,-12,-108,
254,36,-60,
255,-28,-40,
256,32,-84,
257,-4,-124,
258,44,-20,
259,12,-120,
260,-20,-28,
261,-92,-60,
262,8,-172,
263,-12,-120,
264,32,-32,
265,-52,-4,
266,84,-68,
267,-36,-100,
268,-32,-80,
269,28,-108,
270,-32,-44,
271,-40,-72,
272,-4,-108,
273,-12,-100,
274,-32,-48,
275,28,-36,
276,4,-48,
277,-8,-48,
278,-48,-96,
279,40,-80,
280,-16,-104,
281,-48,-120,
282,-24,-96,
283,12,-104,
284,-4,-12,
285,4,-52,
286,-44,-44,
287,-8,-68,
288,0,-164,
289,8,-96,
290,-24,0,
291,-4,-120,
292,-36,-104,
293,16,-36,
294,56,-96,
295,24,-136,
296,-8,-48,
297,-16,-36,
298,-52,-40,
299,-12,-44,
