Step,Mag,Ham
0,0,-124,
1,-12,-48,
2,-60,-40,
3,8,-148,
4,-20,-40,
5,-24,-156,
6,32,-4,
7,-56,-108,
8,-16,-52,
9,24,-68,
10,4,-104,
11,-4,-68,
12,-16,-140,
13,8,-136,
14,76,-140,
15,40,-88,
16,12,-36,
17,12,-128,
18,-44,-136,
19,-20,-64,
20,28,-56,
21,-32,-4,
22,4,-36,
23,32,-40,
24,-24,-108,
25,-36,-60,
26,76,-72,
27,20,-56,
28,-16,-64,
29,28,-48,
30,-36,-88,
31,40,-104,
32,-4,-16,
33,8,-120,
34,-44,-24,
35,8,-40,
36,-32,-92,
37,-8,-32,
38,0,-128,
39,0,-56,
40,-24,-72,
41,4,-64,
42,24,-80,
43,-68,-92,
44,-32,-52,
45,0,-40,
46,4,-76,
47,8,-48,
48,-52,8,
49,-20,-120,
50,-56,-84,
51,0,-116,
52,24,-44,
53,0,-56,
54,24,-84,
55,-12,-52,
56,-4,-108,
57,56,-84,
58,20,-28,
59,-4,-76,
60,-32,-104,
61,4,-128,
62,68,-96,
63,68,-56,
64,8,-160,
65,32,-68,
66,-48,-140,
67,20,-60,
68,20,-100,
69,52,-84,
70,-44,-44,
71,20,-120,
72,-12,-60,
73,20,-48,
74,36,-120,
75,44,-92,
76,56,-80,
77,-36,-92,
78,24,-60,
79,28,-96,
80,40,-140,
81,16,-24,
82,0,-44,
83,-44,-56,
84,-20,-64,
85,-56,-44,
86,48,-20,
87,48,-76,
88,-8,-40,
89,0,-72,
90,-12,-100,
91,4,-96,
92,8,-116,
93,-28,-136,
94,-20,-20,
95,28,0,
96,-4,-68,
97,60,-132,
98,-4,-128,
99,40,-92,
100,48,-60,
101,12,-76,
102,0,-72,
103,28,-116,
104,-4,-68,
105,32,-48,
106,0,-136,
107,28,-20,
108,0,-64,
109,20,-144,
110,40,-124,
111,-16,-36,
112,-48,-32,
113,20,-84,
114,0,-76,
115,0,-68,
116,36,-28,
117,56,-80,
118,12,-68,
119,32,-92,
120,-12,-40,
121,-52,-48,
122,-8,-148,
123,16,-116,
124,12,-108,
125,-24,-92,
126,-20,-68,
127,16,-120,
128,24,-16,
129,-4,-40,
130,8,-28,
131,-24,-136,
132,60,-120,
133,44,-20,
134,-4,-32,
135,-44,-124,
136,-24,-52,
137,-36,-60,
138,28,-120,
139,4,-104,
140,28,-132,
141,4,-68,
142,-4,-20,
143,8,-104,
144,-44,-4,
145,-32,-124,
146,56,-72,
147,24,-120,
148,-64,-76,
149,-44,-40,
150,36,-36,
151,20,-24,
152,28,-96,
153,20,-8,
154,16,-92,
155,-12,-112,
156,36,-112,
157,-4,-92,
158,-8,-40,
159,-12,-16,
160,-16,-32,
161,-56,-84,
162,36,-36,
163,-12,-16,
164,-32,-108,
165,-4,-64,
166,16,-96,
167,12,-36,
168,0,-36,
169,8,-56,
170,-96,-20,
171,20,-60,
172,28,4,
173,-32,-52,
174,0,-124,
175,-32,-112,
176,-8,-48,
177,12,-68,
178,24,-32,
179,36,-76,
180,-32,-24,
181,-24,-80,
182,24,-80,
183,24,-8,
184,4,-28,
185,-12,-172,
186,0,-144,
187,0,-68,
188,-16,-124,
189,-12,-88,
190,-16,-84,
191,24,-108,
192,-4,-64,
193,-16,-24,
194,16,-32,
195,-8,-172,
196,-4,-56,
197,16,-48,
198,-4,-68,
199,20,-96,
200,60,-168,
201,44,-136,
202,-28,-116,
203,20,-72,
204,-4,-132,
205,-28,-96,
206,24,-76,
207,-52,-60,
208,8,-96,
209,4,-96,
210,56,-88,
211,64,-44,
212,-44,-112,
213,88,-188,
214,-12,-76,
215,-72,-160,
216,-12,-84,
217,-4,-8,
218,76,-32,
219,-28,-88,
220,24,-92,
221,12,-112,
222,-32,-76,
223,-56,-60,
224,36,-100,
225,0,-116,
226,-8,-144,
227,4,4,
228,0,-140,
229,-16,-128,
230,-84,-68,
231,32,-156,
232,-24,-124,
233,36,-104,
234,16,-76,
235,72,-84,
236,-4,-40,
237,20,-76,
238,-32,-52,
239,16,-116,
240,-4,-108,
241,4,-100,
242,72,-52,
243,12,-100,
244,20,-108,
245,24,-124,
246,44,-84,
247,16,-116,
248,0,-152,
249,12,-160,
250,20,-92,
251,-28,-100,
252,32,-68,
253,16,-116,
254,-4,-80,
255,-4,-184,
256,-24,-12,
257,4,-56,
258,12,-44,
259,28,-84,
260,-56,-68,
261,-12,-80,
262,-8,-132,
263,0,-68,
264,-4,-156,
265,4,-104,
266,-8,-8,
267,-12,-164,
268,-28,-144,
269,20,-96,
270,-12,-8,
271,-48,8,
272,0,-152,
273,-80,-128,
274,12,-92,
275,0,-108,
276,28,-48,
277,-28,-92,
278,8,-64,
279,12,-68,
280,-24,-88,
281,0,4,
282,64,-144,
283,-4,-28,
284,76,-52,
285,-12,-20,
286,36,-52,
287,20,-80,
288,72,-52,
289,12,-112,
290,0,-48,
291,20,-144,
292,-40,-32,
293,28,-64,
294,-60,-72,
295,4,-152,
296,-48,-56,
297,12,-68,
298,48,-24,
299,-8,-40,
