Step,Mag,Ham
0,-16,-4,
1,-16,-76,
2,-48,-16,
3,-24,-16,
4,20,-12,
5,-20,76,
6,8,12,
7,12,-104,
8,20,8,
9,-20,-16,
10,-4,-4,
11,-12,32,
12,0,28,
13,48,24,
14,16,12,
15,-4,-36,
16,-48,-4,
17,-8,-28,
18,-56,-20,
19,-20,0,
20,0,-24,
21,-4,-68,
22,12,-8,
23,-24,0,
24,-40,-44,
25,12,-16,
26,8,-20,
27,20,-12,
28,0,52,
29,16,-24,
30,48,-48,
31,-16,8,
32,-44,40,
33,4,40,
34,4,-92,
35,-24,4,
36,-24,40,
37,52,12,
38,16,72,
39,-44,12,
40,-72,-20,
41,-24,0,
42,-40,20,
43,-36,-32,
44,-16,-20,
45,8,16,
46,-44,-96,
47,4,36,
48,-12,40,
49,0,20,
50,-16,48,
51,16,76,
52,-28,28,
53,32,-108,
54,36,124,
55,16,-28,
56,4,-8,
57,-12,-28,
58,-36,0,
59,32,16,
60,-8,-20,
61,36,-36,
62,20,-80,
63,36,4,
64,-48,52,
65,0,-16,
66,36,-52,
67,-12,52,
68,20,12,
69,-48,36,
70,-12,36,
71,-16,-4,
72,0,16,
73,-72,-36,
74,12,-8,
75,-24,24,
76,20,-36,
77,0,-16,
78,-36,16,
79,4,-12,
80,-16,-36,
81,20,48,
82,12,12,
83,20,40,
84,0,-80,
85,-28,-52,
86,-16,-28,
87,8,-56,
88,20,60,
89,-4,-80,
90,52,-12,
91,20,76,
92,4,-24,
93,-24,0,
94,16,8,
95,-28,12,
96,-12,0,
97,-44,12,
98,-32,32,
99,16,-20,
100,32,-56,
101,-36,-24,
102,32,-40,
103,8,-24,
104,4,-8,
105,-24,56,
106,-20,-8,
107,-16,32,
108,8,92,
109,-36,-56,
110,24,-20,
111,12,-52,
112,32,36,
113,88,48,
114,4,0,
115,60,-28,
116,-36,-40,
117,-8,68,
118,-12,12,
119,-12,-12,
120,-28,-32,
121,-12,24,
122,4,-40,
123,-4,16,
124,24,-40,
125,68,56,
126,44,-4,
127,12,-44,
128,-40,20,
129,-36,-24,
130,-24,-56,
131,28,56,
132,28,-124,
133,-16,60,
134,-32,40,
135,-16,-20,
136,-4,-76,
137,4,-64,
138,40,-36,
139,0,20,
140,0,8,
141,32,0,
142,-20,36,
143,-12,-60,
144,-24,-28,
145,12,-12,
146,-8,-60,
147,-56,0,
148,8,16,
149,28,4,
150,-8,36,
151,24,16,
152,20,28,
153,-24,44,
154,-28,32,
155,28,4,
156,76,64,
157,32,52,
158,16,-32,
159,16,32,
160,-44,-68,
161,16,44,
162,-16,-36,
163,-52,0,
164,4,-20,
165,4,44,
166,-16,-20,
167,-40,24,
168,-56,40,
169,-20,44,
170,-8,0,
171,-16,-4,
172,-12,-20,
173,64,-44,
174,-8,44,
175,-28,16,
176,28,0,
177,0,52,
178,24,-40,
179,-20,44,
180,-4,12,
181,-4,-80,
182,8,-4,
183,-32,76,
184,28,-96,
185,0,48,
186,28,0,
187,0,0,
188,36,-84,
189,-8,48,
190,-12,32,
191,8,-68,
192,20,-52,
193,-4,0,
194,20,-88,
195,-12,-8,
196,-20,56,
197,-8,4,
198,0,-36,
199,4,-28,
200,-24,-24,
201,64,80,
202,68,68,
203,0,24,
204,36,32,
205,-28,-8,
206,-20,-20,
207,-8,20,
208,32,-20,
209,16,-80,
210,20,-20,
211,-12,-24,
212,4,8,
213,0,-24,
214,56,8,
215,44,-32,
216,32,80,
217,40,8,
218,32,-24,
219,8,-44,
220,-8,4,
221,4,4,
222,44,-32,
223,-8,-32,
224,4,8,
225,0,36,
226,12,28,
227,-8,-48,
228,-4,-48,
229,-28,-36,
230,-4,-20,
231,4,-12,
232,-16,72,
233,4,84,
234,8,-20,
235,-36,28,
236,-44,20,
237,-8,-116,
238,-16,-56,
239,0,-48,
240,-48,-56,
241,-4,0,
242,-24,-56,
243,-16,-56,
244,20,-48,
245,32,64,
246,-44,4,
247,4,4,
248,-4,-16,
249,-48,-92,
250,56,-16,
251,-32,-32,
252,4,12,
253,-36,-32,
254,20,4,
255,8,-20,
256,24,-16,
257,-8,-4,
258,-60,12,
259,40,48,
260,12,-56,
261,20,36,
262,44,48,
263,20,36,
264,0,-20,
265,-52,12,
266,-28,80,
267,0,-64,
268,40,24,
269,-16,4,
270,48,-28,
271,-36,12,
272,80,8,
273,24,64,
274,56,-56,
275,0,12,
276,32,16,
277,20,-48,
278,24,44,
279,44,-72,
280,-12,8,
281,4,24,
282,24,-4,
283,52,36,
284,16,-20,
285,24,-48,
286,24,-40,
287,-32,-16,
288,28,-68,
289,0,12,
290,0,-80,
291,16,-24,
292,36,-24,
293,0,44,
294,-36,28,
295,20,48,
296,0,20,
297,48,-4,
298,-20,8,
299,-28,84,
