Step,Mag,Ham
0,-52,-28,
1,24,60,
2,20,-40,
3,-28,-8,
4,36,-56,
5,-8,-8,
6,28,24,
7,-4,-8,
8,0,28,
9,16,-108,
10,12,52,
11,-24,-40,
12,20,-48,
13,-8,16,
14,4,-8,
15,-4,-12,
16,0,-60,
17,12,-80,
18,-60,-16,
19,0,44,
20,-40,28,
21,8,16,
22,44,-8,
23,-8,-4,
24,-8,0,
25,12,-20,
26,12,28,
27,-52,-68,
28,36,-52,
29,-28,-52,
30,-64,-32,
31,-24,24,
32,28,48,
33,-8,16,
34,12,-36,
35,-16,28,
36,-28,-12,
37,-24,28,
38,-16,32,
39,56,-16,
40,-28,-28,
41,-4,52,
42,-4,32,
43,-24,8,
44,-24,20,
45,-8,-8,
46,8,20,
47,20,-44,
48,20,24,
49,-20,-36,
50,0,-56,
51,24,28,
52,20,-12,
53,-16,20,
54,-44,-28,
55,92,-20,
56,12,-28,
57,68,32,
58,24,12,
59,36,-88,
60,24,-16,
61,20,32,
62,32,84,
63,12,-36,
64,-16,56,
65,-8,84,
66,24,-12,
67,-8,-12,
68,-4,80,
69,-4,-68,
70,40,-16,
71,-16,-20,
72,-4,-92,
73,-8,8,
74,-20,-16,
75,-28,16,
76,0,-12,
77,-52,-8,
78,20,-28,
79,-40,0,
80,-32,-32,
81,-20,-16,
82,-16,-28,
83,68,-72,
84,16,20,
85,4,8,
86,8,52,
87,-32,-16,
88,0,24,
89,24,-60,
90,16,-4,
91,-12,0,
92,-40,-48,
93,-4,-8,
94,4,0,
95,24,-76,
96,16,-40,
97,-4,-16,
98,-24,-12,
99,-32,-56,
100,12,8,
101,-52,-32,
102,32,-44,
103,-16,0,
104,28,-20,
105,-40,-36,
106,0,-108,
107,0,-16,
108,-24,24,
109,24,12,
110,48,4,
111,-28,36,
112,64,-56,
113,4,-72,
114,0,-16,
115,-36,-8,
116,-24,-60,
117,4,40,
118,-44,-28,
119,76,40,
120,-20,-80,
121,20,-88,
122,-24,32,
123,-20,-96,
124,8,-68,
125,32,-16,
126,4,-24,
127,52,-36,
128,8,-4,
129,32,-36,
130,12,-8,
131,16,-80,
132,-20,-32,
133,-28,-92,
134,20,4,
135,40,-40,
136,-44,44,
137,-72,-40,
138,32,-64,
139,-32,-96,
140,4,-64,
141,52,-36,
142,24,-12,
143,52,-52,
144,-56,32,
145,-12,16,
146,-8,-16,
147,-44,12,
148,0,20,
149,0,-56,
150,8,32,
151,-20,-52,
152,4,4,
153,24,-64,
154,-12,48,
155,12,72,
156,0,-52,
157,-4,0,
158,36,-36,
159,28,-60,
160,4,32,
161,48,-68,
162,-16,-32,
163,20,-92,
164,-16,24,
165,-20,36,
166,-4,-36,
167,24,-72,
168,32,12,
169,20,-68,
170,-28,-36,
171,0,-68,
172,4,-40,
173,0,48,
174,-52,-108,
175,36,-40,
176,28,-96,
177,-24,0,
178,-12,-96,
179,28,24,
180,20,-16,
181,12,-36,
182,4,-16,
183,-40,-12,
184,-16,56,
185,-8,68,
186,56,-24,
187,64,28,
188,16,-60,
189,8,-88,
190,36,-24,
191,-40,36,
192,8,8,
193,-12,-4,
194,-4,-64,
195,4,-68,
196,-24,16,
197,-20,-72,
198,-12,-36,
199,-12,0,
200,8,12,
201,-40,-40,
202,-36,-28,
203,16,20,
204,-20,12,
205,-36,-52,
206,0,12,
207,-8,4,
208,-20,28,
209,-16,80,
210,-8,52,
211,32,-24,
212,4,12,
213,52,20,
214,-52,16,
215,-40,-32,
216,-28,-80,
217,36,-92,
218,48,52,
219,-24,12,
220,12,-40,
221,32,32,
222,-8,12,
223,-40,-36,
224,8,-112,
225,-8,-24,
226,-8,-28,
227,-8,-28,
228,-12,24,
229,8,-24,
230,-60,-40,
231,16,36,
232,52,20,
233,16,8,
234,12,-8,
235,-40,48,
236,-24,-76,
237,-4,-12,
238,32,36,
239,-12,8,
240,4,28,
241,-32,-12,
242,-52,12,
243,-92,24,
244,-72,20,
245,20,64,
246,-8,28,
247,20,20,
248,48,32,
249,-16,24,
250,16,-112,
251,40,44,
252,0,-144,
253,4,-12,
254,56,-20,
255,12,0,
256,-8,-32,
257,32,60,
258,-12,-68,
259,52,80,
260,44,-24,
261,8,12,
262,16,-48,
263,20,48,
264,-12,28,
265,-72,-48,
266,-24,-32,
267,52,0,
268,4,12,
269,40,-64,
270,0,-92,
271,52,24,
272,-12,-84,
273,20,-44,
274,-28,4,
275,4,-20,
276,-44,-112,
277,-16,-60,
278,8,16,
279,52,4,
280,68,-8,
281,24,-12,
282,-36,-28,
283,16,-24,
284,4,-28,
285,-16,64,
286,40,20,
287,8,24,
288,24,56,
289,-4,-76,
290,20,-40,
291,12,4,
292,-32,4,
293,32,-28,
294,12,48,
295,-12,-32,
296,0,36,
297,-52,-28,
298,-4,20,
299,0,-12,
