Step,Mag,Ham,
0,-8,-76,
1,8,-140,
2,40,-40,
3,20,-40,
4,32,-84,
5,-24,-112,
6,-20,-32,
7,-8,-128,
8,-32,-76,
9,8,-32,
10,-4,-76,
11,28,-88,
12,-8,-64,
13,44,-84,
14,-24,-100,
15,64,-68,
16,-20,-88,
17,4,-172,
18,4,-168,
19,40,-52,
20,-4,-24,
21,-4,0,
22,8,-136,
23,-20,-124,
24,-16,-64,
25,24,-108,
26,0,-80,
27,-80,-24,
28,-32,-44,
29,-56,-92,
30,-24,-132,
31,-8,-112,
32,-16,-104,
33,-52,-72,
34,32,-144,
35,16,-68,
36,-4,-32,
37,-12,-80,
38,0,-56,
39,-24,-112,
40,16,-44,
41,36,-132,
42,12,-112,
43,-44,-104,
44,-4,-64,
45,32,-156,
46,-20,-128,
47,56,-44,
48,36,-52,
49,-12,-116,
50,20,-120,
51,-44,-44,
52,-20,-52,
53,24,-96,
54,44,-116,
55,20,-88,
56,36,-16,
57,40,-84,
58,-4,-36,
59,16,-68,
60,0,-140,
61,60,-88,
62,-20,-60,
63,20,-72,
64,-4,-64,
65,0,-40,
66,8,-32,
67,0,-68,
68,24,-108,
69,52,-120,
70,-8,-168,
71,-24,-136,
72,24,-124,
73,56,-68,
74,4,-56,
75,-40,12,
76,8,12,
77,-84,-76,
78,4,-100,
79,20,-140,
80,-64,-56,
81,-28,-56,
82,52,-44,
83,48,-76,
84,-28,-156,
85,40,-52,
86,-20,-60,
87,72,-104,
88,-64,-28,
89,-12,-44,
90,-36,-128,
91,48,-76,
92,4,-84,
93,-36,-112,
94,-32,-144,
95,-4,-44,
96,-12,-92,
97,-28,-80,
98,-40,-32,
99,24,-116,
100,44,-24,
101,28,-104,
102,-20,-20,
103,4,-84,
104,4,-112,
105,40,-96,
106,-4,0,
107,28,-72,
108,36,-28,
109,-4,-12,
110,-16,-92,
111,-12,-60,
112,0,-100,
113,4,-140,
114,-8,-104,
115,56,-104,
116,-76,-52,
117,4,-140,
118,12,-108,
119,-36,-36,
120,-48,-32,
121,-52,-40,
122,-24,-76,
123,-4,-40,
124,12,-112,
125,16,-64,
126,32,-40,
127,-32,-156,
128,4,-84,
129,28,-104,
130,32,-124,
131,64,-128,
132,-48,-4,
133,-16,-80,
134,-8,-8,
135,-8,-112,
136,-8,-188,
137,-20,-132,
138,44,-32,
139,-12,-72,
140,44,-88,
141,-28,-128,
142,12,-116,
143,24,-28,
144,12,-64,
145,20,-108,
146,16,-32,
147,-32,-88,
148,-24,-64,
149,-8,-36,
150,-4,-28,
151,-12,-108,
152,-36,-112,
153,24,-124,
154,-8,-92,
155,8,-16,
156,-36,-8,
157,-24,-24,
158,-36,-48,
159,8,-64,
160,4,-100,
161,-28,-104,
162,32,-96,
163,-40,-136,
164,32,-132,
165,0,-84,
166,-32,-112,
167,8,-152,
168,-24,-44,
169,8,-44,
170,-36,-92,
171,24,16,
172,24,0,
173,-60,-96,
174,-12,-96,
175,-32,-8,
176,-48,-8,
177,-24,-132,
178,8,-84,
179,-32,-8,
180,-52,-180,
181,28,-76,
182,-16,-92,
183,16,-116,
184,4,-156,
185,40,-36,
186,16,-92,
187,0,24,
188,16,-108,
189,-44,-76,
190,-8,-124,
191,28,-36,
192,56,-104,
193,-8,-104,
194,-16,-76,
195,20,-96,
196,-56,-68,
197,12,-44,
198,-40,12,
199,-28,-48,
200,40,-72,
201,16,-88,
202,-44,-104,
203,0,-64,
204,-64,-12,
205,-44,-88,
206,16,-76,
207,60,-80,
208,-4,-60,
209,0,-24,
210,0,-76,
211,-16,-112,
212,-24,-84,
213,-36,-40,
214,0,-76,
215,-28,-68,
216,-12,-8,
217,0,-92,
218,-36,-100,
219,-28,-104,
220,20,-72,
221,24,-112,
222,4,-132,
223,-8,-116,
224,-4,-40,
225,-16,-128,
226,-28,-104,
227,4,-80,
228,-16,-164,
229,-28,-68,
230,-16,-60,
231,12,-40,
232,-12,-32,
233,-8,-88,
234,88,-84,
235,12,-104,
236,-8,-100,
237,60,-116,
238,-12,-120,
239,-4,-52,
240,12,-96,
241,4,-80,
242,20,-68,
243,-28,-120,
244,-28,-68,
245,32,-88,
246,28,-40,
247,-4,-64,
248,0,-84,
249,-12,-104,
250,12,-76,
251,-24,-132,
252,-16,-108,
253,0,-132,
254,-16,-88,
255,-8,-80,
256,-20,-76,
257,0,-68,
258,36,-80,
259,-32,-132,
260,-8,-68,
261,52,-96,
262,0,-80,
263,8,-104,
264,56,-44,
265,-24,-24,
266,20,-68,
267,8,-36,
268,-24,-156,
269,24,-48,
270,-24,-68,
271,40,-56,
272,40,-12,
273,48,-84,
274,-40,-160,
275,0,-16,
276,16,-68,
277,-8,-124,
278,40,20,
279,68,-68,
280,20,-160,
281,-12,-56,
282,4,-92,
283,-24,-156,
284,32,-124,
285,-8,-52,
286,4,-92,
287,24,-68,
288,0,-80,
289,-12,-60,
290,60,-136,
291,-8,-16,
292,28,-96,
293,24,-108,
294,44,-8,
295,8,-76,
296,20,-124,
297,40,-84,
298,-32,-76,
299,-48,-52,
