Step,Mag,Ham,
0,18,-44,
1,50,-36,
2,30,-40,
3,-26,-8,
4,34,48,
5,42,-12,
6,-18,56,
7,10,-56,
8,2,-28,
9,-42,88,
10,86,76,
11,30,-32,
12,14,40,
13,18,-4,
14,14,-64,
15,22,-36,
16,-2,-56,
17,-22,-20,
18,50,-24,
19,42,-52,
20,70,-12,
21,2,-8,
22,58,36,
23,22,-4,
24,-10,-16,
25,-2,28,
26,-78,-44,
27,-26,52,
28,-38,100,
29,2,-28,
30,-66,8,
31,6,36,
32,-30,48,
33,-26,-20,
34,-2,-36,
35,-2,32,
36,-46,36,
37,10,-88,
38,-54,-32,
39,-26,4,
40,-30,-56,
41,22,60,
42,-26,44,
43,50,0,
44,-14,0,
45,-14,-28,
46,34,-96,
47,18,116,
48,-2,40,
49,2,64,
50,-18,52,
51,50,12,
52,-34,-92,
53,-18,-84,
54,-10,4,
55,26,60,
56,30,0,
57,70,36,
58,-58,0,
59,10,4,
60,-2,-68,
61,-2,96,
62,-14,-52,
63,-14,32,
64,-54,-68,
65,18,-48,
66,-42,16,
67,14,-40,
68,34,4,
69,26,68,
70,54,16,
71,-58,84,
72,-30,-8,
73,-46,16,
74,-14,-76,
75,-18,-24,
76,26,-60,
77,2,32,
78,34,-12,
79,26,-68,
80,-26,-60,
81,14,12,
82,22,-44,
83,22,36,
84,6,-76,
85,38,-20,
86,-22,144,
87,74,-40,
88,42,32,
89,14,92,
90,-22,100,
91,-2,4,
92,58,-16,
93,-62,-8,
94,-34,-84,
95,70,-48,
96,14,-8,
97,42,-32,
98,-10,76,
99,34,-16,
100,-14,-32,
101,2,8,
102,14,60,
103,-94,-24,
104,-34,16,
105,-18,-96,
106,2,-20,
107,-26,-16,
108,-10,-8,
109,10,-24,
110,2,-20,
111,2,4,
112,-46,28,
113,14,-36,
114,-18,-48,
115,2,44,
116,10,-28,
117,-10,20,
118,14,-72,
119,2,40,
120,22,-16,
121,10,0,
122,10,-12,
123,-34,16,
124,-14,-60,
125,14,-68,
126,-6,-56,
127,30,-36,
128,22,-28,
129,34,40,
130,-2,-36,
131,-70,48,
132,-10,8,
133,18,-12,
134,2,12,
135,-2,88,
136,10,-32,
137,-2,-96,
138,-14,24,
139,18,-40,
140,-14,72,
141,10,-36,
142,26,-20,
143,2,-56,
144,6,-84,
145,6,-4,
146,14,-8,
147,6,-32,
148,-6,-76,
149,26,-56,
150,10,-4,
151,-54,8,
152,66,24,
153,-2,56,
154,14,0,
155,-2,-24,
156,-50,0,
157,-38,20,
158,2,4,
159,-50,-20,
160,-6,-20,
161,14,20,
162,18,92,
163,-14,4,
164,10,20,
165,-42,-28,
166,18,28,
167,-26,-116,
168,2,-28,
169,22,12,
170,-30,-24,
171,46,104,
172,42,44,
173,-10,-52,
174,6,-16,
175,58,0,
176,-50,36,
177,10,-20,
178,22,40,
179,-22,72,
180,-46,20,
181,-26,-28,
182,26,-52,
183,-2,52,
184,-50,44,
185,-30,12,
186,-10,8,
187,-38,-28,
188,-14,-24,
189,-38,4,
190,6,28,
191,26,44,
192,34,-20,
193,26,-60,
194,34,-4,
195,-14,-16,
196,-2,-116,
197,-10,-56,
198,46,44,
199,38,4,
200,-10,-88,
201,-42,-12,
202,10,12,
203,-50,-8,
204,-34,72,
205,30,-12,
206,-14,0,
207,2,0,
208,-42,-4,
209,6,-24,
210,-22,4,
211,2,-56,
212,-14,28,
213,-22,12,
214,58,-48,
215,-94,-16,
216,-6,4,
217,38,52,
218,50,-20,
219,-34,-4,
220,42,-4,
221,22,-4,
222,22,0,
223,-22,-48,
224,22,-96,
225,46,28,
226,26,92,
227,66,12,
228,46,60,
229,-26,48,
230,62,16,
231,2,60,
232,2,-60,
233,-2,8,
234,-14,60,
235,6,56,
236,34,28,
237,-62,16,
238,-30,-56,
239,62,84,
240,38,44,
241,-2,-60,
242,-18,16,
243,38,28,
244,42,12,
245,-6,-68,
246,26,36,
247,18,-120,
248,2,-24,
249,30,-28,
250,2,-48,
251,-22,-12,
252,-30,-36,
253,22,84,
254,6,-104,
255,14,40,
256,-14,88,
257,-58,48,
258,2,4,
259,46,-32,
260,-6,4,
261,-34,-72,
262,18,20,
263,-6,72,
264,-18,12,
265,-26,-24,
266,70,28,
267,10,-44,
268,14,36,
269,-18,20,
270,6,92,
271,-66,28,
272,62,0,
273,22,-44,
274,54,0,
275,-22,12,
276,-14,20,
277,22,-20,
278,-2,-32,
279,14,-12,
280,-14,52,
281,62,44,
282,2,16,
283,-46,-4,
284,-6,-24,
285,62,-16,
286,2,-56,
287,-54,20,
288,10,-32,
289,14,-28,
290,-14,72,
291,-10,-92,
292,-6,20,
293,-2,96,
294,10,84,
295,-42,12,
296,82,-12,
297,-2,-16,
298,42,36,
299,-2,-4,
