Step,Mag,Ham,
0,-26,-184,
1,-18,-80,
2,-18,-100,
3,-14,-156,
4,-10,-140,
5,-14,-212,
6,-62,-88,
7,-6,-124,
8,-38,-104,
9,74,-104,
10,22,-112,
11,66,-84,
12,22,-144,
13,-18,-128,
14,-2,-96,
15,10,-104,
16,26,-108,
17,-58,-128,
18,-14,-124,
19,-46,-164,
20,-18,-100,
21,-26,-100,
22,2,-132,
23,6,-92,
24,-2,-88,
25,22,-180,
26,-10,-92,
27,38,-48,
28,22,-148,
29,2,-104,
30,38,-156,
31,2,-132,
32,6,-64,
33,42,-96,
34,22,-144,
35,-6,-60,
36,-10,-36,
37,22,-112,
38,-10,-196,
39,30,-128,
40,-22,-132,
41,6,-120,
42,-2,-136,
43,70,-84,
44,-10,-120,
45,34,-96,
46,-2,-32,
47,10,-104,
48,34,-144,
49,30,-136,
50,-70,-108,
51,-22,-120,
52,-18,-84,
53,-18,-140,
54,-6,-116,
55,-30,-116,
56,-6,-164,
57,14,-124,
58,-18,-164,
59,26,-120,
60,-46,-92,
61,6,-108,
62,-2,-172,
63,26,-204,
64,-10,-96,
65,-22,-72,
66,-18,-188,
67,-2,-100,
68,-18,-68,
69,14,-128,
70,30,-40,
71,26,-104,
72,-6,-72,
73,34,-120,
74,-6,-132,
75,50,-96,
76,-50,-84,
77,58,-148,
78,22,-240,
79,62,-132,
80,-26,-80,
81,-6,-48,
82,18,-172,
83,-22,-120,
84,2,-108,
85,66,-144,
86,-18,-112,
87,46,-32,
88,-38,-124,
89,-42,-196,
90,30,-64,
91,58,-156,
92,34,-100,
93,26,-44,
94,10,-124,
95,70,-100,
96,6,-180,
97,22,-140,
98,6,-132,
99,-46,-156,
100,-34,-188,
101,-10,-184,
102,10,-116,
103,30,-144,
104,14,-188,
105,-42,-60,
106,22,-112,
107,-34,-132,
108,-6,-148,
109,-10,-152,
110,2,-120,
111,-30,-208,
112,-70,-48,
113,-10,-56,
114,-26,-148,
115,22,-184,
116,10,-8,
117,-34,-68,
118,46,-132,
119,-66,-92,
120,18,-124,
121,14,-104,
122,-70,-108,
123,2,-212,
124,-14,-188,
125,-2,-72,
126,-26,-44,
127,-34,-76,
128,-10,-204,
129,-22,-100,
130,-2,-92,
131,6,-148,
132,30,-164,
133,-30,-80,
134,-2,-56,
135,-34,-76,
136,-6,-84,
137,-34,-212,
138,10,-116,
139,54,-80,
140,-10,-124,
141,-14,-124,
142,42,-148,
143,-14,-144,
144,10,-196,
145,-2,-156,
146,-42,-84,
147,-82,-180,
148,-26,-168,
149,22,-116,
150,74,-100,
151,66,-132,
152,-6,-68,
153,10,-128,
154,62,-104,
155,-14,-104,
156,14,-124,
157,-2,-76,
158,-14,-136,
159,-62,-188,
160,-54,-76,
161,-2,-108,
162,-42,-76,
163,66,-12,
164,-26,-228,
165,66,-48,
166,-22,-184,
167,26,-108,
168,-86,-96,
169,-6,-132,
170,-26,-152,
171,-14,-172,
172,26,-176,
173,58,-92,
174,10,-192,
175,2,-128,
176,14,-128,
177,2,-152,
178,-54,-136,
179,26,-164,
180,46,-156,
181,-14,-164,
182,10,-52,
183,6,-100,
184,-22,-116,
185,6,-136,
186,-18,-120,
187,2,-64,
188,-2,-76,
189,-10,-128,
190,34,0,
191,-26,-64,
192,-50,-164,
193,22,-88,
194,42,-128,
195,10,-100,
196,-22,-88,
197,26,-148,
198,-38,-120,
199,38,-124,
200,-22,-176,
201,-2,-156,
202,58,-92,
203,26,-140,
204,14,-168,
205,-50,-116,
206,22,-96,
207,-38,-216,
208,14,-104,
209,-6,-52,
210,-38,-72,
211,-10,-180,
212,-30,-116,
213,22,-148,
214,-22,-96,
215,10,-128,
216,-58,-116,
217,-46,-12,
218,14,-164,
219,-66,-84,
220,-38,-172,
221,66,-128,
222,-18,-164,
223,34,-88,
224,-6,-56,
225,-54,-60,
226,-50,-132,
227,2,-128,
228,22,-120,
229,-2,-144,
230,-18,-92,
231,-6,-104,
232,-26,-144,
233,10,-116,
234,86,-88,
235,82,-96,
236,-22,-112,
237,-14,-180,
238,34,-36,
239,26,-96,
240,14,-192,
241,-6,-148,
242,-62,-84,
243,-22,-120,
244,-6,-76,
245,-66,-144,
246,54,-120,
247,-2,-44,
248,-14,-140,
249,-14,-112,
250,-46,-128,
251,-38,-120,
252,-6,-168,
253,-6,-116,
254,-6,-132,
255,-22,-144,
256,-14,-44,
257,2,-128,
258,18,-140,
259,50,-212,
260,26,-148,
261,-18,-168,
262,-26,-100,
263,10,-136,
264,26,-68,
265,30,-72,
266,34,-152,
267,6,-76,
268,-46,-32,
269,-18,-132,
270,14,-176,
271,26,-120,
272,18,-176,
273,-6,-124,
274,38,-76,
275,58,-160,
276,-10,-56,
277,38,-84,
278,6,-120,
279,6,-108,
280,-18,-112,
281,2,-128,
282,-42,-88,
283,6,-116,
284,-2,-92,
285,-2,-108,
286,-50,-188,
287,10,-200,
288,30,-72,
289,18,-40,
290,-18,-200,
291,-14,-84,
292,-2,-76,
293,18,-4,
294,30,-172,
295,-18,-88,
296,-6,-176,
297,-6,-100,
298,-22,-172,
299,10,-116,
