Step,Mag,Ham,
0,66,-36,
1,6,-24,
2,6,-72,
3,22,-68,
4,50,-68,
5,-14,-28,
6,-46,-100,
7,-14,-112,
8,38,-96,
9,42,-88,
10,-6,-76,
11,-26,-108,
12,-10,-132,
13,-6,-140,
14,14,-8,
15,70,-32,
16,-54,-56,
17,2,-96,
18,-10,-16,
19,14,-100,
20,-14,-48,
21,-38,-84,
22,6,-96,
23,-34,-156,
24,2,-132,
25,-22,-112,
26,50,-52,
27,-86,-28,
28,-2,-172,
29,-34,-96,
30,-10,-12,
31,-22,-124,
32,6,-44,
33,10,-56,
34,-38,-76,
35,30,-104,
36,-2,-60,
37,-14,-28,
38,-14,-88,
39,-26,-84,
40,26,-96,
41,70,-112,
42,6,-60,
43,-38,-40,
44,22,-112,
45,-46,-32,
46,-58,-92,
47,-30,-80,
48,22,-76,
49,-38,-40,
50,6,-80,
51,38,8,
52,-42,-40,
53,6,-100,
54,-22,-20,
55,22,-68,
56,22,-72,
57,42,8,
58,-2,-48,
59,22,-152,
60,-10,-144,
61,-50,-144,
62,-10,-52,
63,14,-32,
64,-26,-72,
65,14,-96,
66,6,-52,
67,18,-96,
68,-42,-12,
69,14,32,
70,42,-88,
71,34,-52,
72,-58,-96,
73,-10,-144,
74,-22,-68,
75,6,-40,
76,26,-84,
77,-82,-44,
78,14,-100,
79,6,-88,
80,2,-160,
81,14,-76,
82,-22,-4,
83,14,-68,
84,-22,-132,
85,-78,-28,
86,22,-48,
87,-30,-64,
88,-18,-76,
89,62,-100,
90,6,-108,
91,14,-16,
92,-26,-124,
93,2,-36,
94,22,-108,
95,18,-76,
96,38,-40,
97,-10,-32,
98,18,0,
99,2,-44,
100,-58,-124,
101,46,-96,
102,18,-96,
103,-22,-68,
104,18,-48,
105,-30,-124,
106,-2,-24,
107,-2,-56,
108,-38,-24,
109,-18,-72,
110,-6,-72,
111,42,-56,
112,14,-104,
113,-14,-120,
114,30,-100,
115,46,-24,
116,54,-92,
117,-30,-44,
118,-42,-24,
119,-62,-64,
120,2,-96,
121,-34,-84,
122,6,-100,
123,-50,-44,
124,6,-12,
125,-30,-20,
126,22,-192,
127,-38,-56,
128,30,-168,
129,-54,-84,
130,2,-44,
131,2,-192,
132,-38,-80,
133,-10,-164,
134,-2,-44,
135,-50,-60,
136,-30,-104,
137,-10,-128,
138,-10,-64,
139,-26,-104,
140,30,-36,
141,6,-40,
142,34,-100,
143,-94,-136,
144,18,-212,
145,-10,-68,
146,-30,-80,
147,-6,-48,
148,6,-124,
149,10,-120,
150,-22,-88,
151,6,-16,
152,-34,-164,
153,-10,-16,
154,34,-72,
155,-42,-92,
156,-6,-136,
157,-22,-96,
158,30,-96,
159,-10,-68,
160,-14,-28,
161,-42,-60,
162,34,-132,
163,-6,-84,
164,78,-92,
165,34,-52,
166,42,-96,
167,26,-24,
168,78,-88,
169,-6,-92,
170,38,-20,
171,-6,-28,
172,14,-140,
173,-22,-28,
174,-34,-112,
175,34,-112,
176,10,-100,
177,18,-84,
178,-70,-60,
179,-14,-52,
180,46,-56,
181,30,-120,
182,26,-64,
183,-2,-12,
184,2,-104,
185,-58,-156,
186,-42,-76,
187,42,-112,
188,-42,-40,
189,2,-96,
190,22,-48,
191,34,-128,
192,30,-88,
193,-34,-80,
194,18,-148,
195,10,-112,
196,-34,-108,
197,-14,-108,
198,34,-192,
199,-10,-72,
200,-10,-112,
201,22,-56,
202,-14,-124,
203,30,-64,
204,14,-116,
205,-6,-196,
206,10,-64,
207,-14,-116,
208,-2,-52,
209,-14,-144,
210,-50,-64,
211,26,-96,
212,-102,-20,
213,18,-108,
214,54,-72,
215,-10,-64,
216,22,-156,
217,-22,-116,
218,46,-88,
219,38,-76,
220,-14,-128,
221,-30,-60,
222,42,-12,
223,-22,-24,
224,22,-96,
225,-2,-72,
226,14,-36,
227,30,-108,
228,22,-112,
229,-14,-88,
230,2,-68,
231,-10,-120,
232,-42,-128,
233,90,-72,
234,6,-36,
235,10,-56,
236,2,-52,
237,22,-36,
238,6,-48,
239,-26,-88,
240,-70,-116,
241,-42,-80,
242,46,-84,
243,-54,-80,
244,30,-60,
245,30,-108,
246,10,-100,
247,-30,-40,
248,2,-52,
249,-10,-48,
250,-46,-76,
251,-6,-44,
252,-54,-24,
253,-102,-60,
254,30,-12,
255,-10,-108,
256,30,12,
257,-34,-52,
258,30,-76,
259,-2,-76,
260,6,-124,
261,14,-84,
262,42,-92,
263,42,-148,
264,22,-52,
265,22,-104,
266,14,-76,
267,34,-184,
268,54,-104,
269,22,-144,
270,6,-144,
271,26,-84,
272,54,-112,
273,18,-88,
274,2,-108,
275,-22,-108,
276,-2,-44,
277,18,-152,
278,10,-120,
279,14,-36,
280,38,-60,
281,34,-100,
282,-58,-68,
283,6,-80,
284,54,-24,
285,38,-40,
286,26,-188,
287,-2,-64,
288,26,-112,
289,-10,-136,
290,-6,-80,
291,54,-44,
292,14,-116,
293,-2,-60,
294,-22,-32,
295,-50,-100,
296,-18,-60,
297,-26,-56,
298,-34,-108,
299,26,-56,
