Step,Mag,Ham,
0,0,-16,
1,-68,0,
2,-8,-4,
3,-4,4,
4,24,-76,
5,28,-24,
6,-4,32,
7,0,-28,
8,-16,-104,
9,-52,-76,
10,-36,-60,
11,-8,-16,
12,24,-96,
13,-24,88,
14,-36,-48,
15,68,-80,
16,36,-52,
17,-48,48,
18,-16,-52,
19,40,12,
20,-56,76,
21,-8,16,
22,60,-56,
23,0,-8,
24,24,-36,
25,36,28,
26,52,32,
27,12,44,
28,-8,40,
29,8,-12,
30,16,-32,
31,-36,44,
32,44,-56,
33,12,-52,
34,8,20,
35,16,-64,
36,-4,-8,
37,28,-32,
38,56,4,
39,24,-96,
40,4,-8,
41,-44,-8,
42,24,24,
43,16,-40,
44,4,88,
45,12,-4,
46,32,-80,
47,-20,-24,
48,-4,-4,
49,56,28,
50,-24,-116,
51,16,-24,
52,4,-36,
53,-4,28,
54,16,48,
55,4,-24,
56,-24,40,
57,-12,-16,
58,8,-72,
59,-36,-68,
60,0,-72,
61,36,20,
62,0,12,
63,-4,-16,
64,4,92,
65,-16,-60,
66,0,-4,
67,44,12,
68,-24,-48,
69,12,64,
70,-4,8,
71,8,-108,
72,4,-4,
73,-16,16,
74,40,-4,
75,24,-48,
76,16,-8,
77,-8,0,
78,12,-20,
79,56,-20,
80,12,-16,
81,44,4,
82,-48,-20,
83,28,-44,
84,-28,-8,
85,8,-20,
86,-12,-48,
87,-12,-24,
88,-16,-24,
89,-44,-4,
90,28,60,
91,44,16,
92,-20,20,
93,40,36,
94,-28,8,
95,-52,4,
96,-20,0,
97,16,28,
98,-12,-60,
99,20,-44,
100,36,-32,
101,48,-88,
102,4,-28,
103,20,-68,
104,28,8,
105,40,-44,
106,-24,-88,
107,12,-16,
108,-40,-44,
109,56,-48,
110,-24,-4,
111,-32,48,
112,36,0,
113,20,24,
114,-4,-44,
115,-36,-36,
116,16,-16,
117,-56,-48,
118,4,-36,
119,32,-20,
120,-4,-20,
121,-28,-76,
122,8,4,
123,8,36,
124,0,0,
125,56,-8,
126,-28,-32,
127,-64,36,
128,-52,-56,
129,16,-24,
130,20,-32,
131,32,16,
132,8,52,
133,-4,56,
134,-32,-32,
135,-96,8,
136,8,48,
137,16,-92,
138,-28,4,
139,64,0,
140,-4,-28,
141,24,8,
142,20,0,
143,-4,-32,
144,-72,36,
145,-40,-16,
146,12,-20,
147,32,8,
148,16,-8,
149,24,60,
150,20,-100,
151,-32,36,
152,8,-92,
153,-52,-72,
154,52,-84,
155,-24,-12,
156,-4,8,
157,20,24,
158,20,16,
159,-48,-52,
160,-36,48,
161,4,32,
162,-36,-16,
163,12,-56,
164,12,-8,
165,32,68,
166,44,68,
167,0,12,
168,-12,-88,
169,-8,-4,
170,0,-108,
171,56,32,
172,20,0,
173,16,-12,
174,16,-64,
175,24,-64,
176,-12,-16,
177,-12,-16,
178,-4,12,
179,-4,-32,
180,48,24,
181,-12,32,
182,-40,16,
183,20,68,
184,28,-56,
185,-20,4,
186,-40,0,
187,8,-8,
188,-20,-24,
189,12,20,
190,16,-4,
191,12,-104,
192,-40,32,
193,-8,-24,
194,16,-88,
195,-32,-8,
196,40,32,
197,0,0,
198,36,-32,
199,60,60,
200,8,-24,
201,4,-44,
202,-32,0,
203,48,-88,
204,16,-68,
205,-12,-100,
206,-8,-40,
207,20,-60,
208,-20,-48,
209,4,12,
210,28,-64,
211,8,-20,
212,16,28,
213,20,-48,
214,0,-12,
215,16,-36,
216,0,-36,
217,0,-40,
218,-36,-44,
219,-12,-36,
220,-16,-48,
221,8,-28,
222,-60,24,
223,-8,8,
224,8,-28,
225,-44,32,
226,-4,-80,
227,12,-52,
228,4,-64,
229,48,8,
230,28,28,
231,4,-8,
232,-32,48,
233,-52,40,
234,32,52,
235,4,-28,
236,0,-12,
237,24,0,
238,60,-4,
239,36,4,
240,12,-64,
241,56,-32,
242,4,-28,
243,-56,72,
244,-20,64,
245,16,-88,
246,-16,-40,
247,-12,4,
248,-48,8,
249,-20,12,
250,0,-16,
251,-40,-40,
252,-8,-28,
253,12,-28,
254,-12,16,
255,-36,-36,
256,32,12,
257,-16,52,
258,0,-12,
259,-8,4,
260,-40,-52,
261,-52,28,
262,24,-24,
263,8,-20,
264,76,-48,
265,20,48,
266,-12,52,
267,20,-44,
268,36,-16,
269,-20,-72,
270,-48,44,
271,4,4,
272,24,-8,
273,36,-104,
274,-32,0,
275,-40,-8,
276,-40,-64,
277,12,-28,
278,-60,-36,
279,-12,20,
280,8,-64,
281,8,-4,
282,-12,-28,
283,0,-32,
284,28,24,
285,32,36,
286,36,-20,
287,24,-68,
288,12,48,
289,24,-56,
290,-8,4,
291,4,-4,
292,40,8,
293,0,-116,
294,-28,-32,
295,0,-36,
296,12,-4,
297,-48,-44,
298,-16,84,
299,12,-60,
