Step,Mag,Ham,
0,-6,92,
1,42,28,
2,10,44,
3,6,-16,
4,10,12,
5,10,48,
6,-42,36,
7,-22,52,
8,-34,44,
9,50,100,
10,-34,40,
11,-6,20,
12,-34,32,
13,-18,-20,
14,-46,92,
15,-18,24,
16,-18,52,
17,6,40,
18,2,68,
19,-26,68,
20,2,76,
21,46,24,
22,22,16,
23,-34,160,
24,10,32,
25,50,60,
26,50,56,
27,-14,28,
28,-14,-16,
29,30,108,
30,-30,-32,
31,-50,36,
32,-10,36,
33,30,64,
34,-54,56,
35,22,116,
36,10,68,
37,-2,36,
38,-6,44,
39,10,44,
40,-58,76,
41,-38,16,
42,-58,-32,
43,-6,128,
44,-6,60,
45,-34,132,
46,2,108,
47,10,28,
48,-50,16,
49,-2,4,
50,-18,56,
51,6,68,
52,10,96,
53,-2,52,
54,38,68,
55,2,20,
56,-6,52,
57,-38,112,
58,34,48,
59,86,104,
60,-42,72,
61,-10,36,
62,46,20,
63,-22,28,
64,6,40,
65,42,124,
66,-6,20,
67,14,44,
68,-6,60,
69,-46,-4,
70,-18,36,
71,18,56,
72,42,28,
73,30,12,
74,-34,20,
75,-18,-24,
76,-54,104,
77,-2,-44,
78,2,128,
79,-58,12,
80,-2,72,
81,-2,32,
82,-6,0,
83,14,56,
84,34,52,
85,2,36,
86,-6,-28,
87,-2,28,
88,30,96,
89,6,-32,
90,38,48,
91,42,56,
92,-26,8,
93,34,-28,
94,-6,-52,
95,22,24,
96,-6,-8,
97,26,-4,
98,-46,28,
99,-22,92,
100,-30,0,
101,-42,52,
102,-2,132,
103,-22,48,
104,-34,100,
105,-2,96,
106,26,-20,
107,-10,100,
108,-6,44,
109,6,36,
110,-2,0,
111,18,88,
112,-18,-20,
113,-22,44,
114,6,-60,
115,6,8,
116,26,68,
117,22,80,
118,6,4,
119,-22,44,
120,30,16,
121,30,52,
122,-34,88,
123,-26,-4,
124,42,104,
125,50,116,
126,-2,40,
127,2,92,
128,18,28,
129,-2,0,
130,-14,64,
131,42,20,
132,-2,52,
133,26,-4,
134,-6,52,
135,10,64,
136,42,12,
137,-46,80,
138,14,48,
139,50,-52,
140,18,20,
141,10,40,
142,-6,52,
143,34,120,
144,-22,20,
145,-2,12,
146,-14,88,
147,18,16,
148,42,-16,
149,6,-12,
150,14,36,
151,-26,-4,
152,54,52,
153,38,60,
154,6,24,
155,-30,88,
156,2,12,
157,-42,96,
158,-18,20,
159,-26,36,
160,-34,68,
161,-2,40,
162,6,20,
163,22,40,
164,30,48,
165,70,84,
166,18,104,
167,34,0,
168,2,76,
169,-26,120,
170,-2,-24,
171,-2,20,
172,42,4,
173,6,-8,
174,46,32,
175,10,120,
176,2,0,
177,-14,36,
178,-2,72,
179,14,32,
180,46,44,
181,-34,56,
182,-22,0,
183,14,108,
184,46,56,
185,10,12,
186,10,48,
187,-10,-28,
188,30,12,
189,22,76,
190,2,64,
191,58,20,
192,30,-32,
193,42,20,
194,-2,40,
195,42,32,
196,18,4,
197,-14,48,
198,-14,24,
199,-14,76,
200,22,40,
201,-58,40,
202,6,84,
203,18,-4,
204,-50,48,
205,-10,80,
206,10,0,
207,18,92,
208,-26,36,
209,-38,44,
210,2,-32,
211,2,132,
212,14,36,
213,22,-52,
214,10,24,
215,10,36,
216,-34,124,
217,-2,8,
218,-18,60,
219,-6,20,
220,6,24,
221,-6,92,
222,14,44,
223,-74,40,
224,-18,68,
225,30,-4,
226,-46,0,
227,22,72,
228,2,-48,
229,34,20,
230,-10,44,
231,18,56,
232,-2,40,
233,10,40,
234,18,24,
235,66,-28,
236,26,-4,
237,38,0,
238,-14,16,
239,38,24,
240,-18,88,
241,-6,16,
242,-38,36,
243,10,-16,
244,42,72,
245,22,40,
246,-22,100,
247,-46,72,
248,-38,116,
249,-14,64,
250,-26,80,
251,6,36,
252,-38,28,
253,38,68,
254,14,-4,
255,-26,24,
256,6,-56,
257,-6,96,
258,42,52,
259,50,0,
260,10,-8,
261,26,40,
262,-22,40,
263,-6,-48,
264,-34,-76,
265,26,20,
266,42,44,
267,6,28,
268,-6,-44,
269,-14,-40,
270,2,60,
271,-18,96,
272,10,112,
273,-42,84,
274,-10,24,
275,-42,80,
276,-2,-44,
277,22,4,
278,22,36,
279,22,32,
280,14,48,
281,6,40,
282,-42,32,
283,-6,112,
284,6,28,
285,-10,32,
286,-14,60,
287,-14,4,
288,-34,-4,
289,82,116,
290,-2,40,
291,-14,56,
292,6,16,
293,14,88,
294,38,-32,
295,-26,32,
296,-26,36,
297,-14,32,
298,6,68,
299,38,100,
