Step,Mag,Ham,
0,36,24,
1,20,12,
2,-4,-8,
3,8,-8,
4,-20,56,
5,20,20,
6,16,36,
7,-24,-12,
8,-64,-12,
9,-20,8,
10,-16,60,
11,56,88,
12,-4,12,
13,-36,-4,
14,-16,0,
15,-4,32,
16,-24,-8,
17,-56,28,
18,-20,52,
19,24,40,
20,-36,76,
21,-12,80,
22,-28,24,
23,-32,24,
24,0,16,
25,12,-4,
26,-44,4,
27,20,8,
28,8,0,
29,32,20,
30,-4,136,
31,32,0,
32,-36,0,
33,-8,-48,
34,8,-52,
35,12,72,
36,-4,-60,
37,48,-4,
38,44,24,
39,-20,4,
40,8,52,
41,48,-4,
42,12,40,
43,8,-8,
44,-24,-24,
45,32,-16,
46,-4,40,
47,12,76,
48,16,-12,
49,-12,68,
50,48,4,
51,4,36,
52,-4,96,
53,8,8,
54,-8,20,
55,32,16,
56,-8,24,
57,-56,12,
58,36,-12,
59,24,0,
60,-40,88,
61,44,48,
62,52,40,
63,48,16,
64,16,64,
65,0,8,
66,92,20,
67,-20,-24,
68,-8,96,
69,-20,-28,
70,16,-52,
71,-28,16,
72,-16,60,
73,44,16,
74,20,36,
75,28,0,
76,-4,-4,
77,-20,24,
78,-24,44,
79,-16,-12,
80,-4,52,
81,-4,-32,
82,-36,-56,
83,88,4,
84,16,44,
85,0,-16,
86,52,48,
87,4,-84,
88,-28,44,
89,96,72,
90,48,-16,
91,16,12,
92,-16,-48,
93,-48,36,
94,-36,-40,
95,-24,-16,
96,8,-20,
97,24,-28,
98,24,-36,
99,-60,-24,
100,4,-8,
101,-44,64,
102,-16,8,
103,20,68,
104,20,0,
105,-16,-44,
106,28,28,
107,-48,-52,
108,-24,-36,
109,52,0,
110,-44,28,
111,-28,56,
112,-36,36,
113,-16,128,
114,52,-72,
115,24,-16,
116,-44,-8,
117,-32,8,
118,24,24,
119,-4,-4,
120,0,-4,
121,-44,-4,
122,8,32,
123,44,12,
124,-40,4,
125,-28,48,
126,8,32,
127,0,-92,
128,28,92,
129,36,28,
130,-28,104,
131,-44,-48,
132,32,8,
133,20,-36,
134,20,-60,
135,-32,36,
136,-36,60,
137,20,16,
138,-4,-60,
139,-28,-72,
140,24,-16,
141,-32,4,
142,-52,-52,
143,-32,52,
144,4,-24,
145,72,36,
146,-40,-12,
147,0,40,
148,-16,-80,
149,-28,-8,
150,-20,-40,
151,52,32,
152,28,-64,
153,12,20,
154,-16,0,
155,-40,-44,
156,20,-36,
157,-52,108,
158,0,52,
159,-48,124,
160,32,-48,
161,44,-28,
162,-16,4,
163,-24,44,
164,-8,64,
165,12,100,
166,-40,16,
167,-32,0,
168,-8,28,
169,24,-24,
170,-16,4,
171,8,36,
172,-16,8,
173,-20,28,
174,28,80,
175,20,44,
176,8,-52,
177,-16,-40,
178,-8,0,
179,32,44,
180,32,84,
181,-12,-64,
182,20,-28,
183,-64,-56,
184,0,0,
185,-28,-8,
186,44,64,
187,-8,24,
188,-20,48,
189,-56,12,
190,20,8,
191,-12,-4,
192,-12,28,
193,-12,64,
194,-28,-28,
195,-36,28,
196,-64,28,
197,-28,28,
198,52,-44,
199,-16,48,
200,24,-32,
201,-20,20,
202,4,-104,
203,0,36,
204,16,-4,
205,8,24,
206,20,4,
207,-4,20,
208,-24,-60,
209,-4,-16,
210,-40,-12,
211,32,72,
212,4,-8,
213,-8,-8,
214,4,-40,
215,-16,-64,
216,28,32,
217,36,-52,
218,-4,-20,
219,-64,-68,
220,16,-8,
221,-28,40,
222,40,-48,
223,64,-20,
224,-44,16,
225,16,100,
226,-28,12,
227,-8,-36,
228,16,20,
229,12,48,
230,60,16,
231,-16,-76,
232,0,-20,
233,-52,44,
234,-32,36,
235,44,64,
236,-44,12,
237,-44,8,
238,36,32,
239,12,-44,
240,16,-12,
241,-24,44,
242,-16,-4,
243,36,28,
244,24,24,
245,0,-36,
246,40,12,
247,52,68,
248,-12,56,
249,24,32,
250,-4,40,
251,-20,-12,
252,0,-4,
253,-8,-12,
254,0,20,
255,20,48,
256,4,40,
257,-28,48,
258,32,0,
259,-44,32,
260,4,120,
261,-100,20,
262,12,84,
263,28,20,
264,44,-4,
265,-32,0,
266,-44,36,
267,24,48,
268,-36,116,
269,4,-56,
270,-20,-16,
271,-28,36,
272,28,20,
273,-20,8,
274,-52,8,
275,-8,48,
276,-20,-36,
277,12,36,
278,32,-80,
279,8,12,
280,-8,24,
281,44,20,
282,4,4,
283,16,0,
284,16,-12,
285,24,36,
286,-24,96,
287,0,-40,
288,-44,-24,
289,-28,-4,
290,20,12,
291,-8,68,
292,-40,32,
293,12,48,
294,36,-12,
295,-16,-12,
296,40,-32,
297,32,-4,
298,-60,60,
299,24,40,
