Step,Mag,Ham,
0,82,-120,
1,6,-120,
2,-26,-104,
3,-46,-184,
4,66,-136,
5,70,-116,
6,10,-228,
7,18,-240,
8,-26,-232,
9,2,-156,
10,-34,-148,
11,26,-148,
12,14,-172,
13,14,-124,
14,26,-88,
15,-18,-160,
16,-18,-164,
17,-46,-76,
18,34,-172,
19,-34,-120,
20,6,-96,
21,-10,-200,
22,2,-148,
23,34,-236,
24,-2,-152,
25,46,-140,
26,-22,-204,
27,-26,-168,
28,-10,-264,
29,14,-152,
30,-2,-148,
31,-18,-184,
32,42,-204,
33,-10,-240,
34,18,-156,
35,-22,-228,
36,-46,-144,
37,-22,-148,
38,34,-216,
39,42,-120,
40,-2,-192,
41,-10,-204,
42,-18,-148,
43,-6,-204,
44,18,-148,
45,34,-232,
46,34,-168,
47,30,-148,
48,-6,-188,
49,38,-180,
50,-34,-104,
51,-14,-148,
52,-14,-204,
53,30,-124,
54,10,-172,
55,2,-160,
56,50,-184,
57,22,-140,
58,-6,-212,
59,38,-200,
60,-2,-156,
61,26,-184,
62,-58,-64,
63,-62,-108,
64,38,-104,
65,14,-184,
66,-2,-152,
67,-26,-80,
68,-34,-160,
69,-30,-160,
70,-2,-200,
71,50,-276,
72,-2,-136,
73,-18,-180,
74,-58,-100,
75,14,-204,
76,34,-300,
77,-54,-248,
78,-6,-204,
79,-14,-152,
80,2,-180,
81,-6,-124,
82,38,-216,
83,-6,-180,
84,38,-100,
85,18,-180,
86,26,-136,
87,-14,-104,
88,14,-228,
89,-26,-280,
90,-62,-132,
91,-18,-128,
92,-22,-128,
93,62,-120,
94,-74,-128,
95,-18,-184,
96,-6,-220,
97,6,-192,
98,-6,-196,
99,-30,-236,
100,-18,-216,
101,2,-44,
102,14,-120,
103,-2,-108,
104,34,-180,
105,78,-112,
106,-10,-204,
107,-22,-148,
108,10,-216,
109,-18,-160,
110,-34,-120,
111,-6,-264,
112,18,-92,
113,70,-156,
114,2,-156,
115,10,-192,
116,38,-200,
117,2,-172,
118,6,-136,
119,30,-204,
120,38,-116,
121,-6,-232,
122,14,-164,
123,42,-192,
124,30,-164,
125,-22,-120,
126,30,-148,
127,-6,-176,
128,-6,-204,
129,54,-116,
130,-22,-144,
131,30,-104,
132,18,-204,
133,50,-220,
134,22,-128,
135,-42,-188,
136,26,-220,
137,-18,-160,
138,-6,-144,
139,10,-180,
140,-22,-212,
141,-22,-180,
142,58,-192,
143,38,-184,
144,-2,-188,
145,26,-192,
146,6,-176,
147,-26,-108,
148,14,-188,
149,38,-96,
150,-46,-156,
151,2,-176,
152,-22,-116,
153,-2,-232,
154,-50,-172,
155,26,-172,
156,30,-200,
157,34,-148,
158,-26,-120,
159,-50,-184,
160,-6,-168,
161,78,-124,
162,-6,-164,
163,-22,-104,
164,-74,-156,
165,-46,-80,
166,-46,-156,
167,34,-176,
168,-34,-104,
169,6,-48,
170,-14,-140,
171,22,-64,
172,-42,-200,
173,10,-196,
174,54,-108,
175,-2,-172,
176,-2,-192,
177,-38,-140,
178,38,-168,
179,22,-180,
180,18,-224,
181,-2,-164,
182,18,-168,
183,-30,-120,
184,-30,-124,
185,18,-172,
186,30,-136,
187,2,-152,
188,42,-136,
189,-2,-244,
190,14,-128,
191,-2,-112,
192,6,-176,
193,38,-180,
194,6,-168,
195,-22,-148,
196,-30,-152,
197,-22,-128,
198,-26,-152,
199,14,-160,
200,50,-88,
201,46,-132,
202,-58,-136,
203,-58,-152,
204,66,-184,
205,2,-196,
206,-10,-196,
207,-14,-140,
208,30,-168,
209,2,-168,
210,-6,-104,
211,-2,-160,
212,34,-108,
213,18,-168,
214,6,-184,
215,-14,-168,
216,-6,-200,
217,10,-168,
218,-46,-172,
219,58,-240,
220,-30,-232,
221,26,-112,
222,-10,-192,
223,26,-180,
224,-22,-164,
225,14,-188,
226,-6,-140,
227,10,-148,
228,34,-156,
229,-6,-172,
230,14,-228,
231,22,-196,
232,6,-52,
233,-6,-228,
234,18,-156,
235,-10,-180,
236,-6,-152,
237,-54,-116,
238,-26,-72,
239,14,-188,
240,-26,-164,
241,22,-144,
242,58,-128,
243,-42,-104,
244,-6,-212,
245,50,-156,
246,38,-172,
247,98,-208,
248,2,-176,
249,14,-116,
250,-6,-160,
251,6,-104,
252,22,-124,
253,18,-136,
254,-2,-172,
255,-18,-136,
256,30,-84,
257,-42,-164,
258,18,-128,
259,-14,-184,
260,-6,-228,
261,30,-180,
262,38,-148,
263,6,-200,
264,26,-164,
265,-42,-224,
266,-26,-184,
267,34,-148,
268,-38,-188,
269,-50,-136,
270,-30,-248,
271,2,-204,
272,46,-224,
273,-54,-100,
274,6,-132,
275,-14,-124,
276,30,-200,
277,78,-196,
278,-10,-144,
279,-6,-64,
280,6,-172,
281,2,-168,
282,-34,-72,
283,-26,-212,
284,10,-160,
285,22,-168,
286,-30,-164,
287,26,-220,
288,-54,-152,
289,-18,-152,
290,22,-148,
291,2,-84,
292,2,-144,
293,-2,-92,
294,-14,-180,
295,46,-108,
296,22,-176,
297,10,-104,
298,-54,-188,
299,18,-168,
