Step,Mag,Ham,
0,40,120,
1,10,216,
2,-22,136,
3,16,216,
4,-28,176,
5,-66,224,
6,-18,132,
7,-82,164,
8,-68,120,
9,4,168,
10,-18,168,
11,-52,196,
12,74,252,
13,-10,244,
14,0,160,
15,-30,140,
16,-12,224,
17,-76,212,
18,-32,196,
19,46,180,
20,52,156,
21,0,224,
22,44,156,
23,-10,168,
24,-20,240,
25,58,140,
26,10,112,
27,4,176,
28,40,104,
29,-34,164,
30,-80,224,
31,16,148,
32,-78,216,
33,92,144,
34,-58,184,
35,-24,224,
36,98,132,
37,-44,116,
38,-46,148,
39,-2,120,
40,12,124,
41,-6,236,
42,2,212,
43,26,152,
44,-62,224,
45,-40,192,
46,-62,180,
47,14,172,
48,20,164,
49,-20,196,
50,-26,156,
51,-20,184,
52,30,208,
53,28,168,
54,-18,144,
55,-62,148,
56,12,116,
57,24,164,
58,-50,188,
59,-14,232,
60,14,208,
61,64,152,
62,84,144,
63,-26,140,
64,-20,168,
65,36,288,
66,-34,72,
67,-42,240,
68,30,240,
69,66,252,
70,-44,224,
71,-6,240,
72,-16,104,
73,-14,164,
74,16,112,
75,34,184,
76,30,204,
77,-40,180,
78,18,184,
79,40,192,
80,28,116,
81,12,212,
82,88,112,
83,-100,276,
84,50,152,
85,18,156,
86,8,212,
87,-82,116,
88,-38,176,
89,44,92,
90,38,56,
91,-12,120,
92,68,152,
93,20,188,
94,44,144,
95,-56,152,
96,76,176,
97,-22,140,
98,70,180,
99,44,196,
100,0,180,
101,-52,124,
102,-10,200,
103,44,168,
104,-52,220,
105,-20,124,
106,-24,168,
107,24,224,
108,-84,152,
109,-14,176,
110,-36,192,
111,22,68,
112,-56,132,
113,6,220,
114,-32,140,
115,-6,148,
116,-36,200,
117,-44,196,
118,-2,232,
119,-26,164,
120,-68,236,
121,8,200,
122,-38,120,
123,52,152,
124,26,160,
125,18,328,
126,-70,208,
127,40,160,
128,-34,196,
129,-6,156,
130,-42,100,
131,-28,180,
132,32,160,
133,-20,132,
134,12,156,
135,-2,112,
136,50,112,
137,20,236,
138,28,176,
139,-42,196,
140,-26,140,
141,10,196,
142,-38,168,
143,30,128,
144,12,112,
145,50,208,
146,-60,196,
147,68,172,
148,-20,180,
149,-28,224,
150,44,212,
151,-66,180,
152,60,144,
153,-34,156,
154,4,88,
155,10,92,
156,-52,156,
157,-14,196,
158,14,252,
159,-24,160,
160,52,196,
161,4,184,
162,-18,88,
163,-16,196,
164,-36,116,
165,-36,224,
166,50,132,
167,20,212,
168,22,136,
169,-86,148,
170,28,264,
171,14,144,
172,4,152,
173,-16,124,
174,22,132,
175,0,172,
176,28,144,
177,-16,208,
178,-10,148,
179,6,188,
180,-38,196,
181,-14,156,
182,50,212,
183,-30,144,
184,-60,160,
185,-24,224,
186,-48,168,
187,18,132,
188,-22,160,
189,36,200,
190,-50,176,
191,-80,120,
192,58,124,
193,-4,152,
194,-6,100,
195,26,176,
196,-30,124,
197,-76,148,
198,30,184,
199,-4,200,
200,48,112,
201,20,172,
202,-52,152,
203,30,72,
204,-32,136,
205,66,164,
206,-24,164,
207,-34,144,
208,22,120,
209,-44,132,
210,-18,220,
211,14,156,
212,82,272,
213,-4,208,
214,22,172,
215,-24,140,
216,-6,216,
217,0,160,
218,-46,136,
219,4,176,
220,4,148,
221,86,144,
222,26,192,
223,-4,92,
224,-70,212,
225,20,124,
226,-4,248,
227,32,252,
228,10,124,
229,-54,100,
230,30,200,
231,-6,140,
232,-24,176,
233,40,96,
234,-40,160,
235,-18,132,
236,28,208,
237,40,188,
238,2,104,
239,8,84,
240,-8,184,
241,30,168,
242,-12,180,
243,24,176,
244,52,160,
245,12,188,
246,40,212,
247,10,72,
248,-8,240,
249,60,120,
250,-56,72,
251,-20,196,
252,34,116,
253,-6,164,
254,28,164,
255,6,48,
256,-2,120,
257,12,132,
258,-4,132,
259,-36,124,
260,-32,196,
261,56,116,
262,18,100,
263,-44,204,
264,34,236,
265,78,148,
266,-4,136,
267,-22,196,
268,20,124,
269,38,188,
270,-8,164,
271,2,164,
272,-10,148,
273,-52,200,
274,-22,232,
275,-20,168,
276,-8,88,
277,38,252,
278,68,172,
279,-6,216,
280,12,112,
281,-44,152,
282,48,268,
283,2,200,
284,38,232,
285,82,196,
286,-40,196,
287,22,84,
288,-28,120,
289,-18,220,
290,2,216,
291,-2,164,
292,-34,160,
293,42,148,
294,-46,128,
295,-8,156,
296,16,92,
297,24,152,
298,-2,224,
299,10,216,
