Step,Mag,Ham,
0,-42,-112,
1,-18,-40,
2,10,-80,
3,38,0,
4,-6,0,
5,2,-72,
6,10,-72,
7,10,-32,
8,-30,-28,
9,-10,-36,
10,-10,-24,
11,-14,-112,
12,-22,-88,
13,-42,-64,
14,-14,-72,
15,22,-64,
16,38,-64,
17,14,0,
18,2,-76,
19,2,-24,
20,-14,-88,
21,10,-152,
22,2,-52,
23,50,-116,
24,-22,-56,
25,-46,-60,
26,6,-48,
27,-14,-96,
28,34,-40,
29,-2,-60,
30,34,-80,
31,-30,-128,
32,-30,-36,
33,-6,-56,
34,14,-96,
35,2,-108,
36,2,-60,
37,-46,-64,
38,-22,-8,
39,-30,-52,
40,-26,-80,
41,-14,-40,
42,-70,-88,
43,10,8,
44,26,-24,
45,-2,-48,
46,-2,-56,
47,22,-116,
48,18,-68,
49,2,-120,
50,2,-44,
51,26,-96,
52,2,-36,
53,38,-140,
54,-2,-36,
55,6,-92,
56,18,-124,
57,46,-92,
58,22,-140,
59,-6,-48,
60,-10,-84,
61,-10,-20,
62,10,-144,
63,10,-92,
64,-6,-132,
65,42,-120,
66,18,-80,
67,-70,-32,
68,-6,-144,
69,22,-84,
70,-42,-96,
71,22,-72,
72,66,-104,
73,58,-96,
74,-10,-132,
75,-26,-96,
76,-50,-104,
77,2,-108,
78,-62,16,
79,10,-80,
80,54,-128,
81,22,-12,
82,-42,-80,
83,-22,-68,
84,14,-56,
85,22,-96,
86,6,-108,
87,-2,-108,
88,-38,-60,
89,10,-124,
90,-30,-64,
91,42,-88,
92,-18,-84,
93,-2,-28,
94,-34,-120,
95,38,-104,
96,-18,-40,
97,-38,-68,
98,-46,-4,
99,-34,-28,
100,2,-100,
101,2,-48,
102,10,-20,
103,-34,-68,
104,22,28,
105,14,-32,
106,-18,-132,
107,-34,-68,
108,2,-40,
109,22,-84,
110,-2,-120,
111,10,-68,
112,34,-108,
113,-18,-16,
114,-18,-52,
115,-10,-124,
116,-34,-124,
117,14,-92,
118,-18,-104,
119,30,-92,
120,-22,-144,
121,54,-60,
122,18,-64,
123,-14,-56,
124,26,16,
125,6,-120,
126,-22,-172,
127,-62,-52,
128,6,-16,
129,38,-92,
130,22,-56,
131,18,-36,
132,14,-24,
133,38,-80,
134,14,-84,
135,34,-136,
136,-34,-120,
137,-26,-112,
138,-66,-128,
139,14,-56,
140,14,-68,
141,-10,-152,
142,22,-72,
143,-10,-160,
144,-18,-8,
145,-2,0,
146,6,-116,
147,-54,-80,
148,-18,-112,
149,22,-84,
150,26,-8,
151,-14,-84,
152,-26,-96,
153,18,-80,
154,2,-132,
155,46,-64,
156,-34,-56,
157,50,-100,
158,30,-88,
159,-6,-104,
160,-22,-60,
161,-14,-132,
162,-46,-160,
163,-2,-52,
164,58,-52,
165,14,-20,
166,6,-4,
167,-34,-72,
168,-62,-24,
169,42,-52,
170,10,-96,
171,-22,-52,
172,-42,-108,
173,-2,-104,
174,26,-28,
175,-22,-120,
176,-6,-76,
177,18,-116,
178,-14,-144,
179,30,-24,
180,-10,-80,
181,6,-68,
182,6,-76,
183,10,-88,
184,-70,-68,
185,-46,-8,
186,-6,-160,
187,54,-36,
188,-74,-76,
189,-78,-96,
190,26,-68,
191,38,-84,
192,26,-56,
193,-14,-20,
194,78,-28,
195,2,-72,
196,2,-8,
197,-22,-60,
198,-6,-72,
199,-22,-36,
200,-30,-140,
201,34,-96,
202,30,-92,
203,-46,-108,
204,-62,-80,
205,-18,28,
206,-30,-44,
207,-42,56,
208,-46,-80,
209,34,-116,
210,-42,-56,
211,34,-64,
212,-46,-76,
213,14,-124,
214,-14,-64,
215,-2,-184,
216,6,-28,
217,50,-52,
218,-34,-56,
219,-14,-52,
220,74,-148,
221,30,-72,
222,-30,-72,
223,-2,-44,
224,2,-72,
225,38,-68,
226,-2,-16,
227,-22,-116,
228,-14,-152,
229,34,-60,
230,2,-132,
231,30,-36,
232,66,-8,
233,10,-40,
234,-34,-84,
235,-38,-156,
236,-38,-108,
237,-6,-16,
238,50,-72,
239,-50,16,
240,38,-68,
241,-10,-80,
242,-2,-132,
243,-18,16,
244,-54,-12,
245,86,-20,
246,34,-128,
247,38,-108,
248,-22,-4,
249,26,-116,
250,-2,-112,
251,30,-24,
252,38,-40,
253,14,-64,
254,30,-72,
255,-30,-36,
256,26,-52,
257,-46,-88,
258,50,-124,
259,-14,-160,
260,-26,-112,
261,-2,-60,
262,42,-84,
263,22,-44,
264,-34,-100,
265,-38,-84,
266,-6,-104,
267,-2,-136,
268,46,-104,
269,34,-60,
270,-10,-40,
271,-26,-100,
272,-38,-88,
273,6,-40,
274,10,-100,
275,-30,-112,
276,6,-88,
277,-30,-68,
278,22,-56,
279,-38,-88,
280,14,-152,
281,66,-8,
282,-94,-36,
283,34,-136,
284,-30,-128,
285,6,-80,
286,-6,-120,
287,30,-72,
288,26,16,
289,-30,-84,
290,2,-48,
291,-22,-80,
292,-10,-48,
293,62,-112,
294,-2,-152,
295,-6,-56,
296,2,-60,
297,-10,-64,
298,2,-76,
299,50,-92,
