Step,Mag,Ham
0,-24,-20,
1,24,-48,
2,-4,-80,
3,-44,-84,
4,-44,-152,
5,-28,-80,
6,-4,-16,
7,-8,-40,
8,48,-48,
9,44,-20,
10,-24,-64,
11,-20,-88,
12,-16,0,
13,-32,-16,
14,-4,-108,
15,-20,-44,
16,24,-116,
17,24,-92,
18,4,-72,
19,12,-16,
20,-20,-96,
21,4,-52,
22,24,-68,
23,-44,-24,
24,-52,-36,
25,48,-108,
26,-8,-96,
27,-8,24,
28,36,-152,
29,24,-104,
30,20,-68,
31,-16,0,
32,20,-80,
33,0,-116,
34,24,-64,
35,20,-108,
36,12,-140,
37,-32,-20,
38,-28,-104,
39,8,48,
40,-4,-72,
41,4,-32,
42,-24,-100,
43,-4,-52,
44,16,-76,
45,-52,-56,
46,-32,-48,
47,28,-72,
48,-12,-44,
49,32,-68,
50,-44,-128,
51,20,-72,
52,-8,-76,
53,-52,-68,
54,-20,-68,
55,-8,-28,
56,-40,-52,
57,-12,-72,
58,-24,-52,
59,-36,0,
60,76,-52,
61,16,-28,
62,-24,-168,
63,32,-56,
64,-4,16,
65,-4,-60,
66,-8,-72,
67,-32,-36,
68,8,-48,
69,-44,-72,
70,-12,-8,
71,-16,-8,
72,-16,-100,
73,52,-40,
74,24,-12,
75,12,-56,
76,-4,-48,
77,0,-132,
78,-8,-92,
79,-12,-80,
80,28,-120,
81,64,-20,
82,-88,-80,
83,16,-132,
84,-52,-124,
85,-28,-60,
86,24,-100,
87,-12,-84,
88,0,-84,
89,-20,-24,
90,-16,-88,
91,-4,-96,
92,-8,-192,
93,-4,-52,
94,16,8,
95,-16,-52,
96,60,-56,
97,-36,-28,
98,24,-76,
99,0,-56,
100,-20,-32,
101,60,-48,
102,-8,-20,
103,-36,-112,
104,72,64,
105,-8,-164,
106,-16,-8,
107,-8,-88,
108,0,-88,
109,-8,-32,
110,8,-156,
111,-16,24,
112,24,-64,
113,36,4,
114,0,-128,
115,48,-64,
116,56,-56,
117,-36,-92,
118,12,-16,
119,16,-52,
120,-16,-140,
121,8,-64,
122,40,-68,
123,-44,-40,
124,12,-48,
125,-20,0,
126,-12,-96,
127,-8,-100,
128,-48,-40,
129,-8,-116,
130,-8,-144,
131,8,-68,
132,-16,-96,
133,-8,-76,
134,8,-104,
135,4,-112,
136,12,-60,
137,-20,-48,
138,68,-136,
139,-12,-100,
140,44,-96,
141,-4,-12,
142,32,-88,
143,-40,-104,
144,0,-88,
145,-60,-44,
146,32,-52,
147,20,-176,
148,-24,-68,
149,-32,8,
150,-12,-52,
151,8,-68,
152,48,-24,
153,-24,-40,
154,4,-92,
155,-16,-72,
156,20,-12,
157,28,-40,
158,28,-72,
159,-4,-48,
160,16,-48,
161,20,-24,
162,-24,-8,
163,-28,-56,
164,20,-56,
165,-12,-56,
166,60,40,
167,-20,-92,
168,-4,-60,
169,0,-80,
170,-12,-32,
171,-8,-48,
172,48,-104,
173,28,-28,
174,4,-44,
175,24,-52,
176,4,-120,
177,-52,-116,
178,-20,-36,
179,-8,-76,
180,12,-140,
181,-8,-28,
182,-4,-28,
183,12,-52,
184,16,12,
185,8,-80,
186,56,-32,
187,52,-68,
188,-20,-108,
189,36,-40,
190,12,-108,
191,-8,-36,
192,16,-76,
193,44,-136,
194,-24,-68,
195,-36,-28,
196,4,-164,
197,0,-44,
198,-8,-52,
199,64,-28,
200,36,-8,
201,0,-80,
202,56,-36,
203,16,-32,
204,36,-28,
205,44,-120,
206,-8,-132,
207,64,-8,
208,4,-80,
209,-72,-48,
210,-16,-48,
211,16,-56,
212,44,-88,
213,-32,-100,
214,36,-108,
215,-24,-148,
216,-4,-156,
217,-12,-80,
218,-12,-68,
219,24,-80,
220,-32,-84,
221,-12,-72,
222,0,-116,
223,8,-56,
224,40,24,
225,4,-224,
226,-20,-64,
227,0,-60,
228,64,-12,
229,12,-52,
230,-16,-72,
231,0,-64,
232,24,-76,
233,-8,-80,
234,-24,-88,
235,-32,-36,
236,12,-8,
237,28,-76,
238,56,-120,
239,16,-4,
240,-12,-64,
241,-8,-64,
242,32,-100,
243,-44,-72,
244,40,-80,
245,24,-92,
246,-20,-96,
247,56,16,
248,-4,-116,
249,-4,-60,
250,-28,-52,
251,12,-48,
252,-12,-64,
253,-12,-96,
254,-4,-108,
255,0,-64,
256,-4,-128,
257,-8,-128,
258,-8,-32,
259,-8,-96,
260,8,-48,
261,0,-80,
262,-16,-112,
263,12,-68,
264,16,-92,
265,44,-124,
266,28,-28,
267,-8,-56,
268,0,-136,
269,-36,-56,
270,-24,4,
271,52,-68,
272,-12,-108,
273,-8,-56,
274,4,-68,
275,48,-36,
276,32,-32,
277,20,-152,
278,0,-80,
279,4,-72,
280,8,-176,
281,44,-52,
282,-20,-108,
283,-12,-92,
284,-88,-112,
285,-32,-84,
286,40,-92,
287,0,0,
288,0,-12,
289,-44,-124,
290,44,-96,
291,0,-96,
292,32,-72,
293,-36,-36,
294,-16,-172,
295,16,-76,
296,-16,-140,
297,-8,-52,
298,-32,-88,
299,-24,4,
