Step,Mag,Ham
0,4,-4,
1,40,-24,
2,24,-36,
3,-20,-40,
4,-16,-84,
5,16,-20,
6,0,-88,
7,-52,-44,
8,-60,-12,
9,-28,-4,
10,8,-172,
11,28,-12,
12,-4,-88,
13,-48,-64,
14,-32,-132,
15,32,-88,
16,-16,-88,
17,0,-144,
18,4,-68,
19,8,-140,
20,-8,-100,
21,-4,-88,
22,-20,-48,
23,-4,-108,
24,24,-140,
25,-16,-48,
26,-8,-60,
27,40,16,
28,12,-64,
29,-16,-112,
30,28,-80,
31,-20,16,
32,16,-84,
33,-36,-152,
34,-40,-60,
35,60,-156,
36,0,-8,
37,16,-108,
38,-44,-44,
39,28,-60,
40,4,-40,
41,-8,-56,
42,-4,-108,
43,24,-120,
44,-20,-60,
45,20,-48,
46,-20,-92,
47,-4,-68,
48,-40,-68,
49,-4,-104,
50,-20,-80,
51,16,-80,
52,-8,-28,
53,16,-148,
54,-8,-80,
55,16,-28,
56,-8,-48,
57,-36,-76,
58,48,-128,
59,8,-36,
60,-16,-8,
61,4,-88,
62,-12,-108,
63,24,-56,
64,20,-144,
65,32,-76,
66,-24,-64,
67,-20,-116,
68,-28,-52,
69,-8,-28,
70,-56,-136,
71,-32,-76,
72,-32,-116,
73,32,-100,
74,-28,-84,
75,-36,-48,
76,8,-80,
77,52,-144,
78,8,-144,
79,12,-116,
80,20,-56,
81,-24,-68,
82,-16,-120,
83,-4,-48,
84,12,-88,
85,-4,-44,
86,24,-76,
87,8,-120,
88,16,-100,
89,40,-112,
90,12,-32,
91,16,-112,
92,24,-92,
93,44,-60,
94,20,-84,
95,8,-160,
96,24,-92,
97,8,-64,
98,32,-128,
99,40,-60,
100,-12,-4,
101,24,-56,
102,-32,-124,
103,32,-68,
104,8,-176,
105,-8,-44,
106,16,-140,
107,-60,-8,
108,16,-60,
109,-20,-148,
110,4,-12,
111,-24,-8,
112,24,-68,
113,8,-60,
114,76,-92,
115,-44,-88,
116,24,-88,
117,36,4,
118,44,-52,
119,-16,-76,
120,20,-68,
121,-60,-112,
122,24,-128,
123,-36,-160,
124,-24,-100,
125,48,-116,
126,-36,-156,
127,-40,-28,
128,28,-76,
129,24,-36,
130,-16,-88,
131,-24,-132,
132,-16,-100,
133,-4,-80,
134,-12,-56,
135,-16,-100,
136,12,-144,
137,68,-8,
138,-24,-100,
139,56,-28,
140,12,-68,
141,-16,-148,
142,8,-36,
143,40,-56,
144,12,-40,
145,8,-120,
146,4,-44,
147,-24,-116,
148,28,-52,
149,-28,-92,
150,-20,-40,
151,-32,-28,
152,-36,-116,
153,-28,-124,
154,-48,-52,
155,-4,-120,
156,20,-96,
157,-16,-32,
158,20,-104,
159,36,-100,
160,12,-104,
161,-64,-56,
162,-16,-112,
163,-4,-96,
164,-16,-16,
165,16,-176,
166,16,-64,
167,64,-40,
168,-56,-104,
169,-68,-84,
170,-16,-84,
171,32,-104,
172,-28,-44,
173,28,-124,
174,-4,-44,
175,-12,-112,
176,28,-100,
177,12,-112,
178,24,-84,
179,40,-96,
180,52,-184,
181,-68,-80,
182,44,-136,
183,-16,-36,
184,40,-112,
185,-92,-20,
186,-12,-104,
187,-96,16,
188,20,-132,
189,20,-100,
190,32,-16,
191,-12,-80,
192,-56,-128,
193,-32,-108,
194,28,-96,
195,-16,-16,
196,24,-88,
197,0,-120,
198,8,-72,
199,32,-152,
200,-4,-112,
201,-52,-136,
202,-72,-52,
203,40,-84,
204,8,-124,
205,40,-120,
206,32,32,
207,12,-172,
208,24,-40,
209,-24,-60,
210,20,-164,
211,24,-128,
212,-32,-80,
213,-32,-112,
214,-24,-88,
215,20,-92,
216,-8,-120,
217,-48,24,
218,-28,-24,
219,4,-84,
220,56,-92,
221,20,-88,
222,28,-136,
223,-56,-116,
224,52,-60,
225,40,-96,
226,-4,-124,
227,-8,-88,
228,-40,-40,
229,48,-36,
230,4,-60,
231,28,-144,
232,40,-88,
233,-44,-56,
234,-8,-96,
235,-4,-16,
236,24,-40,
237,0,-132,
238,-48,-116,
239,-24,-32,
240,-36,-80,
241,-36,-104,
242,-40,-124,
243,8,-40,
244,32,-100,
245,24,-116,
246,44,-24,
247,-4,-68,
248,-20,-12,
249,-28,-16,
250,-8,-132,
251,-16,-72,
252,8,-40,
253,52,-100,
254,-16,-88,
255,4,-104,
256,40,-64,
257,0,-12,
258,-32,-40,
259,32,-80,
260,52,-52,
261,8,-60,
262,28,-124,
263,-12,-72,
264,20,-116,
265,12,-92,
266,32,-108,
267,20,-128,
268,24,-128,
269,-4,8,
270,-20,-88,
271,8,-72,
272,-12,-76,
273,-48,-100,
274,60,-68,
275,-4,32,
276,-20,-96,
277,-12,-176,
278,12,-128,
279,-28,-92,
280,8,-80,
281,-24,-116,
282,20,-68,
283,-8,16,
284,24,-28,
285,-8,-56,
286,28,-36,
287,-40,-32,
288,-32,-64,
289,-12,-84,
290,28,-116,
291,-16,-124,
292,-36,-104,
293,-8,-36,
294,-40,-100,
295,28,-64,
296,-28,-92,
297,8,-84,
298,36,-60,
299,-28,-28,
