Step,Mag,Ham
0,54,-196,
1,-18,-208,
2,-34,-164,
3,42,-168,
4,-18,-136,
5,2,-132,
6,-22,-136,
7,-2,-208,
8,-2,-156,
9,-22,-212,
10,-18,-172,
11,26,-144,
12,6,-184,
13,50,-152,
14,-6,-76,
15,-2,-112,
16,-26,-152,
17,10,-212,
18,10,-152,
19,-10,-144,
20,18,-156,
21,-26,-172,
22,42,-156,
23,18,-192,
24,30,-172,
25,-38,-168,
26,22,-88,
27,34,-164,
28,38,-216,
29,-34,-112,
30,14,-196,
31,-14,-64,
32,-2,-84,
33,-26,-208,
34,-18,-164,
35,26,-132,
36,-14,-156,
37,6,-80,
38,-54,-152,
39,-6,-160,
40,-18,-228,
41,-14,-144,
42,42,-96,
43,-34,-152,
44,30,-124,
45,30,-132,
46,-2,-132,
47,2,-212,
48,-6,-200,
49,-34,-116,
50,6,-168,
51,-14,-148,
52,10,-76,
53,-34,-228,
54,-14,-152,
55,38,-216,
56,26,-116,
57,30,-204,
58,10,-80,
59,10,-144,
60,62,-164,
61,-30,-240,
62,-6,-168,
63,-2,-164,
64,-34,-136,
65,2,-136,
66,-2,-176,
67,-6,-136,
68,14,-92,
69,38,-132,
70,6,-200,
71,18,-176,
72,-34,-160,
73,-2,-160,
74,46,-148,
75,-2,-144,
76,-14,-132,
77,-2,-140,
78,-18,-112,
79,-10,-88,
80,-38,-196,
81,38,-188,
82,-14,-172,
83,6,-160,
84,-2,-140,
85,18,-124,
86,6,-164,
87,6,-212,
88,6,-128,
89,14,-152,
90,-26,-168,
91,-22,-128,
92,-22,-224,
93,34,-116,
94,38,-128,
95,-42,-164,
96,-26,-132,
97,-22,-100,
98,6,-176,
99,-2,-180,
100,6,-180,
101,-22,-168,
102,14,-172,
103,-10,-116,
104,38,-140,
105,-14,-136,
106,-22,-148,
107,-18,-244,
108,-18,-160,
109,-26,-128,
110,6,-200,
111,10,-116,
112,22,-208,
113,-18,-200,
114,30,-136,
115,-14,-156,
116,-38,-236,
117,-6,-152,
118,-46,-188,
119,10,-140,
120,6,-76,
121,18,-92,
122,-6,-188,
123,-26,-164,
124,-10,-172,
125,-10,-164,
126,-26,-96,
127,62,-124,
128,-54,-204,
129,-10,-224,
130,54,-148,
131,-42,-124,
132,-2,-216,
133,42,-216,
134,-26,-152,
135,-30,-148,
136,66,-268,
137,58,-96,
138,18,-240,
139,-38,-148,
140,6,-128,
141,-14,-172,
142,-14,-216,
143,14,-228,
144,18,-116,
145,46,-92,
146,-10,-256,
147,46,-168,
148,-30,-160,
149,-18,-124,
150,-30,-220,
151,-62,-152,
152,38,-120,
153,-46,-180,
154,6,-148,
155,62,-176,
156,-2,-92,
157,10,-148,
158,22,-120,
159,26,-104,
160,-22,-132,
161,22,-68,
162,-18,-136,
163,-50,-216,
164,-2,-108,
165,-6,-228,
166,-14,-200,
167,38,-124,
168,-6,-220,
169,22,-196,
170,46,-192,
171,-2,-212,
172,-46,-260,
173,22,-164,
174,26,-172,
175,-22,-204,
176,82,-168,
177,-2,-40,
178,-82,-156,
179,18,-180,
180,18,-160,
181,34,-132,
182,-2,-156,
183,14,-148,
184,-50,-220,
185,22,-168,
186,-34,-252,
187,-42,-156,
188,18,-168,
189,-10,-160,
190,-34,-140,
191,22,-148,
192,-26,-72,
193,-14,-260,
194,-10,-196,
195,14,-164,
196,-18,-136,
197,-42,-224,
198,78,-164,
199,14,-156,
200,-10,-140,
201,-10,-104,
202,22,-132,
203,2,-148,
204,22,-168,
205,-14,-148,
206,-18,-144,
207,14,-192,
208,6,-124,
209,6,-224,
210,-22,-152,
211,14,-164,
212,-26,-200,
213,10,-160,
214,22,-200,
215,-6,-208,
216,22,-156,
217,-14,-164,
218,2,-176,
219,2,-144,
220,6,-224,
221,38,-160,
222,38,-128,
223,-42,-232,
224,26,-160,
225,42,-248,
226,-14,-156,
227,-6,-172,
228,-26,-136,
229,-22,-164,
230,-26,-172,
231,6,-188,
232,14,-148,
233,-34,-60,
234,-14,-144,
235,-54,-152,
236,14,-100,
237,-14,-156,
238,-10,-180,
239,-30,-156,
240,-6,-244,
241,-58,-40,
242,18,-120,
243,50,-232,
244,2,-116,
245,6,-144,
246,34,-152,
247,-38,-200,
248,-6,-124,
249,-42,-224,
250,22,-204,
251,6,-180,
252,-2,-184,
253,6,-164,
254,-6,-136,
255,-18,-184,
256,2,-212,
257,-22,-156,
258,-2,-140,
259,-14,-220,
260,26,-128,
261,-22,-104,
262,18,-116,
263,26,-144,
264,6,-144,
265,-6,-92,
266,-26,-160,
267,-66,-136,
268,54,-204,
269,58,-108,
270,14,-176,
271,-42,-128,
272,-30,-184,
273,74,-120,
274,14,-168,
275,-18,-248,
276,34,-132,
277,18,-168,
278,46,-180,
279,42,-192,
280,-6,-168,
281,6,-132,
282,-22,-236,
283,30,-124,
284,62,-144,
285,26,-164,
286,-6,-100,
287,22,-204,
288,-66,-116,
289,-18,-180,
290,-46,-164,
291,-18,-112,
292,-2,-264,
293,54,-204,
294,-42,-168,
295,6,-152,
296,-2,-64,
297,-18,-136,
298,-70,-140,
299,-34,-164,
