Step,Mag,Ham
0,-22,48,
1,2,8,
2,26,60,
3,-2,40,
4,6,-36,
5,-6,64,
6,-10,-8,
7,42,28,
8,34,92,
9,-6,20,
10,2,36,
11,58,48,
12,18,36,
13,34,-16,
14,2,76,
15,30,88,
16,26,84,
17,-2,108,
18,34,136,
19,-22,-20,
20,-18,-32,
21,46,36,
22,26,68,
23,-18,8,
24,34,104,
25,-26,16,
26,10,76,
27,18,76,
28,10,-48,
29,-10,52,
30,-18,116,
31,10,124,
32,34,40,
33,-6,8,
34,18,88,
35,-14,-16,
36,-58,120,
37,-14,52,
38,-42,60,
39,-6,28,
40,-42,60,
41,-14,64,
42,14,16,
43,74,56,
44,-2,-56,
45,-10,-4,
46,22,0,
47,-30,92,
48,-30,52,
49,18,-84,
50,14,-8,
51,-26,68,
52,-38,76,
53,-2,76,
54,-18,8,
55,-10,36,
56,22,12,
57,22,92,
58,-18,44,
59,14,32,
60,-42,116,
61,10,80,
62,10,8,
63,54,52,
64,-18,28,
65,-50,8,
66,-2,8,
67,30,20,
68,18,108,
69,-10,12,
70,18,56,
71,10,-32,
72,18,-32,
73,42,128,
74,50,52,
75,10,40,
76,-50,12,
77,-22,12,
78,50,56,
79,-14,84,
80,-34,84,
81,-22,36,
82,-6,52,
83,30,56,
84,2,72,
85,30,32,
86,22,0,
87,-42,116,
88,10,56,
89,18,56,
90,6,-16,
91,14,16,
92,42,36,
93,70,88,
94,-2,76,
95,46,76,
96,-58,16,
97,-58,68,
98,-54,68,
99,10,68,
100,6,8,
101,2,76,
102,-2,0,
103,50,-4,
104,10,92,
105,26,20,
106,-34,64,
107,6,56,
108,30,148,
109,38,72,
110,-26,60,
111,18,72,
112,-50,48,
113,-14,24,
114,50,72,
115,-22,68,
116,10,68,
117,30,-32,
118,-2,68,
119,-38,88,
120,14,12,
121,-18,-12,
122,18,0,
123,-58,92,
124,-14,100,
125,2,64,
126,42,68,
127,-2,20,
128,-2,36,
129,2,72,
130,18,-52,
131,-58,16,
132,18,-4,
133,-62,-16,
134,2,-52,
135,-2,40,
136,22,108,
137,6,8,
138,86,96,
139,14,40,
140,-46,68,
141,-22,60,
142,-22,40,
143,66,40,
144,-42,52,
145,-22,60,
146,2,8,
147,6,36,
148,38,20,
149,78,-8,
150,62,80,
151,2,128,
152,10,64,
153,-18,20,
154,22,80,
155,-2,92,
156,-10,28,
157,-34,12,
158,30,8,
159,18,44,
160,-34,60,
161,6,52,
162,-46,40,
163,10,140,
164,-14,0,
165,2,96,
166,2,-28,
167,14,84,
168,34,68,
169,10,-28,
170,-38,44,
171,30,12,
172,-10,88,
173,-14,80,
174,-14,68,
175,-22,12,
176,-30,24,
177,22,80,
178,18,96,
179,-18,-40,
180,86,-28,
181,-10,4,
182,-6,52,
183,-38,76,
184,62,76,
185,50,28,
186,-6,76,
187,34,60,
188,2,104,
189,6,8,
190,6,-12,
191,-6,56,
192,18,20,
193,-10,84,
194,54,24,
195,18,36,
196,26,56,
197,-54,-28,
198,-2,72,
199,-6,36,
200,26,76,
201,26,68,
202,-6,4,
203,-2,64,
204,38,-8,
205,-42,100,
206,14,104,
207,-6,44,
208,-30,44,
209,42,56,
210,58,-16,
211,70,-28,
212,62,-64,
213,-6,40,
214,42,36,
215,-18,8,
216,26,20,
217,38,32,
218,14,52,
219,26,40,
220,-30,76,
221,18,4,
222,-42,84,
223,34,-8,
224,14,24,
225,6,72,
226,6,52,
227,-26,40,
228,-14,68,
229,-6,-40,
230,-2,32,
231,2,4,
232,18,-52,
233,26,36,
234,-74,48,
235,-6,84,
236,-6,12,
237,26,4,
238,-26,40,
239,-14,68,
240,22,128,
241,6,104,
242,34,36,
243,2,40,
244,-6,40,
245,-30,68,
246,-10,-36,
247,-42,52,
248,-18,56,
249,10,8,
250,50,36,
251,26,28,
252,-6,64,
253,-14,64,
254,14,80,
255,58,56,
256,22,44,
257,46,36,
258,-98,80,
259,58,32,
260,-10,8,
261,14,64,
262,-62,56,
263,-10,92,
264,-30,148,
265,-42,8,
266,18,-36,
267,14,-12,
268,-6,52,
269,-34,-24,
270,-2,116,
271,46,12,
272,-46,-8,
273,26,64,
274,2,128,
275,-42,88,
276,-58,96,
277,42,48,
278,-50,68,
279,34,36,
280,-2,88,
281,14,-12,
282,-10,16,
283,-26,68,
284,-6,-92,
285,26,64,
286,-10,-20,
287,10,68,
288,-10,104,
289,-26,80,
290,-78,16,
291,-10,40,
292,18,-84,
293,-22,-8,
294,-26,40,
295,2,-48,
296,-6,52,
297,18,0,
298,10,-12,
299,-18,-4,
