Step,Mag,Ham
0,-44,64,
1,-40,28,
2,-4,64,
3,-4,52,
4,20,28,
5,8,12,
6,-12,52,
7,20,68,
8,0,88,
9,24,96,
10,-36,148,
11,-8,72,
12,20,60,
13,-8,56,
14,36,36,
15,8,52,
16,-12,-36,
17,32,76,
18,16,40,
19,40,-48,
20,-8,-20,
21,20,48,
22,-24,36,
23,-4,20,
24,-68,96,
25,-8,48,
26,-20,88,
27,8,64,
28,12,88,
29,16,40,
30,4,-24,
31,16,36,
32,-28,-64,
33,-24,-28,
34,12,36,
35,-16,56,
36,-12,96,
37,-28,108,
38,16,60,
39,28,68,
40,-16,96,
41,-8,76,
42,-16,64,
43,-36,80,
44,-40,8,
45,4,16,
46,52,20,
47,-44,-16,
48,0,8,
49,24,-16,
50,-32,20,
51,-28,4,
52,-24,28,
53,-60,52,
54,-16,12,
55,4,76,
56,-20,12,
57,-48,76,
58,-16,-20,
59,-40,40,
60,16,92,
61,-28,68,
62,-60,40,
63,-36,52,
64,-16,44,
65,32,44,
66,12,4,
67,20,48,
68,8,28,
69,-68,44,
70,8,76,
71,32,72,
72,-44,56,
73,24,24,
74,-28,36,
75,32,16,
76,24,44,
77,-20,96,
78,48,-52,
79,-8,-12,
80,32,40,
81,40,0,
82,32,-56,
83,-36,96,
84,24,72,
85,-20,40,
86,-40,80,
87,40,0,
88,-64,32,
89,76,76,
90,16,24,
91,80,48,
92,-24,-52,
93,-8,52,
94,-24,28,
95,8,8,
96,-8,40,
97,36,32,
98,100,28,
99,12,8,
100,-40,32,
101,24,48,
102,-28,16,
103,16,24,
104,56,104,
105,-16,64,
106,-28,36,
107,-28,16,
108,-32,104,
109,0,72,
110,0,92,
111,-40,-24,
112,32,32,
113,20,-24,
114,-8,60,
115,-60,80,
116,-32,64,
117,-4,72,
118,20,60,
119,4,44,
120,0,36,
121,20,92,
122,4,132,
123,4,0,
124,-8,24,
125,-64,-12,
126,80,20,
127,-28,-40,
128,16,8,
129,12,64,
130,-4,4,
131,40,68,
132,12,124,
133,-16,24,
134,-12,-28,
135,12,84,
136,84,76,
137,-56,60,
138,-32,52,
139,-12,-20,
140,4,48,
141,24,56,
142,24,52,
143,12,20,
144,60,92,
145,-20,8,
146,0,4,
147,44,84,
148,-32,48,
149,-24,-32,
150,-28,-24,
151,-28,4,
152,-40,52,
153,-32,48,
154,12,52,
155,8,64,
156,4,32,
157,20,32,
158,-48,160,
159,-36,48,
160,0,24,
161,-20,96,
162,-48,48,
163,36,32,
164,-28,52,
165,52,52,
166,-24,24,
167,-56,60,
168,-60,-4,
169,-20,84,
170,20,88,
171,4,16,
172,28,80,
173,56,88,
174,-36,28,
175,28,56,
176,52,32,
177,-48,52,
178,-40,132,
179,24,-44,
180,32,112,
181,-40,28,
182,60,40,
183,52,12,
184,-48,-16,
185,4,72,
186,24,52,
187,-40,16,
188,24,168,
189,-8,52,
190,-20,80,
191,-16,32,
192,4,24,
193,20,72,
194,52,60,
195,8,8,
196,-44,64,
197,28,36,
198,-20,48,
199,40,140,
200,8,16,
201,0,-32,
202,-4,-4,
203,-36,100,
204,8,16,
205,40,40,
206,36,36,
207,-16,40,
208,-12,-4,
209,-24,88,
210,-24,36,
211,20,24,
212,-8,-8,
213,-52,40,
214,20,36,
215,28,28,
216,-48,60,
217,-80,32,
218,68,64,
219,32,28,
220,-8,36,
221,12,40,
222,-16,52,
223,28,96,
224,-28,60,
225,52,44,
226,-8,-8,
227,36,20,
228,48,52,
229,72,92,
230,-64,56,
231,-20,112,
232,20,48,
233,4,56,
234,-4,68,
235,-36,52,
236,-32,40,
237,-32,84,
238,20,48,
239,-28,36,
240,-16,-4,
241,-44,76,
242,-44,8,
243,-40,-80,
244,8,24,
245,-32,44,
246,4,52,
247,20,60,
248,44,20,
249,4,56,
250,32,72,
251,56,28,
252,-16,88,
253,28,28,
254,-12,-24,
255,-12,4,
256,8,24,
257,-28,-4,
258,40,28,
259,36,20,
260,16,-32,
261,4,96,
262,-20,16,
263,12,24,
264,48,16,
265,76,136,
266,-16,-8,
267,-4,0,
268,48,68,
269,8,36,
270,40,28,
271,-24,32,
272,12,-8,
273,-12,-12,
274,-16,48,
275,-40,16,
276,56,72,
277,-32,52,
278,24,52,
279,-20,-36,
280,-44,-24,
281,12,28,
282,-4,68,
283,-20,36,
284,60,108,
285,12,28,
286,-20,36,
287,-36,36,
288,36,72,
289,-28,32,
290,-20,4,
291,-24,32,
292,8,4,
293,44,116,
294,8,52,
295,-8,76,
296,-16,68,
297,28,48,
298,16,24,
299,12,36,
