Step,Mag,Ham
0,-8,12,
1,44,4,
2,-20,-32,
3,28,-20,
4,4,8,
5,-20,-40,
6,-24,16,
7,32,96,
8,-12,-28,
9,64,-8,
10,24,-60,
11,48,-32,
12,-12,76,
13,20,-4,
14,48,-24,
15,-40,16,
16,16,-4,
17,-16,-20,
18,4,0,
19,8,12,
20,40,8,
21,-36,8,
22,8,-8,
23,-12,68,
24,-20,-44,
25,-52,32,
26,4,32,
27,-4,44,
28,-28,-4,
29,24,-32,
30,-24,56,
31,20,-24,
32,36,28,
33,16,-4,
34,0,56,
35,20,-36,
36,-12,48,
37,-48,72,
38,68,40,
39,-8,-48,
40,4,-28,
41,0,8,
42,-12,12,
43,24,20,
44,8,104,
45,-40,-56,
46,4,-8,
47,4,-16,
48,-44,84,
49,-28,0,
50,-72,4,
51,12,-16,
52,-28,12,
53,-24,-16,
54,-12,52,
55,-44,-36,
56,12,-40,
57,24,-20,
58,24,16,
59,-8,44,
60,12,92,
61,36,-12,
62,-72,20,
63,-4,36,
64,0,-4,
65,40,-4,
66,-24,60,
67,-68,40,
68,-12,16,
69,-36,28,
70,28,28,
71,12,80,
72,-68,24,
73,28,-4,
74,-20,12,
75,-16,48,
76,-12,-32,
77,-20,28,
78,4,-8,
79,4,-20,
80,-4,-24,
81,-12,88,
82,36,-68,
83,32,4,
84,32,-28,
85,-24,-20,
86,48,4,
87,-16,40,
88,20,-20,
89,36,28,
90,-8,8,
91,40,68,
92,-20,56,
93,24,4,
94,52,-16,
95,-40,64,
96,-20,28,
97,28,-28,
98,-52,44,
99,24,68,
100,24,28,
101,12,4,
102,44,36,
103,-32,12,
104,4,4,
105,-8,-12,
106,8,28,
107,-68,0,
108,32,20,
109,36,-64,
110,-52,44,
111,0,8,
112,0,-16,
113,8,-24,
114,-20,-44,
115,-40,52,
116,-24,-32,
117,40,-32,
118,12,-8,
119,8,-28,
120,-28,-8,
121,0,96,
122,-28,48,
123,-56,128,
124,-12,-12,
125,-36,-24,
126,8,52,
127,-28,20,
128,28,48,
129,4,-28,
130,-24,-92,
131,-20,24,
132,8,4,
133,-56,-40,
134,-8,36,
135,-28,-76,
136,0,44,
137,-4,-12,
138,-48,-16,
139,8,-8,
140,-16,0,
141,12,-32,
142,0,-36,
143,52,4,
144,-36,-56,
145,4,-32,
146,32,-4,
147,-12,24,
148,-28,40,
149,20,68,
150,24,24,
151,28,-24,
152,24,32,
153,12,4,
154,8,-60,
155,-20,16,
156,-24,-40,
157,-48,12,
158,-40,48,
159,24,28,
160,-60,20,
161,36,56,
162,-56,-4,
163,16,60,
164,20,24,
165,-16,-8,
166,-12,-24,
167,-8,-28,
168,-28,-56,
169,28,8,
170,4,-68,
171,24,-52,
172,40,56,
173,32,-40,
174,16,-44,
175,4,64,
176,4,-12,
177,-52,20,
178,12,28,
179,4,76,
180,-32,-32,
181,12,8,
182,52,-20,
183,8,88,
184,-32,-36,
185,-52,76,
186,-28,12,
187,8,36,
188,8,-44,
189,-4,-44,
190,-8,-88,
191,8,20,
192,-28,8,
193,-8,72,
194,-12,-40,
195,-36,60,
196,-4,48,
197,28,56,
198,-8,-20,
199,52,28,
200,-20,80,
201,-20,12,
202,8,-4,
203,-40,20,
204,-56,-8,
205,20,76,
206,24,12,
207,44,-36,
208,44,8,
209,-32,-24,
210,16,72,
211,24,-48,
212,20,12,
213,12,44,
214,0,-16,
215,40,-32,
216,-56,-52,
217,8,-8,
218,-28,-48,
219,44,4,
220,-20,48,
221,-16,-40,
222,-56,48,
223,-16,12,
224,-68,28,
225,16,32,
226,-36,20,
227,20,28,
228,-60,-68,
229,-52,68,
230,-4,-16,
231,-8,-40,
232,-16,52,
233,4,64,
234,4,-24,
235,-32,12,
236,-44,40,
237,16,60,
238,8,72,
239,12,20,
240,-28,0,
241,-20,48,
242,-28,44,
243,8,44,
244,-36,36,
245,20,52,
246,-28,32,
247,16,-24,
248,-20,-60,
249,-36,44,
250,-28,-24,
251,-12,-56,
252,-8,-24,
253,-36,12,
254,16,4,
255,24,36,
256,-8,32,
257,-12,-68,
258,-36,20,
259,-12,8,
260,60,32,
261,-24,52,
262,28,-20,
263,16,-32,
264,-8,-84,
265,-36,64,
266,4,-40,
267,16,8,
268,12,76,
269,-48,-60,
270,-12,-24,
271,-32,0,
272,-32,-20,
273,-20,64,
274,-4,-40,
275,-16,-44,
276,-20,-8,
277,-8,-84,
278,-28,-20,
279,12,28,
280,-4,32,
281,28,-28,
282,40,8,
283,-48,8,
284,-48,-8,
285,0,40,
286,-12,4,
287,36,68,
288,12,64,
289,40,-36,
290,12,20,
291,12,28,
292,-60,52,
293,32,-4,
294,56,0,
295,-36,44,
296,12,40,
297,-4,4,
298,-28,-28,
299,12,32,
