Step,Mag,Ham
0,-30,64,
1,2,28,
2,-14,32,
3,78,-8,
4,22,24,
5,2,-4,
6,-26,-48,
7,54,88,
8,38,52,
9,-34,36,
10,38,20,
11,2,16,
12,-22,4,
13,2,32,
14,54,-28,
15,6,48,
16,18,44,
17,50,0,
18,38,24,
19,10,-80,
20,2,4,
21,22,-28,
22,-2,8,
23,-14,-76,
24,10,-36,
25,34,-8,
26,26,28,
27,26,8,
28,-2,40,
29,14,-60,
30,26,-12,
31,-6,24,
32,-6,-48,
33,22,48,
34,18,56,
35,18,88,
36,30,-60,
37,-34,104,
38,18,28,
39,10,-56,
40,6,24,
41,14,48,
42,-38,-20,
43,-6,28,
44,-62,16,
45,-50,0,
46,-10,-60,
47,22,24,
48,22,-4,
49,-2,-20,
50,6,-8,
51,18,48,
52,-10,44,
53,30,-32,
54,-14,28,
55,6,56,
56,-6,-4,
57,-18,-48,
58,6,48,
59,-38,56,
60,-14,-60,
61,38,-12,
62,-34,-60,
63,-6,-36,
64,-6,52,
65,50,8,
66,-50,48,
67,-2,-40,
68,-22,40,
69,2,-40,
70,-10,16,
71,-42,-52,
72,34,-16,
73,-2,8,
74,-6,92,
75,50,12,
76,-14,44,
77,-38,0,
78,2,-28,
79,-22,-48,
80,6,4,
81,-18,-20,
82,34,64,
83,38,20,
84,34,12,
85,-30,-60,
86,22,32,
87,34,-20,
88,-30,20,
89,-34,-72,
90,-30,8,
91,22,24,
92,6,72,
93,58,12,
94,10,56,
95,-2,12,
96,-18,76,
97,-42,-8,
98,38,-44,
99,6,68,
100,62,-60,
101,-50,-12,
102,-10,-44,
103,30,20,
104,50,12,
105,10,-4,
106,-10,4,
107,66,52,
108,-34,-8,
109,10,24,
110,-2,-12,
111,10,-40,
112,-42,48,
113,10,-72,
114,38,-24,
115,-34,12,
116,-10,-8,
117,-26,16,
118,6,20,
119,-74,64,
120,-10,-8,
121,46,-56,
122,14,4,
123,-34,36,
124,-14,44,
125,-30,-12,
126,-22,-20,
127,26,72,
128,-6,44,
129,-14,-16,
130,42,-32,
131,-10,-16,
132,6,-4,
133,6,-48,
134,-2,88,
135,18,32,
136,50,-16,
137,-2,40,
138,30,4,
139,-6,4,
140,-6,72,
141,-74,-32,
142,14,0,
143,-46,72,
144,-6,4,
145,46,32,
146,26,40,
147,22,-20,
148,6,36,
149,2,68,
150,-14,-52,
151,-22,36,
152,-22,8,
153,2,0,
154,26,-100,
155,-70,-84,
156,-66,-32,
157,-22,16,
158,-30,-36,
159,38,0,
160,2,56,
161,-18,24,
162,18,-8,
163,26,72,
164,22,-28,
165,-34,28,
166,82,44,
167,-2,-40,
168,-22,-4,
169,-34,-32,
170,18,24,
171,-42,4,
172,-50,-28,
173,14,-32,
174,-34,-12,
175,18,72,
176,38,-24,
177,70,52,
178,26,76,
179,-42,-8,
180,-26,0,
181,14,-8,
182,2,24,
183,2,28,
184,-14,24,
185,-30,112,
186,30,-96,
187,6,16,
188,2,32,
189,14,-40,
190,30,-52,
191,-6,0,
192,-14,4,
193,46,60,
194,18,48,
195,58,-36,
196,6,-4,
197,14,-32,
198,-6,-40,
199,2,64,
200,-34,-16,
201,-6,40,
202,30,-64,
203,74,24,
204,-22,24,
205,46,-16,
206,-54,4,
207,6,36,
208,-22,-56,
209,14,-36,
210,-2,32,
211,-26,-36,
212,14,-108,
213,-70,36,
214,46,32,
215,-14,-40,
216,6,16,
217,10,-24,
218,30,40,
219,10,0,
220,-2,-16,
221,2,44,
222,26,-44,
223,18,24,
224,-14,60,
225,-2,52,
226,42,-36,
227,42,56,
228,-42,64,
229,46,-20,
230,34,44,
231,-6,32,
232,-58,-24,
233,18,-64,
234,14,-52,
235,18,16,
236,2,28,
237,22,-16,
238,58,92,
239,-10,32,
240,-10,-4,
241,66,-16,
242,-10,-8,
243,6,-4,
244,-46,36,
245,-58,12,
246,-34,-16,
247,-6,80,
248,30,-20,
249,26,60,
250,22,92,
251,38,0,
252,-22,4,
253,-10,-12,
254,-10,52,
255,34,-16,
256,14,0,
257,-18,-76,
258,6,52,
259,-2,32,
260,-14,44,
261,-18,52,
262,82,0,
263,-50,36,
264,26,-52,
265,-2,-24,
266,-6,32,
267,6,28,
268,-6,-12,
269,34,-32,
270,-78,32,
271,50,8,
272,-10,0,
273,-10,32,
274,86,40,
275,-38,-8,
276,-10,28,
277,-6,4,
278,10,92,
279,-34,4,
280,-54,120,
281,2,-48,
282,-30,-80,
283,58,32,
284,-18,56,
285,42,60,
286,-50,0,
287,6,-24,
288,-26,56,
289,-18,-68,
290,-2,-12,
291,38,0,
292,2,-36,
293,2,-80,
294,2,-80,
295,26,4,
296,26,32,
297,-6,-32,
298,66,20,
299,-30,32,
