Step,Mag,Ham
0,-2,-56,
1,14,-24,
2,2,-96,
3,26,-28,
4,30,-156,
5,2,-36,
6,-2,-28,
7,-2,-136,
8,-2,-100,
9,-66,-48,
10,-34,-48,
11,22,-76,
12,-30,-108,
13,-50,-24,
14,-70,12,
15,2,-84,
16,-26,-28,
17,-38,-96,
18,-46,-72,
19,-22,-104,
20,18,-120,
21,10,-12,
22,30,-44,
23,14,-144,
24,-54,-44,
25,-22,-48,
26,-26,-88,
27,26,-16,
28,66,-20,
29,46,-88,
30,2,-68,
31,10,-84,
32,-50,-104,
33,54,-56,
34,-18,-112,
35,2,-80,
36,-10,-36,
37,26,-112,
38,-26,-124,
39,30,-64,
40,38,-68,
41,-42,-48,
42,18,-60,
43,2,-76,
44,-14,-4,
45,-10,-68,
46,18,-60,
47,-6,-76,
48,30,-92,
49,18,-40,
50,22,-80,
51,2,-92,
52,38,-4,
53,66,-104,
54,-18,-76,
55,-14,-88,
56,50,-92,
57,6,-140,
58,-30,4,
59,10,-136,
60,-38,-16,
61,18,-72,
62,-14,-60,
63,-54,-64,
64,-22,-76,
65,-18,-88,
66,-22,-52,
67,-38,-96,
68,14,-48,
69,-14,-88,
70,-46,-84,
71,-26,-44,
72,54,-136,
73,-14,-104,
74,14,-144,
75,-10,-76,
76,-2,-116,
77,-34,-40,
78,-42,-108,
79,10,4,
80,6,-48,
81,22,-124,
82,-46,-140,
83,26,-68,
84,30,-112,
85,-30,-16,
86,18,-128,
87,18,-144,
88,46,-64,
89,42,-132,
90,-18,-116,
91,18,-92,
92,-10,-48,
93,22,-88,
94,-6,-60,
95,22,-144,
96,-54,-4,
97,6,-176,
98,-10,-128,
99,10,-92,
100,-62,-64,
101,-18,-144,
102,-10,-80,
103,6,-24,
104,42,-152,
105,-30,-100,
106,22,-64,
107,26,-120,
108,26,-132,
109,34,-44,
110,-14,-84,
111,2,-128,
112,-14,-108,
113,2,-44,
114,-26,-36,
115,-46,-128,
116,-26,-100,
117,-30,-80,
118,-22,-40,
119,-2,-36,
120,-78,-48,
121,30,-80,
122,38,-96,
123,-22,-16,
124,-6,-120,
125,-6,-44,
126,-14,-60,
127,-22,-76,
128,-30,-124,
129,14,-40,
130,54,-120,
131,2,-24,
132,14,-92,
133,-34,0,
134,18,-104,
135,-26,16,
136,-2,-36,
137,-14,-152,
138,10,-88,
139,-18,4,
140,-30,-44,
141,-10,-184,
142,-22,-52,
143,22,-84,
144,-38,-84,
145,10,-124,
146,34,-40,
147,30,-60,
148,-18,-28,
149,-22,0,
150,-30,-100,
151,-26,4,
152,42,-72,
153,42,-124,
154,-14,-60,
155,-2,-76,
156,-50,-68,
157,-2,-100,
158,38,-144,
159,14,-160,
160,10,-116,
161,-42,-88,
162,26,-68,
163,14,-88,
164,26,-72,
165,50,-96,
166,-58,-56,
167,38,-84,
168,-66,-72,
169,-42,-112,
170,-26,-132,
171,-6,-76,
172,-22,-40,
173,18,-92,
174,6,-116,
175,22,-32,
176,-30,-88,
177,-22,-76,
178,54,-12,
179,-34,-100,
180,54,-52,
181,10,-144,
182,-26,-48,
183,-10,-68,
184,2,-112,
185,-22,-36,
186,-6,-108,
187,10,-16,
188,6,-92,
189,-2,-144,
190,10,-100,
191,6,-80,
192,22,-88,
193,-34,-52,
194,-38,-56,
195,2,-92,
196,-2,-52,
197,14,-84,
198,18,-116,
199,26,-120,
200,46,-36,
201,10,-108,
202,-30,-120,
203,-14,-128,
204,-30,-60,
205,-34,-148,
206,-18,-40,
207,-38,-84,
208,-26,-24,
209,-2,-68,
210,46,-68,
211,-14,-148,
212,26,-112,
213,46,-172,
214,6,-56,
215,-26,-92,
216,-46,-52,
217,14,-68,
218,10,-52,
219,-34,-92,
220,-22,-108,
221,2,-48,
222,-46,-72,
223,2,-144,
224,-6,-152,
225,-30,-72,
226,-14,-132,
227,-42,-44,
228,6,-40,
229,2,-48,
230,-26,-48,
231,-6,-44,
232,-2,-100,
233,-18,-104,
234,-2,-44,
235,10,-88,
236,22,-120,
237,10,-32,
238,-38,-96,
239,-46,-52,
240,42,-88,
241,2,-140,
242,-30,-96,
243,62,-76,
244,18,-52,
245,62,-40,
246,-14,-120,
247,-54,4,
248,-22,-96,
249,-14,-52,
250,-46,-172,
251,18,-132,
252,-6,-76,
253,-46,-68,
254,6,-96,
255,-22,-88,
256,30,-68,
257,-2,-32,
258,38,-92,
259,42,-124,
260,-42,-24,
261,-2,-148,
262,34,-144,
263,26,-52,
264,-10,-96,
265,-34,-72,
266,-6,-116,
267,22,-48,
268,-14,-88,
269,-10,-8,
270,-58,-44,
271,-38,-116,
272,-34,-28,
273,-34,-52,
274,-42,-136,
275,-22,-44,
276,6,-28,
277,10,-116,
278,30,-148,
279,-14,-112,
280,-46,-96,
281,-26,-88,
282,6,-84,
283,-26,-4,
284,-38,-92,
285,18,-28,
286,-14,-84,
287,2,-68,
288,14,-88,
289,22,-60,
290,10,-100,
291,-2,-84,
292,18,-32,
293,26,-116,
294,-26,-88,
295,-14,-64,
296,54,-24,
297,18,-84,
298,18,-64,
299,-18,-48,
