Step,Mag,Ham,
0,-18,-92,
1,-6,-96,
2,-6,-44,
3,-14,24,
4,34,-84,
5,2,-68,
6,54,-100,
7,-34,-28,
8,-30,-80,
9,-6,-12,
10,-34,-100,
11,-22,-64,
12,-26,-40,
13,-26,-28,
14,-22,-76,
15,14,-76,
16,-10,-104,
17,-42,0,
18,14,-96,
19,-38,-52,
20,-18,-32,
21,34,-52,
22,18,-32,
23,-34,-68,
24,58,-64,
25,-26,-20,
26,42,0,
27,10,-44,
28,14,-48,
29,-34,-100,
30,-18,-28,
31,58,-44,
32,38,-80,
33,18,-96,
34,10,-72,
35,-6,20,
36,-22,-84,
37,-22,-40,
38,-22,-72,
39,2,-32,
40,-2,-64,
41,-18,-80,
42,10,-100,
43,78,-16,
44,18,-60,
45,42,-64,
46,58,-80,
47,34,-56,
48,-22,-72,
49,-38,-100,
50,-2,-24,
51,30,-64,
52,22,-32,
53,2,-44,
54,-22,-88,
55,2,56,
56,14,-64,
57,26,-52,
58,10,-8,
59,34,-64,
60,-34,-36,
61,2,-116,
62,-50,-72,
63,-18,-188,
64,-50,-160,
65,18,-56,
66,30,-124,
67,62,-76,
68,18,-92,
69,30,-16,
70,-18,16,
71,38,-88,
72,-14,-20,
73,46,-108,
74,-6,-72,
75,38,-80,
76,50,4,
77,30,-80,
78,-22,-48,
79,14,-140,
80,2,-76,
81,-46,-88,
82,42,-96,
83,22,-104,
84,-10,-64,
85,-66,-36,
86,-2,24,
87,34,-84,
88,-6,-136,
89,-6,-88,
90,26,-48,
91,-10,-24,
92,-14,-60,
93,22,-88,
94,-42,-24,
95,-22,-68,
96,-2,-40,
97,14,-96,
98,10,-4,
99,10,-156,
100,6,-112,
101,-14,-112,
102,26,-124,
103,18,-60,
104,10,16,
105,54,-44,
106,-42,-36,
107,18,-80,
108,54,-112,
109,6,20,
110,10,-104,
111,6,-56,
112,-22,-100,
113,-6,-40,
114,26,-72,
115,22,-88,
116,22,-96,
117,-2,-40,
118,-42,-152,
119,-14,-48,
120,22,-120,
121,-10,-68,
122,26,-104,
123,30,-100,
124,10,-52,
125,10,-52,
126,-14,-104,
127,34,-64,
128,-10,-84,
129,6,-68,
130,2,-44,
131,-26,-68,
132,-14,-68,
133,-38,-32,
134,10,-8,
135,58,-68,
136,6,-56,
137,-10,-44,
138,-14,-108,
139,-26,-140,
140,6,-56,
141,10,-40,
142,-54,-12,
143,26,20,
144,2,-20,
145,-10,-120,
146,18,-164,
147,-34,-108,
148,-34,-12,
149,54,-92,
150,50,-68,
151,-10,12,
152,-18,-128,
153,-18,-80,
154,-2,-92,
155,-10,-132,
156,46,-4,
157,-14,-116,
158,-42,-72,
159,-30,-56,
160,14,-124,
161,26,-160,
162,-14,-24,
163,-30,-48,
164,26,-52,
165,-22,-100,
166,22,-80,
167,-14,-76,
168,-42,-32,
169,58,-48,
170,46,-116,
171,-10,-120,
172,18,-52,
173,-14,-128,
174,10,-80,
175,-30,-148,
176,-26,-76,
177,30,-24,
178,-34,-84,
179,-14,-44,
180,-22,-128,
181,26,-128,
182,14,-52,
183,-10,-96,
184,6,4,
185,-14,-64,
186,30,52,
187,2,-104,
188,14,-100,
189,6,-40,
190,38,-100,
191,-18,-108,
192,-90,-20,
193,18,-40,
194,-18,-60,
195,30,-144,
196,-38,-100,
197,-14,-104,
198,-10,-28,
199,-42,-88,
200,50,-48,
201,-30,-24,
202,30,-124,
203,6,-12,
204,14,12,
205,2,-120,
206,-14,-96,
207,-10,-4,
208,-62,-28,
209,34,-76,
210,-2,-100,
211,-34,-48,
212,-18,-148,
213,2,-116,
214,-26,-76,
215,38,-32,
216,34,-64,
217,50,-60,
218,10,-68,
219,34,-108,
220,-18,-24,
221,18,-44,
222,18,-76,
223,-22,-68,
224,6,-128,
225,2,-168,
226,14,-80,
227,-30,-88,
228,-10,-72,
229,10,-76,
230,-18,-116,
231,30,-92,
232,34,-144,
233,14,-8,
234,6,-40,
235,22,-24,
236,14,-60,
237,-2,-104,
238,2,-72,
239,6,-68,
240,-26,0,
241,-26,-116,
242,42,12,
243,-26,-28,
244,18,-84,
245,22,-28,
246,-42,-60,
247,-10,-120,
248,-14,-52,
249,-62,-108,
250,2,-36,
251,-30,-44,
252,14,-140,
253,22,-100,
254,-18,-96,
255,18,-68,
256,30,-20,
257,6,-48,
258,26,0,
259,46,-4,
260,-18,-112,
261,-14,-152,
262,42,-76,
263,34,-52,
264,-6,-60,
265,34,36,
266,38,-148,
267,-66,-56,
268,-30,-44,
269,-18,-72,
270,10,-76,
271,10,-88,
272,38,-96,
273,-26,-36,
274,-14,-144,
275,-10,-40,
276,-54,-60,
277,-6,-44,
278,78,-100,
279,-18,-36,
280,-30,-60,
281,-42,-60,
282,18,-56,
283,34,-68,
284,30,-12,
285,2,-20,
286,-30,-48,
287,-42,-132,
288,6,-76,
289,-10,-64,
290,-34,-88,
291,30,-72,
292,-54,-16,
293,-14,-112,
294,-58,-4,
295,-6,-16,
296,-10,-136,
297,50,-100,
298,22,-68,
299,-2,-56,
