Step,Mag,Ham,
0,24,-32,
1,-4,-32,
2,-56,-60,
3,-32,-32,
4,12,-60,
5,32,-64,
6,-40,-36,
7,40,-76,
8,-4,-100,
9,-16,-100,
10,32,-28,
11,12,-108,
12,-24,-92,
13,-12,-40,
14,-36,12,
15,20,-160,
16,8,-96,
17,-28,-92,
18,-4,-32,
19,32,4,
20,12,-76,
21,-24,-64,
22,16,-128,
23,-12,0,
24,0,-148,
25,4,-64,
26,44,-40,
27,4,-32,
28,-40,-100,
29,52,-80,
30,-4,-56,
31,-20,-60,
32,36,-16,
33,8,-64,
34,-16,-72,
35,-4,-12,
36,24,-100,
37,0,-52,
38,4,-40,
39,-12,-32,
40,-32,-72,
41,-24,-84,
42,0,-28,
43,8,-60,
44,-28,-68,
45,-16,-60,
46,-8,-24,
47,-4,-48,
48,12,-128,
49,4,-88,
50,-52,-52,
51,-12,-100,
52,-20,-52,
53,20,-8,
54,-8,-36,
55,-28,-44,
56,-8,-36,
57,52,16,
58,12,-112,
59,-68,-36,
60,16,-72,
61,4,-44,
62,-60,-48,
63,44,-128,
64,28,-52,
65,4,-108,
66,-28,-40,
67,48,44,
68,-12,8,
69,16,-144,
70,-40,-32,
71,-4,-120,
72,8,-72,
73,20,-44,
74,12,-104,
75,48,-60,
76,-16,-96,
77,20,-16,
78,-28,-100,
79,36,-48,
80,-4,-48,
81,12,-92,
82,-48,-108,
83,-48,-52,
84,52,-16,
85,8,-104,
86,-8,36,
87,12,-32,
88,-36,-68,
89,-8,-44,
90,24,-8,
91,-28,-56,
92,-48,8,
93,-12,-88,
94,-36,-68,
95,-40,-108,
96,-12,-116,
97,24,-88,
98,-44,-48,
99,0,-8,
100,-52,0,
101,0,-72,
102,72,-80,
103,-20,-56,
104,12,-108,
105,-4,-12,
106,-44,-104,
107,28,-92,
108,16,-76,
109,-16,-60,
110,16,-120,
111,4,-80,
112,32,24,
113,0,-28,
114,-48,4,
115,24,-104,
116,32,-92,
117,20,-92,
118,-16,-40,
119,8,-120,
120,-24,-52,
121,4,-36,
122,-8,-120,
123,-16,-144,
124,44,-48,
125,28,-92,
126,-12,-8,
127,68,-84,
128,-20,-88,
129,-60,-68,
130,-16,48,
131,16,-76,
132,-12,-16,
133,16,-12,
134,-16,48,
135,64,-36,
136,-24,-80,
137,56,-56,
138,44,-40,
139,-32,24,
140,0,-80,
141,0,-48,
142,32,-152,
143,52,-60,
144,28,-84,
145,20,-72,
146,16,-96,
147,-60,-84,
148,20,16,
149,-28,-104,
150,-12,-52,
151,8,-64,
152,24,-80,
153,-20,-136,
154,28,-24,
155,-16,-92,
156,-36,-92,
157,-8,-84,
158,-36,-36,
159,64,-100,
160,-16,-88,
161,20,-116,
162,4,-112,
163,20,-28,
164,12,-24,
165,4,-28,
166,-20,-76,
167,-56,-104,
168,12,-36,
169,4,-56,
170,-20,-40,
171,24,-52,
172,-24,-88,
173,16,-112,
174,-72,-76,
175,56,-84,
176,20,-72,
177,40,-60,
178,4,-80,
179,12,-60,
180,36,12,
181,32,-8,
182,28,-104,
183,28,-48,
184,48,-76,
185,28,-124,
186,12,-100,
187,-44,-44,
188,20,-100,
189,0,-16,
190,0,-40,
191,-16,-84,
192,40,-132,
193,-8,-100,
194,0,-12,
195,-24,0,
196,12,4,
197,8,-72,
198,-12,8,
199,28,-92,
200,-20,-32,
201,-36,-44,
202,16,-124,
203,20,-52,
204,4,-108,
205,-24,-28,
206,-28,-56,
207,-64,-84,
208,4,-84,
209,-24,-60,
210,4,-88,
211,36,-52,
212,8,-72,
213,-32,-48,
214,12,-64,
215,-64,-28,
216,-12,-108,
217,4,-76,
218,8,-44,
219,-24,-64,
220,44,-68,
221,48,-16,
222,-44,-88,
223,32,-100,
224,-12,-144,
225,12,-40,
226,24,-72,
227,-12,-60,
228,-28,-36,
229,-24,-16,
230,-16,-116,
231,8,-120,
232,44,-56,
233,48,-120,
234,-44,-76,
235,-56,-128,
236,12,-80,
237,44,-48,
238,-4,-8,
239,8,-56,
240,-24,-48,
241,8,-88,
242,36,-44,
243,-68,-52,
244,-24,-68,
245,8,-28,
246,-40,-60,
247,68,-80,
248,56,-48,
249,-28,-92,
250,4,-72,
251,-4,-64,
252,-4,-72,
253,-48,-76,
254,20,-80,
255,36,-96,
256,-32,-108,
257,12,-132,
258,28,-44,
259,-36,-84,
260,12,-76,
261,-8,-104,
262,0,-56,
263,-8,-76,
264,4,-72,
265,-4,12,
266,-24,-16,
267,-28,-172,
268,20,-88,
269,4,-4,
270,-12,-76,
271,56,-28,
272,4,-132,
273,8,-104,
274,8,0,
275,-36,-84,
276,16,-100,
277,0,-112,
278,4,-60,
279,-12,-64,
280,72,-4,
281,52,-8,
282,-20,8,
283,0,-48,
284,-4,-132,
285,0,-44,
286,52,-60,
287,0,-88,
288,28,-108,
289,-44,8,
290,-40,-32,
291,24,-60,
292,-16,-48,
293,-76,-28,
294,-52,-124,
295,-56,-48,
296,-24,-88,
297,-20,-96,
298,-12,-44,
299,-16,-48,
