Step,Mag,Ham,
0,-4,-64,
1,-8,-76,
2,-48,-168,
3,12,-56,
4,-64,-96,
5,-40,-144,
6,-12,-120,
7,-4,-100,
8,0,-44,
9,52,-160,
10,-8,-84,
11,-36,-104,
12,32,-160,
13,-64,-124,
14,28,-160,
15,-4,-128,
16,28,-60,
17,44,-184,
18,24,-104,
19,-88,-80,
20,-12,-100,
21,-24,-156,
22,44,-144,
23,8,-32,
24,16,-164,
25,-12,-120,
26,4,-148,
27,-20,-116,
28,16,-100,
29,36,-140,
30,20,-160,
31,-8,-112,
32,-8,-52,
33,20,-104,
34,12,-128,
35,16,-52,
36,0,-136,
37,60,-64,
38,48,-52,
39,0,-144,
40,-28,-84,
41,0,-32,
42,-36,-36,
43,-20,-64,
44,4,-148,
45,0,-100,
46,-4,-156,
47,-12,-112,
48,16,-88,
49,-32,-92,
50,0,0,
51,-20,-56,
52,16,-92,
53,-24,-164,
54,-32,16,
55,36,-104,
56,28,-84,
57,-84,-88,
58,40,-100,
59,4,-60,
60,-4,-140,
61,16,-80,
62,-4,-32,
63,-16,-12,
64,8,-76,
65,24,-104,
66,48,-96,
67,68,-72,
68,-56,-48,
69,36,-88,
70,28,-116,
71,12,-20,
72,28,-152,
73,-28,-80,
74,0,-112,
75,12,-124,
76,24,-104,
77,28,-168,
78,16,-80,
79,12,-220,
80,16,-88,
81,-8,-92,
82,4,-40,
83,-24,-60,
84,-4,-112,
85,24,-40,
86,44,-120,
87,-32,-88,
88,-4,-64,
89,20,-88,
90,0,-104,
91,4,-132,
92,-8,-112,
93,36,-52,
94,0,-88,
95,-16,-120,
96,56,-52,
97,40,-92,
98,-4,-40,
99,-28,-24,
100,64,-20,
101,16,-48,
102,-32,-24,
103,-36,-20,
104,20,-104,
105,-8,-104,
106,28,-148,
107,12,-52,
108,32,-84,
109,0,-76,
110,-4,-56,
111,4,-52,
112,44,-128,
113,28,-56,
114,-24,8,
115,40,-68,
116,-28,-124,
117,-44,-100,
118,-36,-80,
119,-48,-68,
120,64,-88,
121,0,-92,
122,-56,-56,
123,40,-92,
124,-28,-168,
125,-12,-164,
126,-4,-160,
127,4,-88,
128,-28,-84,
129,-48,-32,
130,-4,-96,
131,0,-48,
132,-16,-56,
133,40,-164,
134,32,-52,
135,-52,-68,
136,-36,-104,
137,16,-164,
138,-32,-104,
139,20,-140,
140,36,-152,
141,-8,-36,
142,4,-136,
143,20,-100,
144,0,-136,
145,20,-60,
146,40,-80,
147,12,-100,
148,0,-124,
149,28,-120,
150,12,-112,
151,0,-36,
152,36,-88,
153,4,-80,
154,-4,-140,
155,4,-120,
156,-4,-4,
157,44,-92,
158,-40,-92,
159,52,-116,
160,-20,-100,
161,0,-100,
162,28,-72,
163,-20,-76,
164,-28,-164,
165,-20,-56,
166,-52,-112,
167,-20,-48,
168,16,-108,
169,-20,-84,
170,-24,-72,
171,-24,-120,
172,-60,-84,
173,20,-88,
174,-20,-120,
175,-4,-88,
176,-12,-68,
177,12,-96,
178,-60,-60,
179,16,-36,
180,36,-168,
181,20,-160,
182,20,-72,
183,52,-116,
184,12,-100,
185,4,-84,
186,40,-92,
187,56,-40,
188,8,-8,
189,-20,4,
190,-12,-52,
191,36,-72,
192,8,-84,
193,-36,-16,
194,-12,-112,
195,-24,-40,
196,-16,-88,
197,-28,-76,
198,8,-52,
199,-8,-80,
200,-32,-164,
201,-16,-84,
202,24,-144,
203,20,-120,
204,-48,-100,
205,16,-124,
206,24,-84,
207,-20,-20,
208,24,-72,
209,8,-48,
210,32,-128,
211,-12,-168,
212,-20,-76,
213,-28,-44,
214,0,-104,
215,24,-112,
216,-64,-28,
217,20,-96,
218,-8,-120,
219,-28,-84,
220,-72,-108,
221,-8,-116,
222,8,-60,
223,-4,-80,
224,0,-16,
225,0,-112,
226,-12,-100,
227,-36,-12,
228,4,-96,
229,-8,-160,
230,4,-88,
231,-84,-32,
232,4,-44,
233,4,8,
234,-52,-56,
235,-20,-128,
236,-96,-60,
237,24,-80,
238,24,-116,
239,-44,-120,
240,-40,-36,
241,12,-24,
242,36,-64,
243,48,-76,
244,0,-120,
245,-40,-56,
246,-40,-24,
247,-8,-184,
248,-36,-124,
249,4,-68,
250,-32,-108,
251,-16,-56,
252,-84,-8,
253,-8,-100,
254,76,-88,
255,-8,-116,
256,52,-52,
257,20,-92,
258,-40,-152,
259,16,-96,
260,-16,-60,
261,20,-36,
262,-60,-36,
263,-40,-104,
264,80,-100,
265,-28,-60,
266,-4,-80,
267,-88,-96,
268,32,-136,
269,4,-4,
270,-28,-124,
271,8,-72,
272,-44,-24,
273,-72,-56,
274,4,-60,
275,0,-76,
276,32,-12,
277,24,-28,
278,-36,-152,
279,-28,-68,
280,-20,-36,
281,20,-56,
282,-16,-88,
283,-8,-164,
284,-56,-8,
285,-56,-92,
286,8,-156,
287,-20,-72,
288,48,-40,
289,28,-96,
290,0,-128,
291,-12,-76,
292,16,-80,
293,-12,-92,
294,-36,-40,
295,12,-92,
296,-4,-44,
297,20,-180,
298,-48,-24,
299,12,-72,
