Step,Mag,Ham,
0,40,16,
1,-4,84,
2,0,12,
3,-20,-16,
4,-48,16,
5,-20,24,
6,-32,40,
7,28,36,
8,-8,8,
9,24,-44,
10,-64,100,
11,-28,76,
12,20,16,
13,-36,0,
14,0,24,
15,-32,-20,
16,44,92,
17,-60,48,
18,0,40,
19,-20,-20,
20,12,-40,
21,44,12,
22,-20,-48,
23,32,-8,
24,-20,-48,
25,36,60,
26,-12,56,
27,-32,8,
28,4,84,
29,-60,80,
30,-28,-4,
31,24,28,
32,84,40,
33,36,-48,
34,4,-36,
35,56,64,
36,-24,8,
37,44,8,
38,4,20,
39,56,36,
40,-12,4,
41,44,56,
42,32,64,
43,-8,72,
44,28,-16,
45,4,56,
46,44,-60,
47,32,56,
48,8,-24,
49,12,-52,
50,12,-20,
51,-4,28,
52,32,84,
53,-12,8,
54,-16,52,
55,-20,0,
56,28,12,
57,-20,-4,
58,-20,-32,
59,24,-24,
60,-48,44,
61,24,-12,
62,-48,84,
63,-28,-4,
64,36,-20,
65,-20,-28,
66,8,76,
67,32,60,
68,12,-12,
69,12,72,
70,16,8,
71,8,-64,
72,-36,8,
73,-16,-52,
74,16,-20,
75,-20,24,
76,20,76,
77,-12,12,
78,-44,8,
79,-28,56,
80,-20,36,
81,-20,40,
82,-28,48,
83,28,36,
84,-24,8,
85,24,56,
86,-28,20,
87,-36,-56,
88,-12,-40,
89,-32,44,
90,16,52,
91,-24,-32,
92,16,24,
93,72,-12,
94,4,32,
95,-12,-28,
96,-4,100,
97,-8,-52,
98,24,-16,
99,-36,12,
100,-32,40,
101,8,0,
102,24,-8,
103,24,72,
104,-24,-28,
105,-12,-40,
106,-40,36,
107,12,12,
108,-16,-4,
109,12,-32,
110,76,-24,
111,-40,4,
112,-40,-80,
113,24,52,
114,-8,-52,
115,40,8,
116,-44,28,
117,-44,-44,
118,-16,12,
119,-36,8,
120,28,4,
121,4,-44,
122,-20,4,
123,-64,40,
124,16,16,
125,4,52,
126,4,-52,
127,0,24,
128,40,-24,
129,60,44,
130,12,-48,
131,-16,-8,
132,-4,-12,
133,8,-12,
134,-24,-4,
135,12,-80,
136,-40,-4,
137,8,12,
138,16,-16,
139,32,64,
140,-56,-36,
141,4,8,
142,60,36,
143,36,-4,
144,-4,-60,
145,36,48,
146,-4,4,
147,12,28,
148,-8,12,
149,-16,0,
150,20,80,
151,0,104,
152,20,36,
153,-28,-36,
154,-64,24,
155,24,-44,
156,44,32,
157,20,60,
158,-8,-20,
159,-24,8,
160,40,24,
161,-12,-28,
162,60,36,
163,-24,4,
164,32,-12,
165,-12,-52,
166,40,12,
167,16,52,
168,12,52,
169,12,76,
170,-40,56,
171,-24,-24,
172,-28,-28,
173,-16,-48,
174,-40,56,
175,-16,24,
176,-32,-24,
177,20,84,
178,20,-36,
179,8,-76,
180,-12,-20,
181,-32,120,
182,32,52,
183,-36,-28,
184,-12,60,
185,24,-36,
186,-36,24,
187,28,84,
188,-8,12,
189,12,0,
190,32,-12,
191,-24,-24,
192,8,20,
193,28,-8,
194,-4,72,
195,12,20,
196,-12,-68,
197,48,28,
198,40,-92,
199,-12,36,
200,8,-52,
201,-8,16,
202,8,-8,
203,12,4,
204,32,-44,
205,-24,68,
206,20,8,
207,-24,80,
208,36,-36,
209,48,44,
210,4,4,
211,-16,-28,
212,-8,32,
213,4,-56,
214,16,0,
215,-4,48,
216,-24,-32,
217,24,-36,
218,-40,56,
219,-32,-20,
220,-44,28,
221,-4,104,
222,24,8,
223,-28,36,
224,32,8,
225,-12,64,
226,32,-36,
227,28,-4,
228,84,-52,
229,28,-20,
230,28,-12,
231,16,-4,
232,-8,28,
233,32,-60,
234,8,-68,
235,-40,24,
236,52,-24,
237,16,40,
238,16,72,
239,-28,-8,
240,28,-60,
241,-72,-36,
242,-68,8,
243,64,28,
244,-52,40,
245,-12,36,
246,-56,28,
247,24,36,
248,32,-52,
249,28,12,
250,12,-40,
251,56,24,
252,8,-12,
253,-4,-52,
254,24,-60,
255,32,60,
256,84,56,
257,-16,-16,
258,0,56,
259,32,-24,
260,40,8,
261,16,-8,
262,-36,-80,
263,12,0,
264,-20,-4,
265,-12,-4,
266,-20,-12,
267,24,-40,
268,40,-12,
269,4,64,
270,28,0,
271,-40,-8,
272,16,80,
273,-12,68,
274,-24,-28,
275,44,64,
276,-32,-36,
277,12,60,
278,-28,24,
279,28,28,
280,-40,8,
281,-4,4,
282,-4,-4,
283,-12,24,
284,12,0,
285,32,44,
286,-16,-48,
287,-16,-24,
288,-12,44,
289,4,20,
290,16,-12,
291,-12,48,
292,-16,28,
293,-4,28,
294,-20,-44,
295,0,76,
296,-16,56,
297,44,-76,
298,-20,12,
299,20,-24,
