Step,Mag,Ham,
0,28,-64,
1,24,0,
2,40,8,
3,16,8,
4,80,68,
5,8,-40,
6,8,-24,
7,-4,-44,
8,4,-72,
9,-12,-8,
10,20,-48,
11,20,-12,
12,-40,24,
13,24,-52,
14,0,-52,
15,-28,4,
16,28,-56,
17,-44,8,
18,-4,-20,
19,-8,96,
20,-12,-60,
21,-32,148,
22,-4,-16,
23,20,-80,
24,-32,-44,
25,0,28,
26,20,20,
27,-36,-72,
28,-12,8,
29,-32,-4,
30,24,28,
31,44,16,
32,4,-12,
33,-28,-24,
34,0,-64,
35,-16,8,
36,-28,16,
37,-28,20,
38,12,12,
39,-40,4,
40,-28,16,
41,-48,72,
42,32,48,
43,8,-40,
44,-28,-28,
45,0,-40,
46,32,20,
47,-68,8,
48,-20,-24,
49,-16,-4,
50,-32,-16,
51,-20,-24,
52,-44,-4,
53,44,8,
54,-44,12,
55,-4,16,
56,-4,-20,
57,40,-20,
58,4,16,
59,-8,-32,
60,-28,-32,
61,16,-100,
62,-40,-12,
63,8,-24,
64,-8,-48,
65,-24,20,
66,4,-4,
67,4,-40,
68,-56,20,
69,16,36,
70,-24,-20,
71,16,-52,
72,-24,40,
73,-4,0,
74,64,12,
75,-28,64,
76,-4,24,
77,12,24,
78,-32,12,
79,4,32,
80,-24,-20,
81,-8,-64,
82,-12,32,
83,-44,-20,
84,-12,28,
85,-48,100,
86,-4,4,
87,8,40,
88,16,0,
89,-24,-48,
90,-36,-48,
91,16,20,
92,32,8,
93,-44,-24,
94,4,24,
95,8,-32,
96,24,-8,
97,12,32,
98,-48,-16,
99,16,8,
100,0,8,
101,68,52,
102,-20,-72,
103,0,48,
104,-8,20,
105,32,-68,
106,-4,-44,
107,-4,-32,
108,-24,12,
109,0,8,
110,36,20,
111,0,36,
112,20,0,
113,-8,-8,
114,-60,-68,
115,20,-28,
116,-24,64,
117,-36,12,
118,-12,-20,
119,24,-36,
120,-64,-8,
121,-12,-16,
122,4,-24,
123,36,32,
124,12,12,
125,16,68,
126,16,52,
127,-44,-48,
128,12,-12,
129,-12,-36,
130,-28,8,
131,4,56,
132,12,8,
133,-16,-8,
134,48,36,
135,-40,-36,
136,-32,-40,
137,-24,80,
138,-44,12,
139,4,40,
140,-52,68,
141,-4,-8,
142,20,24,
143,20,-28,
144,-40,52,
145,-24,-40,
146,-8,-28,
147,-36,-36,
148,-4,24,
149,28,-84,
150,12,-68,
151,-32,-56,
152,36,48,
153,16,36,
154,-4,0,
155,-20,44,
156,-48,56,
157,-4,-56,
158,-36,76,
159,28,-60,
160,32,-92,
161,12,-36,
162,48,0,
163,-16,36,
164,-4,-4,
165,52,-12,
166,0,-32,
167,-4,-12,
168,-36,12,
169,32,-12,
170,-40,40,
171,16,-68,
172,12,44,
173,-4,24,
174,-52,-48,
175,-4,44,
176,16,-48,
177,-8,28,
178,-36,-24,
179,-24,36,
180,28,4,
181,44,-12,
182,4,24,
183,0,-56,
184,20,60,
185,16,-16,
186,-4,-8,
187,8,-32,
188,0,32,
189,44,-72,
190,-44,0,
191,8,-12,
192,-16,-8,
193,-8,-4,
194,-28,76,
195,0,-36,
196,-12,0,
197,-68,12,
198,-44,-16,
199,20,-44,
200,24,-32,
201,32,-48,
202,-4,40,
203,16,12,
204,-56,28,
205,4,48,
206,-20,28,
207,4,-16,
208,-16,16,
209,40,-8,
210,-24,-36,
211,12,-36,
212,-40,20,
213,56,36,
214,-12,-56,
215,-16,80,
216,44,20,
217,-36,80,
218,-16,64,
219,20,76,
220,-4,-60,
221,-24,-32,
222,4,36,
223,-60,128,
224,-8,20,
225,-32,-36,
226,-8,-28,
227,12,44,
228,32,-12,
229,-12,44,
230,-32,-4,
231,12,64,
232,-12,12,
233,-24,32,
234,8,-8,
235,28,-40,
236,-48,-40,
237,-8,-76,
238,-28,28,
239,32,-28,
240,-16,72,
241,-40,8,
242,-32,20,
243,24,-16,
244,8,56,
245,64,-8,
246,32,76,
247,4,-44,
248,-8,-4,
249,-4,-44,
250,8,-60,
251,20,-12,
252,24,-48,
253,36,-20,
254,-16,60,
255,-44,-96,
256,8,12,
257,32,-36,
258,-40,-12,
259,-40,52,
260,12,-32,
261,24,-76,
262,-4,20,
263,-40,92,
264,-24,-4,
265,44,0,
266,0,-32,
267,16,-44,
268,12,-20,
269,-4,4,
270,44,-48,
271,-4,60,
272,64,4,
273,-24,28,
274,36,60,
275,-8,-72,
276,-36,28,
277,32,4,
278,40,-48,
279,60,-20,
280,-20,-48,
281,-40,-44,
282,4,8,
283,28,-28,
284,68,-44,
285,-32,0,
286,76,52,
287,0,56,
288,-8,20,
289,12,48,
290,12,28,
291,52,-60,
292,4,-36,
293,-20,-16,
294,28,-12,
295,-28,12,
296,8,44,
297,-20,24,
298,-16,0,
299,4,-12,
