Step,Mag,Ham,
0,4,-92,
1,-68,-148,
2,-16,-132,
3,56,-112,
4,16,-120,
5,-12,-48,
6,32,12,
7,68,-224,
8,24,-8,
9,-40,-176,
10,16,-88,
11,20,-104,
12,24,-48,
13,48,-72,
14,44,-84,
15,20,-40,
16,20,-120,
17,-20,-116,
18,4,-60,
19,8,-140,
20,-12,-120,
21,16,-52,
22,28,-48,
23,-36,-132,
24,-68,-48,
25,4,0,
26,-16,-76,
27,24,-88,
28,8,-112,
29,4,-124,
30,68,-92,
31,-12,-124,
32,-24,-88,
33,8,-72,
34,-12,-68,
35,24,-108,
36,-48,-80,
37,-32,-76,
38,-28,-128,
39,-8,-16,
40,-4,-12,
41,32,-52,
42,20,-8,
43,48,-140,
44,24,-88,
45,56,-72,
46,-24,-120,
47,-24,-96,
48,24,-100,
49,8,-120,
50,-16,-64,
51,-16,-56,
52,40,-60,
53,-28,-68,
54,32,-36,
55,12,-148,
56,8,-84,
57,-32,-20,
58,-52,-28,
59,-20,-108,
60,16,-156,
61,-16,-96,
62,-16,-60,
63,16,-52,
64,-12,-112,
65,28,-36,
66,-44,-104,
67,-12,-36,
68,-20,-132,
69,28,8,
70,-16,-112,
71,-4,-128,
72,-52,-4,
73,64,-168,
74,28,0,
75,36,-40,
76,12,-64,
77,8,-96,
78,24,-76,
79,4,-112,
80,-24,-100,
81,-32,-92,
82,24,-96,
83,32,-80,
84,40,-36,
85,-68,-16,
86,-44,-92,
87,-4,-152,
88,-24,-68,
89,12,-48,
90,40,-40,
91,-4,-148,
92,-4,-24,
93,-8,-32,
94,-24,-16,
95,-40,-28,
96,-12,-64,
97,-8,-48,
98,32,-16,
99,76,-80,
100,0,-76,
101,48,-84,
102,-16,-124,
103,20,-116,
104,36,-72,
105,-24,-128,
106,-16,16,
107,32,-16,
108,-4,-176,
109,60,-40,
110,20,-40,
111,48,-68,
112,-4,-40,
113,-32,-120,
114,24,-92,
115,28,-52,
116,28,-68,
117,-28,-80,
118,-52,-8,
119,32,-116,
120,12,-132,
121,-20,-72,
122,-56,-88,
123,-44,-4,
124,48,-148,
125,8,-96,
126,16,-108,
127,-28,-100,
128,-12,-48,
129,-12,-64,
130,0,-128,
131,36,-40,
132,0,-116,
133,12,-76,
134,0,-72,
135,-32,-100,
136,20,-92,
137,-4,-80,
138,-16,-104,
139,-52,-72,
140,-44,-68,
141,12,-72,
142,0,-80,
143,-36,-108,
144,-24,-84,
145,12,-76,
146,-24,-128,
147,24,-80,
148,0,-36,
149,4,-88,
150,4,-124,
151,4,-96,
152,28,-92,
153,-4,-36,
154,-8,-56,
155,12,-96,
156,8,-132,
157,28,-108,
158,28,-120,
159,-16,-84,
160,-8,-164,
161,68,-80,
162,-32,-60,
163,20,-16,
164,24,-16,
165,8,-128,
166,-36,-36,
167,-20,-116,
168,-36,-48,
169,-52,-124,
170,-16,-40,
171,-16,-92,
172,-28,-120,
173,4,-28,
174,32,-140,
175,32,12,
176,-12,-64,
177,-12,-156,
178,12,-60,
179,12,-108,
180,36,-60,
181,-4,-164,
182,-16,-60,
183,4,-80,
184,4,-12,
185,20,-96,
186,28,-72,
187,-4,-176,
188,28,-56,
189,28,-88,
190,20,-80,
191,-24,12,
192,48,-48,
193,-28,-12,
194,-20,-68,
195,12,-44,
196,20,16,
197,16,-4,
198,-16,-88,
199,-44,-112,
200,-12,-52,
201,20,-72,
202,24,-152,
203,44,-100,
204,-12,-116,
205,24,-36,
206,-28,-140,
207,24,-68,
208,-8,-12,
209,24,-120,
210,44,-148,
211,-56,-48,
212,-4,-120,
213,-52,-140,
214,-4,-96,
215,0,-104,
216,0,-112,
217,48,-80,
218,-56,-144,
219,16,-64,
220,-32,-28,
221,16,-40,
222,-4,-84,
223,4,-48,
224,-28,-116,
225,-32,-20,
226,-32,-64,
227,-56,-172,
228,-36,-36,
229,-4,-120,
230,0,-168,
231,44,-172,
232,40,-76,
233,20,-12,
234,-8,-60,
235,-8,-76,
236,16,-104,
237,-4,-72,
238,4,-32,
239,48,-112,
240,12,-124,
241,16,-116,
242,0,-112,
243,24,-104,
244,-12,-92,
245,-40,-36,
246,-24,-84,
247,-28,-148,
248,-32,-172,
249,0,-188,
250,-16,-100,
251,0,-100,
252,-20,-80,
253,-36,-132,
254,0,-32,
255,0,-48,
256,-20,-140,
257,20,-52,
258,4,-64,
259,-36,-24,
260,-8,-76,
261,44,-52,
262,0,-88,
263,-52,-116,
264,-40,-108,
265,-4,-148,
266,4,-56,
267,68,-128,
268,4,-120,
269,-32,-112,
270,-8,-72,
271,56,-64,
272,-36,-128,
273,-20,-48,
274,-28,-104,
275,12,-136,
276,-16,-24,
277,20,-80,
278,8,-96,
279,4,-104,
280,-12,-32,
281,0,-88,
282,4,-128,
283,8,-136,
284,32,-88,
285,-60,-76,
286,24,-48,
287,-16,-40,
288,40,-116,
289,-32,-68,
290,12,-52,
291,12,-40,
292,72,-24,
293,16,-48,
294,-4,-196,
295,-48,-104,
296,16,-64,
297,8,-96,
298,-84,-96,
299,-36,36,
