Step,Mag,Ham,
0,10,-4,
1,34,-8,
2,50,48,
3,-22,-20,
4,-34,52,
5,42,-44,
6,-58,32,
7,-46,-32,
8,-6,56,
9,14,48,
10,22,0,
11,-30,68,
12,50,-20,
13,-42,-52,
14,-42,-20,
15,-14,4,
16,10,-52,
17,14,-52,
18,10,-28,
19,18,40,
20,-54,-8,
21,-14,124,
22,22,-24,
23,-10,16,
24,26,28,
25,-10,20,
26,-30,-16,
27,38,36,
28,-26,0,
29,6,12,
30,18,-12,
31,-18,-84,
32,-2,24,
33,18,-32,
34,30,12,
35,-2,-52,
36,50,20,
37,14,-44,
38,-10,16,
39,-34,-44,
40,6,44,
41,18,16,
42,-6,60,
43,26,-56,
44,-18,32,
45,-38,64,
46,2,-28,
47,14,-48,
48,-6,-8,
49,-34,-16,
50,-18,24,
51,-34,20,
52,-38,56,
53,-74,40,
54,6,8,
55,-34,52,
56,2,36,
57,26,-40,
58,-18,-8,
59,62,32,
60,-10,12,
61,-2,-68,
62,-6,-60,
63,2,-8,
64,-14,72,
65,38,-28,
66,-14,-64,
67,10,72,
68,-42,-36,
69,-22,0,
70,2,16,
71,-10,24,
72,-6,-40,
73,-26,-12,
74,34,12,
75,-30,0,
76,70,32,
77,-86,20,
78,22,96,
79,-6,-12,
80,26,4,
81,38,104,
82,-38,32,
83,46,0,
84,-2,20,
85,38,-8,
86,-2,0,
87,-6,48,
88,-26,-12,
89,-22,8,
90,-14,-72,
91,-42,-64,
92,6,-32,
93,50,-28,
94,-30,24,
95,-22,-8,
96,38,28,
97,42,-16,
98,6,32,
99,10,4,
100,-66,-40,
101,78,68,
102,-34,8,
103,-54,84,
104,26,-64,
105,-50,-76,
106,-6,12,
107,-10,-68,
108,-6,36,
109,-18,-16,
110,46,60,
111,-22,-24,
112,2,-8,
113,26,-16,
114,26,8,
115,14,8,
116,-10,4,
117,30,-36,
118,46,96,
119,22,4,
120,42,4,
121,14,32,
122,6,-40,
123,-26,48,
124,-14,-20,
125,-50,36,
126,34,-12,
127,30,-36,
128,30,-16,
129,-54,-36,
130,-14,4,
131,42,-48,
132,-10,-84,
133,10,24,
134,-10,12,
135,-26,20,
136,26,-48,
137,18,24,
138,-10,-40,
139,-26,32,
140,46,20,
141,34,56,
142,-22,92,
143,34,16,
144,22,-32,
145,-22,20,
146,6,4,
147,38,16,
148,30,32,
149,-22,24,
150,10,16,
151,-30,16,
152,-22,80,
153,22,56,
154,-14,16,
155,54,-28,
156,-30,-64,
157,38,12,
158,14,-32,
159,-18,52,
160,2,-56,
161,-22,-4,
162,6,-28,
163,10,-48,
164,10,-32,
165,10,20,
166,6,8,
167,-22,0,
168,6,-36,
169,6,-60,
170,-38,-32,
171,-26,-16,
172,26,-56,
173,-18,32,
174,6,-4,
175,6,-20,
176,14,-12,
177,30,-28,
178,38,12,
179,-42,-12,
180,2,68,
181,-2,-32,
182,10,0,
183,38,64,
184,62,48,
185,6,-8,
186,18,56,
187,-54,40,
188,70,36,
189,26,44,
190,18,-60,
191,-10,-32,
192,-14,40,
193,-2,-28,
194,-6,-20,
195,58,52,
196,82,32,
197,-30,20,
198,-14,4,
199,14,28,
200,10,-24,
201,50,-32,
202,10,64,
203,-26,-44,
204,-14,-4,
205,-6,-32,
206,18,-24,
207,38,60,
208,14,-92,
209,14,40,
210,22,-88,
211,-26,-4,
212,-22,104,
213,-2,-44,
214,-38,32,
215,-18,4,
216,26,56,
217,-46,-12,
218,46,-4,
219,-14,28,
220,10,-92,
221,14,12,
222,-18,-16,
223,-18,-8,
224,-22,0,
225,-62,-8,
226,-18,108,
227,30,-12,
228,-54,112,
229,18,-20,
230,26,52,
231,10,-12,
232,18,-64,
233,-6,8,
234,18,56,
235,-26,32,
236,70,32,
237,6,-12,
238,-6,-48,
239,34,-28,
240,-10,-112,
241,14,96,
242,-6,-8,
243,-50,-24,
244,14,-44,
245,2,-40,
246,-2,-32,
247,42,36,
248,-50,44,
249,34,-88,
250,10,32,
251,2,-68,
252,-10,16,
253,-6,56,
254,58,12,
255,38,56,
256,-26,-20,
257,-2,72,
258,38,-68,
259,-22,36,
260,58,24,
261,30,32,
262,42,8,
263,-14,36,
264,22,44,
265,-34,44,
266,18,32,
267,54,-4,
268,-22,20,
269,-22,0,
270,-10,48,
271,-30,84,
272,-2,20,
273,6,-36,
274,-34,-16,
275,-14,60,
276,-26,60,
277,-22,8,
278,-2,4,
279,46,88,
280,-46,-16,
281,-14,24,
282,18,-12,
283,-22,12,
284,-50,28,
285,22,-12,
286,-62,32,
287,-6,40,
288,6,-48,
289,-14,56,
290,-22,12,
291,-2,-16,
292,6,12,
293,-26,28,
294,42,12,
295,10,-20,
296,-10,-24,
297,14,-24,
298,-34,-4,
299,2,-4,
