Step,Mag,Ham,
0,62,20,
1,22,44,
2,2,52,
3,18,24,
4,-26,44,
5,-22,0,
6,18,-8,
7,38,20,
8,2,-16,
9,-18,24,
10,-30,32,
11,-6,12,
12,-42,32,
13,10,-16,
14,10,52,
15,-6,-20,
16,-62,16,
17,-6,48,
18,50,-40,
19,-14,-120,
20,58,-8,
21,-2,-36,
22,-22,-16,
23,14,-32,
24,22,-28,
25,62,-8,
26,-2,12,
27,2,-20,
28,-50,-20,
29,-38,28,
30,-22,-12,
31,-10,8,
32,26,12,
33,14,-4,
34,18,8,
35,-10,96,
36,6,-52,
37,26,32,
38,-38,-8,
39,62,40,
40,14,40,
41,-2,-28,
42,-18,-20,
43,-2,40,
44,2,64,
45,18,0,
46,-18,-8,
47,10,-8,
48,42,-40,
49,-6,-20,
50,14,4,
51,26,8,
52,38,76,
53,42,-4,
54,2,-48,
55,-46,108,
56,6,100,
57,-10,56,
58,-46,-16,
59,-14,4,
60,18,16,
61,30,40,
62,-46,12,
63,26,72,
64,-46,16,
65,46,16,
66,10,24,
67,-22,32,
68,10,52,
69,46,8,
70,2,48,
71,46,28,
72,-34,20,
73,-42,52,
74,-66,132,
75,-14,-12,
76,10,8,
77,-30,0,
78,-10,36,
79,26,24,
80,18,72,
81,-14,64,
82,42,-36,
83,-26,-20,
84,6,-16,
85,-34,16,
86,38,48,
87,2,40,
88,-22,48,
89,-10,40,
90,-10,-24,
91,-2,-28,
92,2,32,
93,-58,56,
94,38,88,
95,-18,8,
96,26,60,
97,-70,36,
98,14,-4,
99,50,-24,
100,26,-20,
101,54,-68,
102,10,-20,
103,-26,72,
104,-26,0,
105,-6,28,
106,2,-36,
107,-6,-32,
108,-18,-40,
109,-54,-4,
110,34,-16,
111,-6,0,
112,-2,48,
113,-14,32,
114,54,-12,
115,-6,16,
116,-34,84,
117,-30,-4,
118,2,-16,
119,14,8,
120,50,-52,
121,6,-68,
122,26,-28,
123,46,28,
124,38,-16,
125,-30,44,
126,-6,4,
127,22,-24,
128,22,-24,
129,6,8,
130,10,-12,
131,38,-8,
132,-10,28,
133,-42,0,
134,-10,-12,
135,6,4,
136,14,48,
137,42,84,
138,-22,-60,
139,-58,120,
140,-46,-48,
141,-6,-68,
142,-22,0,
143,-18,4,
144,-34,0,
145,-10,12,
146,14,52,
147,-6,16,
148,10,-12,
149,14,-64,
150,-38,12,
151,-6,28,
152,2,40,
153,-22,12,
154,-2,76,
155,-10,88,
156,62,20,
157,-34,4,
158,54,-24,
159,18,36,
160,-10,-44,
161,10,24,
162,-46,28,
163,22,12,
164,-6,-76,
165,-18,44,
166,62,-52,
167,-6,-4,
168,38,-8,
169,42,-28,
170,6,-60,
171,-46,-12,
172,18,8,
173,14,-20,
174,22,52,
175,38,32,
176,14,60,
177,46,-40,
178,-10,68,
179,-46,4,
180,34,-108,
181,-34,44,
182,26,32,
183,-2,44,
184,-6,-80,
185,6,40,
186,-30,40,
187,6,-32,
188,30,-48,
189,22,-8,
190,14,-40,
191,-18,4,
192,-26,8,
193,-18,-40,
194,-2,64,
195,-10,36,
196,2,36,
197,22,-4,
198,34,56,
199,14,-68,
200,30,-20,
201,-22,32,
202,18,-44,
203,-2,16,
204,-42,-76,
205,2,-48,
206,2,4,
207,-22,-44,
208,-2,12,
209,-2,52,
210,-46,124,
211,30,8,
212,22,44,
213,-18,12,
214,-6,-52,
215,30,4,
216,14,0,
217,14,-28,
218,-2,32,
219,6,-32,
220,10,12,
221,18,-32,
222,18,48,
223,22,-20,
224,6,-80,
225,-6,8,
226,14,-20,
227,-2,0,
228,10,-32,
229,-18,-104,
230,-42,-48,
231,-86,100,
232,-2,-32,
233,-34,24,
234,-2,-44,
235,-18,-12,
236,62,-12,
237,14,12,
238,-2,-48,
239,-6,4,
240,-18,56,
241,14,80,
242,38,-16,
243,-18,-4,
244,-10,84,
245,14,64,
246,-10,-20,
247,10,-44,
248,2,36,
249,-14,68,
250,-14,20,
251,54,24,
252,-22,-8,
253,-10,28,
254,-6,32,
255,-14,68,
256,-6,20,
257,-26,-24,
258,50,52,
259,-30,60,
260,-30,16,
261,-26,52,
262,2,-60,
263,-10,4,
264,26,-16,
265,50,56,
266,-22,8,
267,26,64,
268,-54,32,
269,-10,48,
270,-46,16,
271,10,4,
272,22,52,
273,6,48,
274,-2,80,
275,-22,64,
276,2,-48,
277,42,72,
278,2,0,
279,14,76,
280,-14,92,
281,-38,32,
282,-10,20,
283,-54,4,
284,50,32,
285,18,-4,
286,30,-4,
287,42,68,
288,22,-36,
289,2,56,
290,2,0,
291,66,40,
292,-14,-68,
293,2,104,
294,-102,88,
295,-6,-8,
296,-58,104,
297,22,-12,
298,2,-24,
299,-6,76,
